DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2025-02-10T12:23:34Z,0.039,6.5278,5.3942,3.1406,25.051848,39.634,10.3582,82.541,7.318,263.1255,271.75,7.992e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.5466,5.3826,3.1631,25.078649,39.653,10.2985,82.08,7.322,263.9433,271.08,8.7797e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.5655,5.3761,3.1434,25.118428,39.693,10.2378,81.626,7.324,264.4626,270.24,9.6575e-11,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.5838,5.3665,3.0732,25.152301,39.724,10.1769,81.185,7.327,264.6717,271.65,1.0623e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.6022,5.3499,2.9968,25.17113,39.731,10.1207,80.744,7.33,264.6652,268.53,1.1686e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.621,5.4079,3.0058,25.155845,39.686,10.0562,80.331,7.334,264.6418,262.36,3.6127e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.6395,5.535,3.0455,25.157751,39.667,9.9959,79.957,7.337,264.8192,255.21,4.243e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.6574,5.5971,3.0325,25.194192,39.703,9.9397,79.585,7.34,264.9172,246.64,1.8581e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.675,5.5837,3.019,25.215945,39.716,9.8787,79.209,7.343,264.9659,241.07,1.9182e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.6924,5.5643,3.0876,25.23052,39.718,9.8226,78.859,7.346,265.3224,246.63,2.6938e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7096,5.5543,3.2141,25.243592,39.719,9.7762,78.543,7.349,265.7859,260.92,2.7958e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7265,5.538,3.2158,25.247169,39.705,9.7266,78.237,7.352,266.1823,269.97,5.1233e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7436,5.517,3.1074,25.273786,39.727,9.674,77.909,7.355,266.5874,267.17,2.7945e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7604,5.5333,3.0995,25.311743,39.768,9.6274,77.568,7.358,266.8988,255.72,2.5405e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7763,5.5856,3.1549,25.325599,39.771,9.5856,77.25,7.362,266.7641,251.94,2.3095e-10,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7919,5.6158,3.1624,25.314497,39.736,9.5469,76.966,7.365,266.4213,258.4,2.0995e-11,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.8074,5.6072,3.1214,25.304347,39.701,9.503,76.7,7.367,266.5399,261.23,1.9087e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.8222,5.5812,3.103,25.329731,39.723,9.4551,76.435,7.369,266.8214,256.56,1.7351e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.8373,5.5607,3.1451,25.367742,39.764,9.4126,76.188,7.372,266.9858,249.8,1.5774e-14,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.8522,5.5585,3.1522,25.383432,39.771,9.3752,75.973,7.376,267.2366,244.1,1.434e-15,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.8674,5.555,3.0862,25.392612,39.768,9.3411,75.767,7.378,267.5311,246.08,1.3037e-16,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.8813,5.5677,3.03,25.351902,39.688,9.3037,75.59,7.38,267.1051,260.7,1.1851e-17,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.8961,5.6039,3.0534,24.891221,38.96,9.2698,75.519,7.383,265.9569,268.1,1.0774e-18,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.9095,5.6266,3.1304,23.691035,37.144,9.2413,75.368,7.386,265.4359,261.08,9.7945e-20,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.9252,5.643,3.1408,22.382106,35.304,9.215,74.797,7.388,265.6238,248.28,8.904000000000001e-21,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.9368,5.6435,3.0772,21.747577,34.614,9.181,73.973,7.39,266.0781,233.86,8.0945e-22,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.9557,5.5994,3.0786,21.598986,34.639,9.1741,73.57,7.392,266.7126,235.62,7.3585e-23,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.9471,5.534,3.1237,21.536483,34.707,9.1876,74.346,7.396,267.0151,253.46,6.6895e-24,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.7325,5.4935,3.1441,21.499027,34.744,9.1549,76.736,7.399,266.8956,257.31,6.081500000000001e-25,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.3819,5.4853,3.1197,21.463095,34.737,9.1013,80.556,7.401,266.7301,246.66,5.5285e-26,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.1416,5.4933,3.0343,21.41904,34.693,9.0707,85.207,7.402,266.736,247.49,5.026e-27,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.0055,5.5149,3.0337,21.410207,34.702,9.1746,90.164,7.404,266.881,257.37,4.5692e-28,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.9221,5.5387,3.1132,21.419687,34.74,9.5025,94.967,7.407,267.0202,261,4.1538e-29,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.8867,5.5396,3.1069,21.406834,34.74,10.0229,99.058,7.41,267.1285,257.15,3.7761999999999995e-30,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,5.8677,5.5496,3.0936,21.381613,34.714,10.629,101.983,7.412,267.2445,248.96,3.4329000000000002e-31,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,5.8483,5.6025,3.1574,21.368358,34.699,11.2685,103.604,7.414,267.3035,246.67,3.1208e-32,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,5.8266,5.6468,3.1954,21.373389,34.711,11.9054,104.187,7.417,267.67,252.36,2.8371999999999998e-33,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,5.8071,5.6691,3.1766,21.379026,34.73,12.4425,104.165,7.42,268.4058,261.1,2.5944e-34,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,5.7923,5.7636,3.1357,21.373097,34.735,12.8229,103.85,7.422,268.7146,265.42,4.0181999999999996e-35,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.789,5.9312,3.1104,21.365103,34.739,13.0105,103.37,7.424,268.651,252.12,1.8622e-34,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7887,6.0316,3.1447,21.345776,34.72,13.062,102.795,7.426,268.5826,228.73,2.0252e-33,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7783,6.0538,3.14,21.329627,34.696,13.0485,102.218,7.427,268.4045,196,2.2274999999999998e-32,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7643,6.0582,3.0536,21.360063,34.738,13.0095,101.687,7.428,268.3044,153.58,2.4502e-31,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7495,6.0177,3.023,21.396743,34.785,12.9539,101.232,7.43,268.8348,123.61,2.6953e-30,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7354,5.9474,3.0768,21.392693,34.768,12.8788,100.84,7.433,269.913,114.81,2.9648e-29,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.733,5.924,3.1579,21.374507,34.738,12.8083,100.495,7.436,270.586,114.9,3.2613e-28,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7419,5.9338,3.1839,21.367075,34.738,12.735,100.213,7.438,270.6907,117.13,3.5874000000000005e-27,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7538,5.8748,3.117,21.366232,34.754,12.6765,99.987,7.44,270.4913,122.38,3.9461e-26,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7666,5.7692,3.0666,21.364306,34.766,12.6244,99.768,7.442,270.2393,130.94,4.340700000000001e-25,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7688,5.7213,3.0876,21.343773,34.741,12.5788,99.558,7.443,270.3112,143.97,4.7748e-24,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7544,5.7115,3.0974,21.308186,34.682,12.5479,99.376,7.444,270.5002,155.86,5.2523e-23,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7375,5.7345,3.0489,21.314473,34.686,12.5283,99.162,7.447,270.7182,163.63,5.7775e-22,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7231,5.8071,3.0134,21.356395,34.747,12.507,98.945,7.45,271.1398,171.38,6.355299999999999e-21,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7136,5.8664,3.0436,21.371211,34.763,12.4769,98.784,7.452,271.5543,182.13,6.9908e-20,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7157,5.8932,3.1061,21.366792,34.745,12.4634,98.659,7.453,271.7722,195.45,7.689900000000001e-19,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7237,5.8897,3.1209,21.36639,34.729,12.4293,98.567,7.455,271.7949,206.69,8.4589e-18,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7309,5.8652,3.1199,21.366357,34.717,12.3952,98.498,7.457,271.6564,208.91,9.3048e-17,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7357,5.8646,3.1621,21.366406,34.713,12.3782,98.427,7.458,271.5608,200.44,1.0235e-15,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7446,5.8825,3.119,21.366977,34.714,12.3574,98.354,7.46,271.5856,191.76,1.1259e-14,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7612,5.8984,3.0092,21.373265,34.725,12.3418,98.314,7.463,271.5261,192.6,1.2385e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7738,5.9146,2.9954,21.37903,34.739,12.3307,98.307,7.465,271.4431,195.13,1.3623e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7761,5.9202,3.0537,21.373266,34.736,12.3213,98.294,7.466,271.6141,193,1.4985e-11,0,FCR,50,7809,NA,NA,NA
