Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2022-07-14T10:01:20Z,12.839,11.1329,2.6126,3.4244,72.199774,99.923,6.1491,55.639,0.60903,7.86649868983678,0.069,0,3.9608,0.0423,0.1282
2022-07-14T10:01:20Z,12.861,11.1307,2.6214,3.4044,72.198088,99.923,6.1343,55.573,0.59916,7.866963852806257,0.069,0,3.9588,0.0431,0.1258
2022-07-14T10:01:20Z,12.881,11.1287,2.6233,3.3989,72.196603,99.923,6.1239,55.483,0.58748,7.867387090398216,0.064,0,3.962,0.0418,0.1281
2022-07-14T10:01:20Z,12.897,11.1267,2.6299,3.3604,72.181823,99.903,6.1223,55.363,0.57338,7.866113625460871,0.058,0,3.9567,0.0439,0.1254
2022-07-14T10:01:20Z,12.909,11.125,2.6409,3.2899,72.154662,99.868,6.1162,55.22,0.56357,7.863503994107873,0.053,0,3.9653,0.0404,0.1292
2022-07-14T10:01:20Z,12.917,11.1238,2.6468,3.2512,72.138772,99.848,6.1098,55.064,0.55791,7.862061448915754,0.049,0,3.9513,0.0461,0.1232
2022-07-14T10:01:20Z,12.927,11.1233,2.646,3.2484,72.124981,99.831,6.1005,54.893,0.55586,7.860724157934126,0.047,0,3.8787,0.0821,0.0879
2022-07-14T10:01:20Z,12.94,11.123,2.6353,3.2581,72.123194,99.828,6.087,54.733,0.55117,7.860531750637001,0.049,0,3.8646,0.0862,0.0834
2022-07-14T10:01:20Z,12.954,11.1225,2.6168,3.2764,72.117167,99.817,6.0702,54.604,0.54042,7.859702883849935,0.052,0,3.8732,0.0862,0.084
2022-07-14T10:01:20Z,12.968,11.1217,2.606,3.2863,72.052117,99.726,6.0544,54.489,0.52947,7.852149667334007,0.056,0,3.868,0.082,0.0872
2022-07-14T10:01:20Z,12.982,11.1208,2.6034,3.2865,72.013095,99.674,6.0345,54.403,0.51924,7.847927034500559,0.06,0,3.8712,0.0462,0.1243
2022-07-14T10:01:20Z,12.997,11.1206,2.6006,3.2785,72.05121,99.732,6.0144,54.336,0.51792,7.852889032931349,0.062,0,3.8693,0.0405,0.1275
2022-07-14T10:01:20Z,13.014,11.1219,2.5972,3.264,72.107105,99.815,6.0036,54.243,0.51903,7.859654034152332,0.064,0,3.8704,0.044,0.1281
2022-07-14T10:01:20Z,13.03,11.1232,2.5948,3.2561,72.147772,99.875,5.988,54.099,0.50473,7.864467316207599,0.066,0,3.8698,0.0418,0.1236
2022-07-14T10:01:20Z,13.048,11.1221,2.5953,3.2546,72.137055,99.864,5.9792,53.905,0.48795,7.863765821777362,0.066,0,3.87,0.0431,0.0881
2022-07-14T10:01:20Z,13.066,11.1198,2.6058,3.2479,72.112805,99.833,5.9752,53.71,0.4741,7.861621937287849,0.066,0,3.8701,0.0423,0.0825
2022-07-14T10:01:20Z,13.084,11.1178,2.625,3.2361,72.125139,99.853,5.9649,53.53,0.45521,7.863742570052755,0.065,0,3.8697,0.0428,0.0858
2022-07-14T10:01:20Z,13.099,11.116,2.6364,3.2293,72.150885,99.892,5.9513,53.38,0.44645,7.867433786849294,0.063,0,3.8706,0.0425,0.084
2022-07-14T10:01:20Z,13.114,11.1148,2.6373,3.2278,72.153526,99.898,5.9256,53.334,0.45316,7.868196781945297,0.061,0,3.8689,0.0426,0.0846
2022-07-14T10:01:20Z,13.129,11.114,2.6319,3.2248,72.157071,99.905,5.9048,53.45,0.45458,7.868959468559811,0.06,0,3.8717,0.0426,0.0851
2022-07-14T10:01:20Z,13.144,11.113,2.6221,3.2193,72.193746,99.958,5.8862,53.73,0.44044,7.873669452050991,0.061,0,3.8672,0.0427,0.0835
2022-07-14T10:01:20Z,13.159,11.1119,2.6157,3.2157,72.191096,99.958,5.8651,54.16,0.42353,7.873902316355453,0.061,0,3.8746,0.0426,0.0867
2022-07-14T10:01:20Z,13.174,11.111,2.614,3.214,72.125032,99.868,5.8575,54.711,0.41562,7.8664522700839,0.062,0,3.8625,0.0426,0.0811
2022-07-14T10:01:20Z,13.191,11.1102,2.6108,3.2014,72.071396,99.796,5.8712,55.298,0.40971,7.860508545083053,0.064,0,3.7867,0.0426,0.0454
2022-07-14T10:01:20Z,13.208,11.1094,2.6057,3.1781,72.083725,99.815,5.9028,55.843,0.4065,7.862289376743667,0.069,0,3.7779,0.0426,0.0413
2022-07-14T10:01:20Z,13.222,11.1082,2.6031,3.1649,72.138807,99.894,5.9499,56.268,0.4106,7.869249631691254,0.074,0,3.7779,0.0426,0.0413
2022-07-14T10:01:20Z,13.239,11.1074,2.6022,3.16,72.196252,99.976,6.0158,56.526,0.4017,7.876380093105,0.077,0,3.7867,0.0426,0.0454
2022-07-14T10:01:20Z,13.263,11.1067,2.5939,3.1204,72.237149,100.036,6.0827,56.647,0.37763,7.88162065757274,0.079,0,3.8625,0.0426,0.0812
2022-07-14T10:01:20Z,13.289,11.1058,2.579,3.0478,72.227423,100.024,6.1455,56.658,0.36498,7.880790368866948,0.079,0,3.8747,0.0426,0.0865
