
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  2019 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,14.50,13.819,
,Maximum,35.56,14.027,
,Mean,24.88,13.926,
,Variance,24.873,0.0019,
,Std Deviation,4.987,0.0431,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
292,30-Jun-22 11:23:46,32.56,14.011
293,30-Jun-22 11:38:46,33.13,14.010
294,30-Jun-22 11:53:46,33.63,14.008
295,30-Jun-22 12:08:46,33.50,14.007
296,30-Jun-22 12:23:46,33.44,14.004
297,30-Jun-22 12:38:46,33.88,14.002
298,30-Jun-22 12:53:46,33.94,13.999
299,30-Jun-22 13:08:46,33.94,13.996
300,30-Jun-22 13:23:46,34.00,13.993
301,30-Jun-22 13:38:46,33.75,13.992
302,30-Jun-22 13:53:46,33.88,13.987
303,30-Jun-22 14:08:46,34.06,13.984
304,30-Jun-22 14:23:46,34.06,13.980
305,30-Jun-22 14:38:46,33.94,13.978
306,30-Jun-22 14:53:46,34.06,13.978
307,30-Jun-22 15:08:46,34.06,13.976
308,30-Jun-22 15:23:46,33.75,13.973
309,30-Jun-22 15:38:46,33.50,13.972
310,30-Jun-22 15:53:46,33.44,13.969
311,30-Jun-22 16:08:46,33.44,13.968
312,30-Jun-22 16:23:46,33.13,13.967
313,30-Jun-22 16:38:46,32.69,13.968
314,30-Jun-22 16:53:46,32.44,13.969
315,30-Jun-22 17:08:46,31.88,13.968
316,30-Jun-22 17:23:46,32.13,13.965
317,30-Jun-22 17:38:46,32.69,13.965
318,30-Jun-22 17:53:46,32.94,13.963
