"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"225","GWR",50,2015-08-03 12:00:00,13,1,1.8,1,4,0
"226","GWR",50,2015-08-03 12:00:00,0.1,1.7,2,1,0,0
"227","FCR",50,2015-08-03 12:00:00,1.6,4.8,3.5,1,0,0
"228","GWR",50,2015-08-03 12:00:00,6,4.6,6.6,1,0,0
"229","FCR",50,2015-08-03 12:00:00,6.2,17.3,7.6,1,0,0
"230","FCR",50,2015-08-03 12:00:00,5,71.1,23,1,0,0
"231","FCR",50,2015-08-03 12:00:00,3.8,42.3,36.6,1,0,0
"232","CCR",50,2015-08-07 12:00:00,6,1.7,0,1,0,4
"233","CCR",50,2015-08-07 12:00:00,0.1,1.2,0,1,0,4
"234","CCR",50,2015-08-07 12:00:00,20,1.9,0.8,1,0,4
"235","SHR",50,2015-08-07 12:00:00,8,1.2,NA,1,2,2
"236","FCR",50,2015-08-10 12:00:00,1.6,9.2,0,1,0,4
"237","FCR",50,2015-08-10 12:00:00,9,3.8,0.3,1,0,4
"238","FCR",50,2015-08-10 12:00:00,6.2,15.9,8,1,0,0
"239","FCR",50,2015-08-10 12:00:00,5,70.6,15.5,1,0,0
"240","FCR",50,2015-08-10 12:00:00,3.8,51.9,22.8,1,0,0
"241","BVR",50,2015-08-13 12:00:00,0.1,2.9,1.7,1,0,0
"242","BVR",50,2015-08-13 12:00:00,3,4.6,2,1,0,0
"243","BVR",50,2015-08-13 12:00:00,12,51.9,2.1,1,0,4
"244","BVR",50,2015-08-13 12:00:00,9,26.5,2.5,1,0,0
"245","BVR",50,2015-08-13 12:00:00,6,25.9,13.9,1,0,0
"246","GWR",50,2015-08-15 12:00:00,5,4,0.9,1,0,0
"247","GWR",50,2015-08-15 12:00:00,13.5,4.3,0.9,1,0,4
"248","GWR",50,2015-08-15 12:00:00,0.1,2.3,1,1,0,0
"249","GWR",50,2015-08-15 12:00:00,9,9.6,4.2,1,0,0
"250","FCR",50,2015-08-17 12:00:00,9,3.5,2.4,1,0,0
"251","FCR",50,2015-08-17 12:00:00,1.6,10.4,2.9,1,0,0
"252","FCR",50,2015-08-17 12:00:00,6.2,24,11.3,1,0,0
"253","FCR",50,2015-08-17 12:00:00,5,33.6,16.9,1,0,0
"254","FCR",50,2015-08-17 12:00:00,3.8,26.5,20,1,0,0
"255","BVR",50,2015-08-20 12:00:00,3,8.6,3,1,0,0
"256","BVR",50,2015-08-20 12:00:00,0.1,7.5,5.4,1,0,0
"257","BVR",50,2015-08-20 12:00:00,9,38.4,5.8,1,0,0
"258","BVR",50,2015-08-20 12:00:00,6,34,15.8,1,0,0
"259","BVR",50,2015-08-20 12:00:00,12,54.8,32.4,1,0,0
"260","FCR",50,2015-08-24 12:00:00,9,2.9,2.5,1,0,0
"261","FCR",50,2015-08-24 12:00:00,1.6,15.4,2.6,1,0,0
"262","FCR",50,2015-08-24 12:00:00,6.2,17.3,8.6,1,0,0
