"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"SHR",50,2015-06-12 12:00:00,0.1,1.2,0.1,0,4
"SHR",50,2015-06-12 12:00:00,8,3.5,0.3,0,4
"CCR",50,2015-06-12 12:00:00,0.1,0,0.4,4,4
"SHR",50,2015-06-12 12:00:00,31,1.2,0.5,0,4
"CCR",50,2015-06-12 12:00:00,6,1.7,1.6,0,0
"GWR",50,2015-06-22 12:00:00,0.1,1.2,0.1,0,4
"GWR",50,2015-06-22 12:00:00,14,1.9,0.2,0,4
"GWR",50,2015-06-22 12:00:00,9,1.7,1.2,0,0
"GWR",50,2015-06-22 12:00:00,5,8.1,4,0,0
"SHR",50,2015-06-26 12:00:00,0.1,0.6,0.7,4,4
"CCR",50,2015-06-26 12:00:00,0.1,0.6,1.1,4,0
"SHR",50,2015-06-26 12:00:00,31,1.2,1.3,0,0
"SHR",50,2015-06-26 12:00:00,8,2.3,1.4,0,0
"CCR",50,2015-06-26 12:00:00,6,2.9,2.1,0,0
"CCR",50,2015-06-26 12:00:00,21,3.8,6.5,0,0
"GWR",50,2015-07-05 12:00:00,5,12.1,9.1,0,0
"GWR",50,2015-07-06 12:00:00,0.1,3.5,1.9,0,0
"GWR",50,2015-07-06 12:00:00,14,2.9,2,0,0
"GWR",50,2015-07-06 12:00:00,9,1.2,2.6,0,0
"CCR",50,2015-07-10 12:00:00,0.1,1.2,0,0,4
"SHR",50,2015-07-10 12:00:00,8,1.2,0.1,0,4
"SHR",50,2015-07-10 12:00:00,0.1,0.6,0.3,4,4
"SHR",50,2015-07-10 12:00:00,31,0,0.4,4,4
"CCR",50,2015-07-10 12:00:00,6,4,0.9,0,0
"CCR",50,2015-07-10 12:00:00,20,1.7,4.5,0,0
"GWR",50,2015-07-20 12:00:00,0.1,2.3,0.6,0,4
"GWR",50,2015-07-20 12:00:00,14,0.6,1.5,4,0
"GWR",50,2015-07-20 12:00:00,9,2.3,1.8,0,0
"GWR",50,2015-07-20 12:00:00,5,5.8,3.4,0,0
"SHR",50,2015-07-24 12:00:00,31,0.6,0,4,4
"SHR",50,2015-07-24 12:00:00,0.1,0,0,4,4
"CCR",50,2015-07-24 12:00:00,0.1,1.7,0.3,0,4
"SHR",50,2015-07-24 12:00:00,8,0.6,0.7,4,4
"CCR",50,2015-07-24 12:00:00,20,1.9,0.8,0,4
"CCR",50,2015-07-24 12:00:00,6,1.7,1.2,0,0
"GWR",50,2015-07-26 12:00:00,0.1,1.7,2,0,0
"GWR",50,2015-08-03 12:00:00,9,2.9,0.7,0,4
"FCR",50,2015-08-03 12:00:00,9,9.6,1.5,0,4
"GWR",50,2015-08-03 12:00:00,13,1,1.8,4,0
"GWR",50,2015-08-03 12:00:00,0.1,1.7,2,0,0
"FCR",50,2015-08-03 12:00:00,1.6,4.8,3.5,0,0
"GWR",50,2015-08-03 12:00:00,6,4.6,6.6,0,0
"FCR",50,2015-08-03 12:00:00,6.2,17.3,7.6,0,0
"FCR",50,2015-08-03 12:00:00,5,71.1,23,0,0
"FCR",50,2015-08-03 12:00:00,3.8,42.3,36.6,0,0
"CCR",50,2015-08-07 12:00:00,6,1.7,0,0,4
"CCR",50,2015-08-07 12:00:00,0.1,1.2,0,0,4
"CCR",50,2015-08-07 12:00:00,20,1.9,0.8,0,4
"SHR",50,2015-08-07 12:00:00,8,1.2,NA,2,2
"FCR",50,2015-08-10 12:00:00,1.6,9.2,0,0,4
"FCR",50,2015-08-10 12:00:00,9,3.8,0.3,0,4
"FCR",50,2015-08-10 12:00:00,6.2,15.9,8,0,0
"FCR",50,2015-08-10 12:00:00,5,70.6,15.5,0,0
"FCR",50,2015-08-10 12:00:00,3.8,51.9,22.8,0,0
"BVR",50,2015-08-13 12:00:00,0.1,2.9,1.7,0,0
"BVR",50,2015-08-13 12:00:00,3,4.6,2,0,0
"BVR",50,2015-08-13 12:00:00,12,51.9,2.1,0,4
"BVR",50,2015-08-13 12:00:00,9,26.5,2.5,0,0
"BVR",50,2015-08-13 12:00:00,6,25.9,13.9,0,0
"GWR",50,2015-08-15 12:00:00,5,4,0.9,0,0
"GWR",50,2015-08-15 12:00:00,13.5,4.3,0.9,0,4
"GWR",50,2015-08-15 12:00:00,0.1,2.3,1,0,0
"GWR",50,2015-08-15 12:00:00,9,9.6,4.2,0,0
"FCR",50,2015-08-17 12:00:00,9,3.5,2.4,0,0
"FCR",50,2015-08-17 12:00:00,1.6,10.4,2.9,0,0
"FCR",50,2015-08-17 12:00:00,6.2,24,11.3,0,0
"FCR",50,2015-08-17 12:00:00,5,33.6,16.9,0,0
"FCR",50,2015-08-17 12:00:00,3.8,26.5,20,0,0
"BVR",50,2015-08-20 12:00:00,3,8.6,3,0,0
"BVR",50,2015-08-20 12:00:00,0.1,7.5,5.4,0,0
"BVR",50,2015-08-20 12:00:00,9,38.4,5.8,0,0
"BVR",50,2015-08-20 12:00:00,6,34,15.8,0,0
"BVR",50,2015-08-20 12:00:00,12,54.8,32.4,0,0
"FCR",50,2015-08-24 12:00:00,9,2.9,2.5,0,0
"FCR",50,2015-08-24 12:00:00,1.6,15.4,2.6,0,0
"FCR",50,2015-08-24 12:00:00,6.2,17.3,8.6,0,0
"FCR",50,2015-08-24 12:00:00,5,69.2,15.2,0,0
"FCR",50,2015-08-24 12:00:00,3.8,27.4,30.7,0,0
"CCR",50,2015-08-26 12:00:00,0.1,0.6,1.1,4,0
"CCR",50,2015-08-26 12:00:00,6,1.2,1.3,0,0
