Reservoir,Site,Date,Depth_m,Rep,NH4_ugL,PO4_ugL,NO3NO2_ugL,DIC_mgL,DC_mgL,DOC_mgL,DN_mgL,TP_ugL,TN_ugL
CCR,88,6/19/2024,6,1,3.7,4.6,0.2,12.63688621,15.97105742,3.334171216,0.19627269,NA,NA
CCR,88,6/19/2024,9,1,3,6.5,11.4,13.64628956,15.16681239,1.520522831,0.155375288,NA,NA
CCR,88,6/19/2024,13,1,46.6,6.4,90.8,12.34939423,15.93625725,3.58686302,0.527000498,NA,NA
CCR,90,6/19/2024,0.1,1,10.37542082,8.801058922,3.960769574,11.56806491,15.24555594,3.677491039,0.279120862,NA,NA
CCR,90,6/19/2024,1.5,1,4.1,3.8,-2.3,11.17610558,14.07803997,2.901934394,0.177823494,NA,NA
CCR,90,6/19/2024,6,1,32.2,8.1,9.4,12.28588935,14.71088227,2.424992927,0.199104077,NA,NA
CCR,92,6/19/2024,0.1,1,9.8,7.5,-1.5,9.686560824,12.83667335,3.150112527,0.242879145,NA,NA
CCR,92,6/19/2024,1.5,1,7.1,5.7,0.3,10.96520062,14.61937915,3.654178528,0.244637126,NA,NA
CCR,96,6/19/2024,0.1,1,9.1,4.4,2.8,11.03367844,14.43841211,3.404733663,0.203980894,NA,NA
CCR,96,6/19/2024,1,1,1.7,7.4,1.9,10.90423289,14.29899273,3.394759834,0.208983958,NA,NA
CCR,98,6/19/2024,0.1,1,15.1526864,11.621352,6.305961259,12.29894144,15.87723007,3.578288628,0.244714371,NA,NA
CCR,98,6/19/2024,0.3,1,7.044669977,6.189119137,12.86908168,10.93674975,14.47398856,3.537238818,0.256926261,NA,NA
BVR,50,6/10/2024,6,1,45.8,4.86,-1.08,3.92,7.53,3.61,0.28,18.6,238
BVR,50,6/24/2024,0.1,1,11.4,13,-0.1,3.221896117,13.78303987,10.56114375,0.955929719,36.6,1620
BVR,50,6/24/2024,3,1,46.7,7,0.2,3.788799245,10.57386457,6.785065321,0.626404823,27.6,1100
BVR,50,6/24/2024,6,1,126,6.9,0.4,3.972870038,7.433741408,3.46087137,0.374848696,15,209
BVR,50,6/24/2024,9,1,993,48,3.8,4.907838372,9.159421322,4.25158295,1.329263865,32.5,1060
FCR,100,6/24/2024,0.1,1,14.7,25.6,49.2,5.704202405,7.816958276,2.112755871,0.198305794,49.6,300
FCR,20,6/24/2024,0.1,1,8.38,15.4,2.17,5.070998959,11.40693457,6.335935616,0.087790453,21.2,1000
FCR,50,6/24/2024,0.1,1,25.6,27.8,3.4,4.402344535,14.60326694,10.20092241,1.316655759,23.7,1370
FCR,50,6/24/2024,3.8,1,18.7,8.7,1.5,4.667841968,9.56072593,4.892883963,0.393297884,19.1,639
FCR,50,6/24/2024,5,1,106,6,3.1,4.792578313,8.845512348,4.052934036,0.404130467,23.3,559
FCR,50,6/24/2024,6.2,1,459,8.4,9.6,5.396811802,8.446966806,3.050155004,0.762269051,38.4,556
FCR,50,6/24/2024,9,1,168,10.9,5.3,4.605733044,10.57203208,5.966299032,0.640880586,25.1,797
FCR,50,6/24/2024,1.6,1,20,10.6,6.5,3.846860954,11.97137705,8.124516096,0.686473508,30.3,827
FCR,50,6/24/2024,8,1,467,7.3,10.5,5.392270518,8.531963626,3.139693108,0.684666163,42.7,665
BVR,50,7/1/2024,0.1,1,283,9.8,3.1,3.803812221,15.24214798,11.43833575,1.434377182,32.5,1570
BVR,50,7/1/2024,3,1,64.3,9.93,4.31,3.653925854,8.569296907,4.915371054,0.639491968,32.9,483
BVR,50,7/1/2024,6,1,259,5.4,-0.1,4.365707559,7.740020711,3.374313153,0.550778007,28.9,355
BVR,50,7/1/2024,9,1,1170,37.2,6.5,4.840482343,9.712272248,4.871789906,1.7409348,39.5,1430
FCR,100,7/1/2024,0.1,1,34.9,28.6,68.4,5.498248803,7.999528145,2.501279341,0.3008204,51,309
FCR,20,7/1/2024,0.1,1,10.5,12.4,-2.9,4.334506042,11.77942069,7.444914646,0.692747673,40.5,1280
FCR,50,7/1/2024,0.1,1,31.8,13.3,2.01,5.807818387,9.031066393,3.223248006,0.8091671,43.1,1460
FCR,50,7/1/2024,0.1,1,31.8,13.3,2.01,3.94,12.96,9.02,0.75,43.1,1460
FCR,50,7/1/2024,1.6,1,20,16.6,2.97,4.151291929,13.16755232,9.016260392,0.84561164,39.3,1560
FCR,50,7/1/2024,3.8,1,87.8,6.7,4.3,3.066371367,13.0404192,9.974047829,0.941696351,24.2,716
FCR,50,7/1/2024,5,1,273,5.49,7.05,5.1538259,9.280367332,4.126541432,0.589431839,30.6,652
FCR,50,7/1/2024,6.2,1,323,6.1,7.7,5.12941648,8.616513757,3.487097276,0.672862185,26.6,720
FCR,50,7/1/2024,8,1,506,6.5,12.1,5.566579814,8.739744493,3.173164679,0.816449459,38.1,564
FCR,50,7/1/2024,9,1,494,7.7,13,NA,NA,NA,NA,48.4,629
BVR,50,7/8/2024,0.1,1,187,11.2,9.7,3.445223448,12.31195786,8.866734412,1.010291379,35.2,1080
BVR,50,7/8/2024,3,1,174,10.8,7.9,3.613816151,15.24267084,11.62885469,0.862604952,28.3,723
BVR,50,7/8/2024,6,1,321,5.2,0.8,4.251465484,6.889848946,2.638383462,0.485756437,25.4,490
BVR,50,7/8/2024,9,1,885,29,3.1,4.785557891,8.392069439,3.606511548,1.142440672,26.5,831
FCR,100,7/8/2024,0.1,1,14.5,25,57.5,5.533088129,8.451453948,2.918365819,0.259914949,63.6,349
FCR,20,7/8/2024,0.1,1,11,9.7,-1.9,4.34204773,13.81838358,9.476335854,1.067813575,38.1,1420
FCR,50,7/8/2024,0.1,1,14.4,10,-1.1,4.232419986,13.57874856,9.346328574,1.06838791,31.2,1320
FCR,50,7/8/2024,1.6,1,104,9.8,-3.2,4.439510706,12.89895903,8.459448323,0.934079686,39.1,1140
FCR,50,7/8/2024,3.8,1,120,4.7,-0.2,4.691834555,8.077086368,3.385251813,0.375611648,17.7,380
FCR,50,7/8/2024,5,1,311,9.5,5.5,5.449942192,11.0268319,5.576889703,0.974594325,33.8,608
FCR,50,7/8/2024,6.2,1,567,12.3,18.8,5.814370689,10.24233988,4.427969194,0.940873823,41.9,800
FCR,50,7/8/2024,8,1,585,7.7,18.4,6.241089849,10.93167095,4.690581103,0.957335689,53.6,695
FCR,50,7/8/2024,9,1,583,7,20.1,5.917634875,10.69545151,4.777816636,0.906689533,31.7,867
CCR,100,7/11/2024,0.1,1,11.7,7.9,220.7,5.498211731,8.124230252,2.626018521,0.32422486,NA,NA
CCR,100,7/11/2024,0.1,2,16,6.65,201,6.023963548,8.30231812,2.278354572,0.071950917,NA,NA
CCR,101,7/11/2024,0.1,2,11.1,7.6,174,5.95,8.73,2.79,0.32,NA,NA
CCR,101,7/11/2024,0.1,1,12.37921772,8.712006934,180.841782,4.989535309,7.960280275,2.970744966,0.348141305,9.3,294
CCR,50,7/11/2024,0.1,1,11.5,6.08,2.07,11.37,14.59,3.22,0.24,3.8,206
CCR,50,7/11/2024,1.5,1,12.6,6.21,0.875,11.96048168,14.86557248,2.905090801,0.054323434,22.1,251
CCR,50,7/11/2024,20,1,292,5.84,8.14,14.16,16.49,2.33,0.44,33.7,557
CCR,50,7/11/2024,6,1,5.13,6.25,1.27,11.2,14.27,3.06,0.18,5.22,314
CCR,50,7/11/2024,9,1,25.8,11.8,52.6,12.25062409,15.79586624,3.545242157,0.302171158,13.4,300
CCR,88,7/11/2024,0.1,1,4.7,7.8,-0.6,10.96078583,14.01209789,3.051312055,0.216880631,NA,NA
CCR,88,7/11/2024,1.5,2,13.3,2.3,2.84,13.26702533,16.1007256,2.833700268,0.057569339,NA,NA
CCR,88,7/11/2024,1.5,1,17.77098657,5.951695924,2.690348949,12.26036371,15.65788826,3.397524551,0.248744742,NA,NA
CCR,88,7/11/2024,6,2,8.51,0.808,1.41,10.46085317,13.97317375,3.512320587,0.193235861,NA,NA
CCR,88,7/11/2024,6,1,3.094906119,5.150424399,0.311997687,11.65377192,14.92277108,3.268999159,0.200710431,NA,NA
CCR,88,7/11/2024,9,1,7.260603637,5.773631343,43.43444515,12.3873133,15.41100554,3.023692244,0.212069133,NA,NA
CCR,88,7/11/2024,12,1,10.40625315,3.043611331,95.38536,12.97711021,15.65989953,2.682789322,0.247671034,NA,NA
CCR,90,7/11/2024,0.1,1,1.119126306,-0.685505504,3.798660378,11.87111751,15.0449554,3.173837885,0.169572895,NA,NA
CCR,90,7/11/2024,1.5,1,0.625087823,5.150424399,0.397172355,11.66216936,15.04394976,3.381780403,0.209130563,NA,NA
CCR,90,7/11/2024,5,1,10.00542157,5.506539016,0.296922592,11.69044118,15.09907492,3.408633738,0.204604446,NA,NA
CCR,92,7/11/2024,0.1,1,2.7,5.5,2.4,11.51348522,14.86796412,3.354478902,0.172680997,NA,NA
CCR,92,7/11/2024,0.1,2,7.46,5.23,2.43,12.15850719,15.67767781,3.519170622,0.052025501,NA,NA
CCR,92,7/11/2024,1,1,3.434432992,6.515583092,6.494502881,11.43593236,14.59795185,3.162019498,0.183192035,NA,NA
CCR,96,7/11/2024,0.1,1,3.310970721,9.780670786,2.516949634,11.43543839,15.78660919,4.351170805,0.18878662,NA,NA
CCR,96,7/11/2024,0.5,1,11.2078422,3.518356478,3.715721699,11.4648679,15.27527343,3.810405532,0.271694926,NA,NA
CCR,98,7/11/2024,0.1,2,6.84,6.93,-1.74,5.740448847,9.006916705,3.266467857,0.165428955,NA,NA
CCR,98,7/11/2024,0.1,1,8.956976081,8.444854608,7.173279074,4.731314742,9.644207304,4.912892562,0.16397831,NA,NA
BVR,50,7/15/2024,0.1,1,13,16.9,4.6,3.24215731,13.74772003,10.50556272,0.973195782,21.1,859
BVR,50,7/15/2024,3,1,21.5,12.3,1.5,3.790096185,9.900465118,6.110368933,0.604584326,22.4,394
BVR,50,7/15/2024,6,1,341,9.5,-0.2,4.533405844,7.613086902,3.079681058,0.542442699,21.7,493
BVR,50,7/15/2024,9,1,1050,50.4,8.7,4.917602755,8.827386567,3.909783811,1.32165226,14.5,1410
FCR,100,7/15/2024,0.1,1,21.1,27.1,89,5.978407578,8.501329888,2.52292231,0.256262453,81.5,498
FCR,20,7/15/2024,0.1,1,68.9,11.2,-0.8,4.53715684,13.20612207,8.668965234,0.956057271,40.8,1050
FCR,50,7/15/2024,0.1,1,103,10.2,4.8,4.860887336,14.16711725,9.306229916,1.148654499,32.7,994
FCR,50,7/15/2024,1.6,1,109,13.7,4,4.750364621,12.76190137,8.011536751,0.998638053,35.7,1020
FCR,50,7/15/2024,3.8,1,104,6.3,1.8,4.858383496,9.502871043,4.644487547,0.441191058,31.9,410
FCR,50,7/15/2024,5,1,321,8.3,5.3,5.215818007,8.850679932,3.634861925,0.711151219,9.18,509
FCR,50,7/15/2024,6.2,1,515,8.6,19.6,5.947251852,10.30569664,4.358444786,0.813310353,29,722
FCR,50,7/15/2024,8,1,594,7.6,21.8,5.82189217,9.411187305,3.589295134,0.887406251,15.7,888
FCR,50,7/15/2024,9,1,672,7.4,27.2,6.014401416,9.225048316,3.2106469,0.9800276,30.1,894
BVR,50,7/22/2024,0.1,1,22.1,8.8,-2.57,2.446963634,12.46095765,10.01399401,NA,22.1,662
BVR,50,7/22/2024,3,1,23.8,4.31,0.524,3.888021989,9.934571794,6.046549805,NA,19.8,684
BVR,50,7/22/2024,6,1,250,1.89,4.49,3.279837769,8.192925676,4.913087907,NA,27.4,540
BVR,50,7/22/2024,9,1,1350,20.2,-1.87,4.488041294,9.031184496,4.543143202,NA,20,1150
FCR,100,7/22/2024,0.1,1,21.7,20.4,36.2,4.353926233,8.425009556,4.071083323,NA,54.8,340
FCR,20,7/22/2024,0.1,1,196,8.8,10.8,4.836275996,11.08809746,6.251821462,0.752528753,31.9,908
FCR,50,7/22/2024,8,1,683,1.99,28.2,NA,NA,2.152574316,0.750541261,33.9,830
FCR,50,7/22/2024,0.1,1,168,2.55,8.65,3.9383938,10.27892475,6.340530952,NA,29.2,839
FCR,50,7/22/2024,1.6,1,175,4.65,4.78,4.433260175,10.75297062,6.319710444,NA,45.1,766
FCR,50,7/22/2024,3.8,1,23.6,1.52,0.104,3.485973212,9.407711447,5.921738236,NA,48.4,626
FCR,50,7/22/2024,5,1,214,4.41,8.59,4.822700466,8.751641358,3.928940892,0.427039684,44.9,631
FCR,50,7/22/2024,6.2,1,497,2.16,15.9,4.319303057,8.54901198,4.229708923,NA,35.7,667
FCR,50,7/22/2024,9,1,805,2.43,33.9,5.534011581,8.102175942,2.568164361,NA,39.8,908
BVR,50,7/29/2024,0.1,1,22.6,9.1,4.7,3.725401144,14.56504126,10.83964012,0.692767185,19.9,435
BVR,50,7/29/2024,3,1,13.5,10.5,1.9,3.729335495,11.83409283,8.104757335,0.502576219,23.1,671
BVR,50,7/29/2024,6,1,228,6.4,2.5,4.925680453,9.413184268,4.487503816,0.45684983,15.9,624
BVR,50,7/29/2024,9,1,1190,43.7,3.4,5.085905293,9.66253071,4.576625417,1.500461888,19.6,1160
FCR,100,7/29/2024,0.1,1,14.4,26.3,65.7,6.037711163,8.051997954,2.014286791,0.166041057,46.8,290
FCR,20,7/29/2024,0.1,1,13.6,6.92,8.4,4.334888161,10.63859757,6.303709407,NA,35.2,744
FCR,200,7/29/2024,0.1,1,62.6,6.7,15,7.454739582,11.31899026,3.864250679,0.264530856,85.7,126
FCR,50,7/29/2024,0.1,1,22.6,3.59,15.9,4.064134094,9.549819424,5.48568533,NA,33.2,603
FCR,50,7/29/2024,1.6,1,23.9,5.28,12.3,4.276346741,9.843205795,5.566859054,NA,32.1,640
FCR,50,7/29/2024,3.8,1,21.6,3.46,-0.282,4.737340155,7.750175285,3.01283513,NA,50.9,635
FCR,50,7/29/2024,5,1,364,-0.0125,16.3,4.048588928,9.258139914,5.209550986,NA,22.6,789
FCR,50,7/29/2024,6.2,1,575,6.47,39.1,6.032957365,8.945344401,2.912387036,0.991433573,29.5,669
FCR,50,7/29/2024,8,1,883,1.21,46.9,4.673516237,9.279113044,4.605596807,NA,17.2,1070
FCR,50,7/29/2024,9,1,831,2.62,44.5,5.587674549,8.36561457,2.777940021,NA,25.5,1370
BVR,50,8/5/2024,0.1,1,28.1,6.94,4.66,3.280989688,11.55845707,8.277467378,0.657814796,20.3,605
BVR,50,8/5/2024,3,1,33.6,7.42,2.51,3.816788862,11.41137374,7.594584874,0.675174363,22.1,655
BVR,50,8/5/2024,6,1,110,4.55,0.025,4.51,8.35,3.84,0.33,24.2,517
BVR,50,8/5/2024,9,1,1380,30.5,8.67,4.345966883,9.432462726,5.086495843,NA,16,1420
FCR,100,8/5/2024,0.1,1,13.3,23.8,73.8,5.903234983,8.11555375,2.212318767,0.276772742,48.1,328
FCR,20,8/5/2024,0.1,1,9.14,4.55,-1.38,4.302202535,9.77772683,5.475524295,NA,30.6,524
FCR,50,8/5/2024,6.2,1,931,9.32,79.8,8.016960244,10.29257755,2.275617304,0.182299685,21.9,1000
FCR,50,8/5/2024,0.1,1,27.2,4.43,0.0575,3.878752931,10.68783369,6.809080759,NA,40.1,724
FCR,50,8/5/2024,1.6,1,28.2,4.87,2.44,4.673940552,10.73605463,6.062114081,NA,35,549
FCR,50,8/5/2024,3.8,1,19.8,3.16,-0.765,4.251648576,8.939114026,4.68746545,NA,67.4,682
FCR,50,8/5/2024,5,1,497,6.65,21.1,5.996384837,9.069926944,3.073542106,0.931978015,31.5,725
FCR,50,8/5/2024,8,1,940,4.06,76.3,6.143118435,8.514331588,2.371213152,1.401817123,20.7,1140
FCR,50,8/5/2024,9,1,1010,0.786,71.6,4.558312246,9.337065114,4.778752868,NA,27.3,1120
FCR,100,8/12/2024,0.1,1,11.6,23,60.6,5.008047592,7.886269491,2.878221899,0.221004029,35.8,251
FCR,20,8/12/2024,0.1,1,7.62,3.97,1.3,NA,NA,4.283462025,0.272125189,37.8,355
FCR,50,8/12/2024,8,1,1090,2.03,88.5,6.375022021,8.759314548,2.384292527,1.347571442,21.2,1200
FCR,50,8/12/2024,0.1,1,13.1,6.42,1.44,3.966055172,9.846896771,5.880841598,0.414426485,28.7,538
FCR,50,8/12/2024,1.6,1,10.4,2.67,-1.45,3.604155392,10.53890495,6.934749563,NA,32.5,496
FCR,50,8/12/2024,3.8,1,16.1,1.88,-3.67,5.074949279,8.712805363,3.637856084,NA,56.7,531
FCR,50,8/12/2024,5,1,347,1.43,3.6,5.26667243,8.312317738,3.045645308,NA,43.3,661
FCR,50,8/12/2024,6.2,1,1010,5.33,85.5,6.500884529,9.044129002,2.543244473,1.410692429,23.9,1160
FCR,50,8/12/2024,9,1,1060,5.03,86.4,6.424397712,9.000179157,2.575781445,1.430083431,20.2,1220
CCR,100,8/14/2024,0.1,1,1.366131518,9.127588062,129.2625402,5.223566023,7.98910296,2.765536938,0.240014406,NA,NA
CCR,101,8/14/2024,0.1,1,5.471222886,9.068218521,100.3274226,5.293943451,8.083466024,2.789522574,0.216703031,4.21,175
CCR,50,8/14/2024,0.1,1,4.28,3.12,1.68,13.25117627,15.72129239,2.470116121,0.16166696,8.6,202
CCR,50,8/14/2024,1.5,1,9.6,4.85,-0.761,11.99508267,15.39340122,3.398318552,0.178485244,8.3,220
CCR,50,8/14/2024,20,1,1170,5.84,27.6,18.36,22.04,3.68,2.21,23.9,1520
CCR,50,8/14/2024,6,1,8.35,4.5,2.46,13.20810015,15.84959519,2.641495037,0.21995083,8.3,190
CCR,50,8/14/2024,9,1,9.97,0.874,64.2,13.28507591,16.2021734,2.917097486,0.058475312,15,311
CCR,88,8/14/2024,0.1,1,-2.3,-0.3,1.7,12.76792092,14.31923731,1.551316396,0.153587121,NA,NA
CCR,88,8/14/2024,1.5,1,-1.382328227,5.209776162,0.308228911,11.47841354,14.28620585,2.80779231,0.170646603,NA,NA
CCR,88,8/14/2024,6,1,8.340164523,6.901414634,0.880720514,11.58412253,14.87550636,3.291383826,0.223371324,NA,NA
CCR,88,8/14/2024,9,1,7.6,6.2,77.5,12.69083309,15.62189882,2.931065735,0.278422345,NA,NA
CCR,88,8/14/2024,10,1,7,4.5,78.7,14.01370473,15.33692081,1.323216073,0.208261655,NA,NA
CCR,90,8/14/2024,0.1,2,10.7,0.838,1.94,12.04648739,14.60358615,2.557098753,0.051923504,NA,NA
CCR,90,8/14/2024,0.1,1,1.520505026,5.06139726,1.540686389,11.24333248,14.55429456,3.31096208,0.219582122,NA,NA
CCR,90,8/14/2024,1.5,1,7.8,6.4,-0.4,11.5028241,14.941128,3.438303898,0.230441056,NA,NA
CCR,90,8/14/2024,1.5,2,12.2,-0.334,2.62,11.66793079,14.903685,3.235754213,0.222338429,NA,NA
CCR,90,8/14/2024,4,1,3.3,4.6,1,11.9105795,14.9211089,3.010529397,0.190931821,NA,NA
CCR,92,8/14/2024,0.1,1,5.1009448,2.9842694,3.312346915,12.42649655,15.4024938,2.975997249,0.215238548,NA,NA
CCR,92,8/14/2024,0.5,1,2.4,-0.1,0.4,13.06838726,14.5996195,1.531232237,0.163340755,NA,NA
CCR,96,8/14/2024,0.1,1,0.439813747,9.840043559,9.096702308,9.370449815,12.34875778,2.978307962,0.190797705,NA,NA
CCR,98,8/14/2024,0.1,1,10.37542082,6.337510834,19.77583282,5.540046057,9.957947666,4.417901609,0.212882792,NA,NA
BVR,50,8/19/2024,0.1,1,19.3,8.5,1.5,3.198639553,12.20954648,9.010906925,0.596821951,32.6,560
BVR,50,8/19/2024,3,1,30.7,8.5,3.4,3.122671346,12.09867913,8.976007781,0.651037435,36.4,478
BVR,50,8/19/2024,6,1,887,43.6,3.09,5.233517447,10.23578325,5.002265799,1.227556452,20.5,1140
BVR,50,8/19/2024,9,1,2210,13,5.46,6.093185614,11.2906988,5.197513191,2.958572282,10.7,2920
FCR,100,8/19/2024,0.1,1,8.67,20.2,56.9,4.232546134,7.941772643,3.709226508,NA,73.4,457
FCR,20,8/19/2024,0.1,1,1.9,4.1,1.9,4.632877551,9.954937462,5.322059911,0.40069859,34.4,411
FCR,50,8/19/2024,0.1,1,7.98,3.34,-1.3,4.303666071,9.830008485,5.526342414,NA,28.9,544
FCR,50,8/19/2024,1.6,1,12.8,7.56,5.16,4.598811165,10.1756345,5.576823334,0.470783059,29,475
FCR,50,8/19/2024,3.8,1,11.3,5.21,-0.489,6.374250775,9.170989227,2.796738452,0.248490984,90.1,818
FCR,50,8/19/2024,5,1,203,4.72,7.07,5.291332991,9.744492369,4.453159378,0.577848158,40.8,715
FCR,50,8/19/2024,6.2,1,974,2.25,70.5,5.045195847,9.291429926,4.246234079,NA,29.1,1170
FCR,50,8/19/2024,8,1,1050,3.85,78.8,6.237706192,8.767857486,2.530151294,1.432127131,46.9,1270
FCR,50,8/19/2024,9,1,1100,4.43,90.9,6.06,9.05,2.99,1.24,18,1260
BVR,50,8/26/2024,0.1,1,22.4,12.1,8.08,3.873289703,12.67712379,8.803834086,0.09166634,19.1,627
BVR,50,8/26/2024,3,1,15.8,8.5,2.07,3.309816884,11.74510797,8.435291087,0.693713421,25.6,374
BVR,50,8/26/2024,6,1,48,2.89,2.85,4.147760343,8.881019526,4.733259183,NA,40.5,598
BVR,50,8/26/2024,9,1,1760,24.6,6.7,5.906909794,10.4037098,4.496800007,2.245327793,24.1,1442
FCR,20,8/26/2024,0.1,1,5.06,2.66,-3.85,3.456266522,10.46630259,7.01003607,NA,34.7,500
FCR,50,8/26/2024,1.6,1,12,6.43,6.99,5.407015456,10.8222202,5.415204741,0.475570571,28.7,427
FCR,50,8/26/2024,0.1,1,15.2,6.87,6.35,4.885317376,10.39966681,5.514349431,0.438203291,28.6,235
FCR,50,8/26/2024,3.8,1,14.4,8.22,3.94,5.448832248,10.37673871,4.927906459,0.430636452,97.6,867
FCR,50,8/26/2024,5,1,372,5.11,17.4,5.904264526,9.235979096,3.331714571,0.628208365,41.5,700
FCR,50,8/26/2024,6.2,1,882,8.22,63.9,6.325074245,10.08514471,3.760070466,1.219258116,38.4,1210
FCR,50,8/26/2024,8,1,929,8.08,61.9,6.739738439,9.247417313,2.507678875,1.29730046,36.5,1380
FCR,50,8/26/2024,9,1,1140,10.8,82.9,6.703189672,9.326444995,2.623255322,1.591775164,28.8,1470
BVR,50,9/2/2024,0.1,1,7.7,10.1,0.6,3.267631699,12.61320605,9.345574351,0.609044103,18.9,415
BVR,50,9/2/2024,3,1,13.9,8.54,2.26,3.120963971,12.46860868,9.347644707,0.582330286,24.1,494
BVR,50,9/2/2024,6,1,96.8,4.52,0.182,5.200214384,8.803244231,3.603029847,0.381293773,24.3,411
BVR,50,9/2/2024,9,1,2850,15.4,3.23,6.716140512,11.97030816,5.254167651,3.630351854,20.5,2445
FCR,100,9/2/2024,0.1,1,12.2,26.2,66.1,5.265295143,7.90165152,2.636356377,0.207021904,88.6,482
FCR,20,9/2/2024,0.1,1,7.77,2.76,-1.03,4.085222285,9.421704429,5.336482144,NA,29.4,440
FCR,200,9/2/2024,0.1,1,78.3,8.45,2.08,5.95,9.81,3.86,0.37,356,246
FCR,50,9/2/2024,0.1,1,14.9,4.71,-0.539,4.596373171,9.703111265,5.106738094,NA,26.4,476
FCR,50,9/2/2024,1.6,1,18.6,7.64,3.54,4.826333303,10.36056379,5.534230492,0.522234562,21.5,373
FCR,50,9/2/2024,3.8,1,10.5,5.16,-0.398,3.878318879,9.653869764,5.775550885,NA,39.9,381
FCR,50,9/2/2024,5,1,885,4.66,33.8,6.125596271,9.235577936,3.109981665,1.127739699,30.4,1230
FCR,50,9/2/2024,6.2,1,781,3.95,46.2,4.719260433,9.583607311,4.864346878,NA,24.3,1340
FCR,50,9/2/2024,8,1,1250,3.93,80,7,10.24,3.24,1.41,26.5,1418
FCR,50,9/2/2024,9,1,1270,0.139,76.3,5.800033973,8.403944612,2.603910638,NA,19.8,1446
FCR,100,9/9/2024,0.1,1,15.7,19.8,60.8,3.974322205,7.37221398,3.397891775,NA,49.3,311
FCR,20,9/9/2024,0.1,1,7.8,4.6,-2.5,4.723598113,9.476853416,4.753255303,0.356608616,23.9,413
FCR,50,9/9/2024,6.2,1,1230,7.8,65.3,7.907045566,10.36661434,2.459568773,2.067105678,12.1,1700
FCR,50,9/9/2024,0.1,1,11.9,2.94,-1.74,4.633449403,9.722907231,5.089457828,NA,19.1,425
FCR,50,9/9/2024,1.6,1,18.9,7.59,3.51,3.894273727,10.12272515,6.228451419,NA,23.9,424
FCR,50,9/9/2024,3.8,1,10.4,3.5,1.8,5.299476465,9.948872971,4.649396506,0.432809638,26.2,235
FCR,50,9/9/2024,5,1,457,8.43,7.09,6.122746019,9.713042563,3.590296544,0.775851725,39.6,881
FCR,50,9/9/2024,8,1,1240,5.3,60.9,7.38407721,10.09543151,2.711354296,1.735063166,25.8,1122
FCR,50,9/9/2024,9,1,1200,6.05,54.2,5.278802792,10.13177253,4.852969741,NA,22.1,1474
CCR,101,9/16/2024,0.1,1,9.2,7.3,96.5,7.356848735,8.799120292,1.442271557,0.195852866,7.88,153
CCR,50,9/16/2024,0.1,1,18.6,14.3,3.25,12.44583615,15.97137731,3.525541156,0.215062787,15.3,208
CCR,50,9/16/2024,1.5,1,16.2,10.6,2.86,11.66,15.37,3.71,0.25,9.7,126
CCR,50,9/16/2024,20,1,2350,5.41,4.33,22.05378067,24.38094581,2.327165138,2.940487725,10.5,2500
CCR,50,9/16/2024,6,1,10.5,6.18,0.47,12.35,15.72,3.37,0.23,5.55,155
CCR,50,9/16/2024,9,1,12.8,5.08,94.9,13.58,16.17,2.59,0.25,10.2,276
CCR,88,9/16/2024,0.1,1,2.5,6.5,3.7,12.16771564,15.33198506,3.164269419,0.214680045,NA,NA
CCR,88,9/16/2024,1.5,1,12.3,6.6,0.8,12.69400941,14.38896198,1.694952574,0.165724976,NA,NA
CCR,88,9/16/2024,6,1,8,5.2,0.3,13.11069892,15.52384226,2.41314334,0.188916949,NA,NA
CCR,88,9/16/2024,9,1,5.779771882,5.031721682,96.52564499,13.65271723,16.2102152,2.557497964,0.261271065,NA,NA
CCR,88,9/16/2024,9,2,7.4,2.32,96.8,12.91081364,15.63397242,2.723158782,0.252786492,NA,NA
CCR,88,9/16/2024,10,1,11.67025248,7.732475071,120.1171899,13.52738973,16.24216061,2.714770878,0.284233622,NA,NA
CCR,90,9/16/2024,0.1,1,5.2,5.3,0.3,13.2949421,14.91263877,1.617696665,0.16204027,NA,NA
CCR,90,9/16/2024,1.5,1,3.2,5.7,0.7,12.4979518,15.56909834,3.071146545,0.209185986,NA,NA
CCR,90,9/16/2024,3,1,4.4,4.9,-0.6,12.76916887,15.49937098,2.73020211,0.182386431,NA,NA
CCR,92,9/16/2024,0.1,1,64.99499493,8.296439006,5.702649459,12.93439741,16.86241732,3.928019909,0.283222036,NA,NA
FCR,100,9/17/2024,0.1,1,10.7,27.5,6.53,6.31489647,9.911363906,3.596467436,0.053177467,179,876
FCR,20,9/17/2024,0.1,1,10.1,6,0.5,5.029780011,9.377294687,4.347514677,0.412614799,24.2,384
FCR,50,9/17/2024,0.1,1,11.2,4.22,-11.5,3.762390335,10.56675285,6.804362512,NA,21.7,387
FCR,50,9/17/2024,1.6,1,14.3,4.6,2.8,4.714230229,9.706293328,4.992063099,0.435506465,21.2,365
FCR,50,9/17/2024,3.8,1,6.79,2.41,-2.34,4.294135654,9.116780357,4.822644703,NA,17,588
FCR,50,9/17/2024,5,1,1180,4.2,25.2,7.271169553,9.596627114,2.325457561,1.550550073,29.9,1350
FCR,50,9/17/2024,6.2,1,835,5.56,33.1,6.363592332,9.7643277,3.400735368,1.178150964,28.3,1040
FCR,50,9/17/2024,8,1,1540,3.28,64.5,7.524764759,9.673230937,2.148466178,2.122041579,14.8,2319
FCR,50,9/17/2024,9,1,1270,-0.0348,49.2,5.979037836,9.116780357,3.137742521,NA,15,1610
