ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
21 - 07/23/2020,0.4,"1,945.7",772.7,31.3,"5,170.1",8.9,-0.1,0.7,"1,216.3","1,518.0",0.8,0.1,0.2,0.3822,382.2,0.0153,15.3,0.1,0.1,0.3,5.5,0.1,0.0,10.5,0.0,0.0,0.0,0.0,19.3,0.0,0.0
22 - 07/23/2020,0.4,"1,953.1",768.1,21.4,"5,139.6",4.3,0.0,0.8,"1,216.3","1,500.8",0.7,0.1,0.1,0.1105,110.5,0.0059,5.9,0.0,0.3,0.4,29.6,0.1,0.0,10.3,0.0,0.0,0.0,0.0,20.8,0.0,0.0
23 - 07/23/2020,0.4,"1,911.9",749.5,38.6,"4,991.1",20.9,-0.2,0.7,"1,200.6","1,717.2",0.8,0.1,0.1,0.6459,645.9,0.8376,837.6,1.1,0.2,0.4,5.4,0.1,0.0,11.5,0.0,0.0,0.0,0.1,43.9,0.1,0.0
24 - 07/23/2020,0.3,"1,909.8",751.5,20.6,"5,006.4",3.3,-0.2,0.8,"1,193.7","1,720.0",0.6,0.0,0.1,0.0231,23.1,0.7546,754.6,0.9,0.2,0.3,27.7,0.1,-0.1,11.5,0.0,0.0,0.0,0.0,39.1,-0.1,0.0
25 - 07/23/2020,0.3,"2,071.1",810.3,44.9,"6,486.3",17.2,-0.5,0.8,"1,321.0","2,066.7",-1.0,0.4,0.1,12.6667,"12,666.7",1.1608,"1,160.8",1.9,0.2,0.3,5.4,0.6,-0.1,13.9,0.2,0.0,0.0,0.0,66.4,0.1,0.0
26 - 07/23/2020,0.3,"2,071.4",808.4,20.7,"6,497.2",3.8,-0.7,0.8,"1,319.2","2,106.7",0.8,0.3,0.3,12.3852,"12,385.2",1.1648,"1,164.8",1.9,0.2,0.3,19.5,0.5,-0.1,14.2,0.2,0.0,0.0,0.0,65.9,-0.1,0.0
27 - 07/23/2020,0.3,"2,044.2",798.7,42.3,"6,548.1",34.0,-0.6,0.8,"1,307.8","2,105.8",1.0,0.4,0.1,13.9361,"13,936.1",1.1447,"1,144.7",1.7,0.2,0.3,8.0,0.6,0.0,14.2,0.2,0.0,0.0,0.0,71.5,0.0,0.0
28 - 07/23/2020,0.3,"2,048.0",797.9,21.5,"6,478.3",13.7,-0.6,0.8,"1,307.6","2,104.4",0.8,0.3,0.1,13.3881,"13,388.1",1.1401,"1,140.1",1.7,0.2,0.2,12.6,0.6,-0.1,14.2,0.2,0.0,0.0,0.0,69.9,0.0,0.0
1 - 07/23/2020,0.5,"2,410.0",838.0,35.2,"6,458.3",16.4,-0.1,0.8,"1,164.2","1,728.2",1.0,0.3,0.1,0.3595,359.5,0.0169,16.9,0.1,0.1,0.9,4.7,0.1,-0.1,11.7,0.0,0.0,0.0,0.0,13.4,0.0,0.0
2 - 07/23/2020,0.4,"2,568.6",811.2,27.1,"6,499.7",6.5,-0.1,0.9,"1,341.5","1,653.9",0.8,0.3,0.1,0.2406,240.6,0.0034,3.4,0.1,0.3,3.1,14.8,0.1,0.0,11.2,0.0,0.0,0.0,0.0,12.8,0.3,0.0
3 - 07/23/2020,0.5,"2,446.7",865.7,41.5,"6,476.8",21.6,0.0,0.8,"1,178.4","1,835.5",1.2,0.3,0.1,0.3825,382.5,0.0161,16.1,0.1,0.1,0.9,6.3,0.1,0.0,12.1,0.0,0.0,0.0,0.0,13.7,0.0,0.0
4 - 07/23/2020,0.5,"2,521.6",819.9,24.6,"6,639.7",4.0,-0.1,0.9,"1,233.2","1,690.0",0.7,0.3,0.1,0.2393,239.3,0.0032,3.2,0.1,0.1,1.9,10.0,0.1,0.0,11.4,0.0,0.0,0.0,0.0,11.7,0.0,0.0
5 - 07/23/2020,0.5,"2,556.5","1,033.7",36.8,"6,896.0",27.7,1.2,1.0,"1,123.8","2,402.3",1.2,0.2,0.2,0.4466,446.6,0.1928,192.8,0.3,0.2,1.1,5.2,0.1,0.0,16.1,0.0,0.0,0.0,0.0,30.8,0.0,0.0
6 - 07/23/2020,0.5,"2,574.3","1,035.7",30.9,"6,925.9",5.4,1.1,1.1,"1,114.5","2,480.5",0.8,0.2,0.2,0.1054,105.4,0.1687,168.7,0.2,0.2,0.8,18.7,0.1,0.0,16.3,0.0,0.0,0.0,0.0,27.9,0.0,0.0
7 - 07/23/2020,0.5,"2,833.5","1,199.5",30.2,"8,049.0",26.6,0.4,1.0,"1,206.8","3,025.9",1.2,0.1,0.1,1.2369,"1,236.9",1.4185,"1,418.5",3.6,0.3,0.6,5.6,0.1,-0.1,20.1,0.0,0.0,0.0,0.0,35.6,0.0,0.0
8 - 07/23/2020,0.4,"2,888.4","1,198.7",22.4,"8,165.1",2.3,0.2,1.1,"1,212.8","3,052.3",0.8,0.0,0.1,0.0606,60.6,1.3893,"1,389.3",3.5,0.2,0.4,20.6,0.1,-0.1,20.5,0.0,0.0,0.0,0.0,30.4,0.1,0.0
9 - 07/23/2020,0.4,"2,934.4","1,219.3",24.8,"8,416.0",19.5,0.0,0.9,"1,195.6","3,099.8",0.9,0.1,0.1,2.3916,"2,391.6",1.2336,"1,233.6",3.0,0.2,0.5,5.7,0.1,-0.1,20.9,0.1,0.0,0.0,0.0,50.9,0.0,0.0
10 - 07/23/2020,0.4,"2,983.5","1,218.4",29.7,"8,451.7",4.5,0.0,1.1,"1,222.2","3,112.9",0.9,0.0,0.1,0.0336,33.6,1.1960,"1,196.0",2.8,0.2,0.6,13.8,0.1,-0.1,20.7,0.0,0.0,0.0,0.0,31.7,0.0,0.0
11 - 07/23/2020,0.5,"2,836.2","1,173.4",30.7,"8,150.4",24.7,0.0,0.9,"1,172.3","3,012.3",1.2,0.1,0.2,2.5891,"2,589.1",1.1073,"1,107.3",2.7,0.3,0.8,5.8,0.1,-0.1,20.4,0.1,0.0,0.0,0.0,57.5,0.0,0.0
12 - 07/23/2020,0.5,"2,922.4","1,185.3",28.6,"8,035.0",6.5,0.0,1.1,"1,202.0","2,990.8",0.9,0.1,0.1,0.0548,54.8,1.0711,"1,071.1",2.5,0.2,0.5,25.7,0.1,-0.2,19.8,0.0,0.0,0.0,0.0,32.1,0.0,0.0
13 - 07/23/2020,0.4,"2,883.9","1,187.6",24.7,"8,238.3",20.0,-0.1,0.9,"1,180.7","3,004.3",1.1,0.1,0.1,2.1851,"2,185.1",1.1104,"1,110.4",2.6,0.2,0.5,4.7,0.1,-0.2,20.3,0.1,0.0,0.0,0.0,46.7,0.0,0.0
14 - 07/23/2020,0.4,"2,929.7","1,194.5",20.3,"8,224.2",4.4,-0.2,1.1,"1,226.8","3,025.0",0.8,0.0,0.1,0.0399,39.9,1.1062,"1,106.2",2.5,0.2,0.5,19.5,0.1,-0.2,20.1,0.0,0.0,0.0,0.0,33.8,0.0,0.0
19 - 07/30/2020,0.3,"2,034.2",779.3,29.1,"5,222.7",8.6,-0.3,0.8,"1,277.7","1,514.1",0.8,0.2,0.2,0.4591,459.1,0.0170,17.0,0.1,0.2,0.9,6.7,0.1,-0.1,10.5,0.0,0.0,0.0,0.1,18.7,0.2,0.0
20 - 07/30/2020,0.3,"2,052.6",783.0,25.6,"5,325.3",2.8,-0.3,0.8,"1,267.7","1,527.2",-1.4,0.1,0.1,0.2625,262.5,0.0012,1.2,0.1,0.1,0.3,6.6,0.1,0.0,10.7,0.0,0.0,0.0,0.0,18.4,0.3,0.0
21 - 07/30/2020,0.3,"1,961.4",774.9,28.3,"5,222.9",7.4,-0.3,0.7,"1,225.7","1,513.1",-1.4,0.1,0.1,0.4257,425.7,0.0199,19.9,0.1,0.1,0.3,3.1,0.1,0.0,10.6,0.0,0.0,0.0,0.0,20.2,0.0,0.0
22 - 07/30/2020,0.4,"2,009.7",771.4,25.5,"5,157.7",5.5,-0.2,0.8,"1,250.4","1,514.0",-1.3,0.1,0.1,0.1596,159.6,0.0056,5.6,0.0,0.2,0.8,7.4,0.1,-0.1,10.4,0.0,0.0,0.0,0.0,18.7,0.0,0.0
23 - 07/30/2020,0.3,"1,899.4",768.0,30.4,"5,122.2",14.3,-0.2,0.7,"1,225.7","1,687.4",-1.3,0.1,0.2,0.5249,524.9,0.6147,614.7,0.9,0.1,0.3,4.7,0.1,-0.1,11.6,0.0,0.0,0.0,0.0,38.4,0.1,0.0
24 - 07/30/2020,0.3,"1,881.8",764.0,14.9,"4,903.7",3.0,-0.3,0.7,"1,213.6","1,670.6",0.6,0.0,0.1,0.0249,24.9,0.4324,432.4,0.5,0.1,0.4,5.9,0.1,-0.1,11.5,0.0,0.0,0.0,0.0,33.6,0.0,0.0
25 - 07/30/2020,0.3,"2,066.3",817.0,37.7,"6,417.0",16.6,-0.6,0.8,"1,306.3","2,069.2",1.1,0.3,0.1,11.7571,"11,757.1",1.1885,"1,188.5",1.9,0.2,0.4,5.2,0.5,0.1,14.0,0.2,0.0,0.0,0.0,68.4,0.2,0.0
26 - 07/30/2020,0.3,"2,055.5",804.3,21.2,"6,321.3",3.8,-0.6,0.8,"1,295.8","2,061.7",0.8,0.2,0.1,11.1902,"11,190.2",1.1673,"1,167.3",1.9,0.1,0.1,7.3,0.4,-0.1,13.9,0.2,0.0,0.0,0.0,63.4,0.1,0.0
27 - 07/30/2020,0.2,"2,127.8",835.0,38.4,"7,191.7",30.8,-0.7,0.8,"1,375.1","2,292.2",1.2,0.5,0.2,21.0680,"21,068.0",1.3802,"1,380.2",2.0,0.2,0.3,4.6,0.8,0.0,15.6,0.3,0.0,0.0,0.0,91.9,0.1,0.0
28 - 07/30/2020,0.2,"2,121.1",815.7,20.3,"7,024.4",12.5,-0.8,0.8,"1,365.6","2,268.8",0.8,0.4,0.1,19.7858,"19,785.8",1.3432,"1,343.2",1.9,0.2,0.1,8.8,0.8,0.0,15.4,0.3,0.0,0.0,0.0,86.9,0.0,0.0
