ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
10/28/2020 - 2,0.4,"2,960.9","1,144.3",14.9,"8,338.3",6.5,1.3,-2.4,"1,423.2","2,491.4",0.7,-0.1,0.1,0.0708,70.8,0.0041,4.1,0.1,0.1,0.9,5.1,0.1,0.5,16.9,0.0,0.0,0.0,0.0,20.1,0.3,0.0
10/28/2020 - 3,0.4,"2,963.5","1,166.8",17.5,"8,377.1",24.2,1.3,-2.5,"1,394.7","2,534.7",0.7,-0.1,0.1,0.3378,337.8,0.0483,48.3,0.1,0.1,0.7,1.1,0.1,0.5,17.2,0.0,0.0,0.0,0.0,22.2,0.3,0.0
10/28/2020 - 4,0.4,"2,962.6","1,141.0",12.7,"8,415.7",5.6,1.2,-2.5,"1,383.7","2,473.3",0.6,-0.1,0.1,0.0655,65.5,0.0029,2.9,0.1,0.1,0.6,3.5,0.0,0.6,16.9,0.0,0.0,0.0,-0.1,19.7,0.2,0.0
10/28/2020 - 5,0.4,"2,904.6","1,153.1",14.5,"8,306.8",21.2,1.3,-2.5,"1,359.4","2,550.8",0.6,-0.1,0.1,0.4226,422.6,0.0863,86.3,0.1,0.1,0.6,0.6,0.1,0.5,17.5,0.0,0.0,0.0,-0.1,25.8,0.2,0.0
10/28/2020 - 6,0.5,"2,960.8","1,159.4",13.5,"8,321.3",3.2,1.3,-2.4,"1,356.5","2,563.8",0.6,-0.2,0.3,0.0196,19.6,0.0036,3.6,0.0,0.1,0.4,6.2,0.0,0.5,17.4,0.0,0.0,0.0,-0.1,25.7,0.2,0.0
10/28/2020 - 7,0.4,"2,945.6","1,210.3",15.9,"8,429.7",17.6,1.0,-2.5,"1,362.7","2,825.6",1.1,-0.1,0.1,0.8120,812.0,0.6976,697.6,0.9,0.1,0.5,1.0,0.1,0.5,19.6,0.0,0.0,0.0,-0.1,41.3,0.2,0.0
10/28/2020 - 8,0.4,"2,950.0","1,207.3",12.7,"8,367.9",2.1,1.0,-2.5,"1,358.7","2,784.5",0.7,-0.2,0.1,0.0157,15.7,0.5324,532.4,0.6,0.1,0.5,6.0,0.0,0.6,19.4,0.0,0.0,0.0,-0.1,38.8,0.2,0.0
10/28/2020 - 9,0.4,"2,913.2","1,279.4",16.5,"8,144.7",17.5,1.2,-2.5,"1,353.1","3,300.9",0.7,-0.1,0.1,2.3057,"2,305.7",1.8559,"1,855.9",4.0,0.2,0.5,2.7,0.1,0.4,23.2,0.1,0.0,0.0,-0.1,69.2,0.4,0.0
10/28/2020 - 10,0.4,"2,974.2","1,293.2",23.7,"8,176.3",2.0,1.0,-2.4,"1,408.3","3,302.2",0.6,-0.2,0.1,0.0102,10.2,1.7543,"1,754.3",3.6,0.3,0.7,10.3,0.0,0.4,23.1,0.0,0.0,0.0,-0.1,67.7,0.4,0.0
10/28/2020 - 11,0.4,"2,922.4","1,311.4",14.5,"8,289.1",13.8,1.0,-2.5,"1,367.1","3,430.6",0.7,-0.1,0.1,2.7962,"2,796.2",2.1398,"2,139.8",4.8,0.2,0.5,1.1,0.1,0.5,24.1,0.1,0.0,0.0,-0.1,76.7,0.3,0.0
10/28/2020 - 12,0.4,"2,964.9","1,322.6",12.1,"8,212.2",0.1,0.9,-2.5,"1,363.5","3,374.7",0.6,-0.2,0.1,0.0009,0.9,2.0060,"2,006.0",4.3,0.2,0.4,5.6,0.0,0.4,23.6,0.1,0.0,0.0,0.2,74.7,0.3,0.0
10/28/2020 - 13,0.4,"2,986.0","1,322.3",16.3,"8,362.0",11.7,1.0,-2.5,"1,375.2","3,415.7",0.7,-0.1,0.2,2.8017,"2,801.7",2.1051,"2,105.1",4.7,0.2,0.7,0.3,0.1,0.5,23.9,0.1,0.0,0.1,0.1,76.6,0.9,0.0
10/28/2020 - 14,0.4,"2,953.8","1,314.7",7.2,"8,194.6",0.2,0.9,-2.5,"1,355.0","3,373.5",0.6,-0.2,0.1,0.0168,16.8,2.0162,"2,016.2",4.4,0.2,0.3,8.0,0.0,0.5,23.7,0.0,0.0,0.1,0.0,74.4,0.8,0.0
11/02/2020 - 1,0.5,"2,963.1","1,225.4",35.3,"8,457.2",20.4,1.3,-2.5,"1,426.8","2,845.1",1.1,-0.1,0.1,1.5682,"1,568.2",0.7685,768.5,1.6,0.1,0.8,1.1,0.1,0.4,19.4,0.0,0.0,0.0,0.0,42.3,0.3,0.0
11/02/2020 - 2,0.4,"2,939.2","1,203.3",10.4,"8,338.5",2.0,1.2,-2.4,"1,407.9","2,810.2",0.6,-0.2,0.2,0.0180,18.0,0.6459,645.9,1.2,0.1,0.5,9.2,0.0,0.5,19.4,0.0,0.0,0.0,0.0,41.2,0.2,0.0
11/02/2020 - 3,0.5,"2,955.0","1,218.6",30.6,"8,504.4",19.6,1.4,-2.5,"1,424.8","2,852.1",1.0,0.0,0.2,1.5857,"1,585.7",0.7703,770.3,1.6,0.1,0.7,1.2,0.1,0.6,19.3,0.0,0.0,0.0,0.0,42.2,0.3,0.0
11/02/2020 - 4,0.4,"2,961.5","1,206.6",11.9,"8,360.3",2.5,1.2,-2.3,"1,418.0","2,791.3",0.6,-0.2,0.1,0.0146,14.6,0.6472,647.2,1.2,0.2,0.9,9.0,0.0,0.5,19.3,0.0,0.0,0.0,-0.1,42.5,0.2,0.0
11/02/2020 - 5,0.5,"2,927.9","1,199.6",49.7,"8,444.2",21.7,1.2,-2.5,"1,404.1","2,772.8",1.7,0.0,0.1,1.4730,"1,473.0",0.7026,702.6,1.5,0.1,0.7,0.9,0.1,0.5,19.0,0.0,0.0,0.0,-0.1,41.0,0.3,0.0
11/02/2020 - 6,0.5,"2,915.2","1,189.5",11.7,"8,298.7",1.6,1.3,-2.4,"1,399.9","2,761.8",0.6,-0.2,0.2,0.0132,13.2,0.6004,600.4,1.1,0.1,0.4,6.6,0.0,0.6,19.0,0.0,0.0,0.0,-0.1,38.6,0.2,0.0
11/02/2020 - 7,0.4,"2,928.6","1,201.9",32.3,"8,496.6",18.8,1.2,-2.5,"1,412.7","2,778.7",1.0,0.0,0.1,1.4272,"1,427.2",0.6770,677.0,1.4,0.1,0.7,0.8,0.1,0.6,19.0,0.0,0.0,0.0,-0.1,40.1,0.3,0.0
11/02/2020 - 8,0.5,"2,954.3","1,208.2",11.8,"8,410.3",2.1,1.3,-2.4,"1,406.6","2,763.9",0.6,-0.2,0.1,0.0169,16.9,0.5575,557.5,1.0,0.1,0.5,17.7,0.0,0.5,18.9,0.0,0.0,0.0,-0.1,39.2,0.2,0.0
11/02/2020 - 9,0.5,"2,925.9","1,200.6",40.6,"8,326.8",22.5,1.1,-2.5,"1,398.4","2,776.2",1.1,0.0,0.1,1.4574,"1,457.4",0.6902,690.2,1.4,0.1,0.7,1.1,0.1,0.5,18.7,0.1,0.0,0.0,0.2,40.1,0.3,0.0
11/02/2020 - 10,0.5,"2,941.8","1,205.5",13.9,"8,436.0",2.5,1.1,-2.4,"1,410.0","2,773.1",0.6,-0.2,0.1,0.0189,18.9,0.5633,563.3,1.0,0.1,0.4,7.7,0.1,0.5,18.9,0.0,0.0,0.0,0.1,38.1,0.3,0.0
11/02/2020 - 11,0.5,"2,936.0","1,193.9",27.9,"8,483.6",20.9,1.1,-2.5,"1,411.5","2,676.8",1.0,0.0,0.1,1.1902,"1,190.2",0.5094,509.4,1.1,0.1,0.7,0.8,0.1,0.6,18.4,0.0,0.0,0.0,0.0,36.1,0.3,0.0
11/02/2020 - 12,0.4,"2,914.9","1,183.9",13.6,"8,373.9",2.0,1.1,-2.4,"1,403.5","2,682.0",0.6,-0.2,0.1,0.0189,18.9,0.4100,410.0,0.7,0.1,0.4,3.8,0.0,0.5,18.4,0.0,0.0,0.0,0.0,33.9,0.2,0.0
11/02/2020 - 13,0.5,"2,930.9","1,190.3",38.3,"8,478.4",23.4,1.1,-2.5,"1,420.5","2,726.3",1.1,0.0,0.1,1.1916,"1,191.6",0.5116,511.6,1.1,0.1,0.8,0.8,0.1,0.5,18.5,0.0,0.0,0.0,0.0,35.9,0.3,0.0
11/02/2020 - 14,0.4,"2,887.4","1,167.2",13.8,"8,362.5",2.5,1.0,-2.4,"1,391.2","2,635.5",0.6,-0.2,0.1,0.0216,21.6,0.3621,362.1,0.6,0.1,0.5,10.9,0.0,0.5,18.1,0.0,0.0,0.0,0.0,33.0,0.2,0.0
11/02/2020 - 16,0.5,"2,795.4",837.0,24.7,"8,619.5",12.4,1.0,-2.7,"1,246.8","1,722.0",0.8,-0.1,0.1,0.1315,131.5,0.0046,4.6,0.0,0.1,0.2,4.7,0.0,0.5,11.4,0.0,0.0,0.0,-0.1,14.4,0.3,0.0
11/02/2020 - 17,0.5,"3,290.7","1,300.2",102.2,"10,981.7",23.6,2.2,-2.5,"1,372.0","2,363.0",3.1,0.3,0.3,1.0271,"1,027.1",0.0505,50.5,0.4,0.3,0.3,2.3,0.0,0.5,15.4,0.0,0.0,0.0,-0.1,22.4,0.4,0.0
11/02/2020 - 17,0.5,"3,339.4","1,304.8",25.0,"10,999.8",5.5,2.3,-2.4,"1,388.8","2,368.6",0.9,0.0,0.1,0.5139,513.9,0.0518,51.8,0.4,0.2,0.2,21.2,0.0,0.5,15.5,0.1,0.0,0.0,-0.1,22.7,0.3,0.0
11/04/2020 - 1,0.5,"2,932.2","1,177.5",30.1,"8,445.7",25.9,0.9,-2.5,"1,415.2","2,634.0",1.1,0.0,0.1,0.8282,828.2,0.3630,363.0,0.7,0.1,0.8,4.4,0.1,0.5,17.9,0.0,0.0,0.0,-0.1,32.2,0.3,0.0
11/04/2020 - 2,0.4,"3,310.7","1,168.8",13.0,"8,404.4",5.5,1.0,-1.9,"1,724.4","2,652.6",-1.3,-0.1,0.1,0.0343,34.3,0.2860,286.0,0.3,0.3,2.3,10.1,0.0,0.5,17.8,0.0,0.0,0.0,-0.1,29.7,0.4,0.0
11/04/2020 - 3,0.4,"2,946.5","1,181.5",44.4,"8,525.1",29.8,1.0,-2.5,"1,429.4","2,658.8",1.2,0.0,0.1,0.8608,860.8,0.3673,367.3,0.7,0.1,0.8,3.1,0.1,0.6,18.0,0.0,0.0,0.0,-0.1,32.2,0.3,0.0
11/04/2020 - 4,0.5,"2,931.5","1,165.4",13.7,"8,386.4",4.4,1.0,-2.5,"1,409.5","2,610.4",0.6,-0.1,0.1,0.0432,43.2,0.2831,283.1,0.3,0.1,0.6,4.8,0.0,0.6,17.7,0.1,0.0,0.0,0.2,29.6,0.3,0.0
11/04/2020 - 5,0.5,"2,938.0","1,184.2",47.2,"8,527.0",29.0,1.0,-2.5,"1,423.1","2,660.1",1.4,0.0,0.1,0.8852,885.2,0.3725,372.5,0.7,0.2,0.8,3.3,0.1,0.5,18.0,0.0,0.0,0.0,0.1,32.5,0.4,0.0
11/04/2020 - 6,0.5,"2,955.8","1,174.0",12.9,"8,491.6",4.2,1.0,-2.5,"1,419.5","2,626.4",0.6,-0.1,0.1,0.0492,49.2,0.2829,282.9,0.3,0.1,0.6,5.4,0.0,0.5,17.8,0.0,0.0,0.0,0.0,29.9,0.4,0.0
11/04/2020 - 7,0.4,"2,933.7","1,182.8",35.5,"8,532.3",22.9,1.0,-2.5,"1,424.6","2,635.7",1.0,0.0,0.1,0.8841,884.1,0.3708,370.8,0.7,0.2,0.9,2.8,0.1,0.6,17.9,0.0,0.0,0.0,0.0,32.1,0.3,0.0
11/04/2020 - 8,0.5,"2,959.5","1,174.7",11.1,"8,438.6",3.4,1.0,-2.5,"1,424.3","2,613.4",0.6,-0.1,0.1,0.0336,33.6,0.2816,281.6,0.3,0.1,0.6,5.9,0.0,0.6,17.7,0.0,0.0,0.0,0.0,29.8,0.3,0.0
11/04/2020 - 9,0.4,"2,929.3","1,177.9",29.4,"8,507.1",24.1,0.9,-2.5,"1,407.4","2,634.8",1.1,0.0,0.1,0.8969,896.9,0.3703,370.3,0.7,0.1,0.9,2.9,0.1,0.7,17.9,0.0,0.0,0.0,0.0,32.1,0.3,0.0
11/04/2020 - 10,0.4,"2,906.3","1,157.6",13.2,"8,447.0",3.5,0.9,-2.5,"1,391.7","2,595.0",0.6,-0.1,0.1,0.0344,34.4,0.2824,282.4,0.3,0.1,0.5,3.9,0.0,0.6,17.6,0.0,0.0,0.0,0.0,29.6,0.3,0.0
11/04/2020 - 11,0.4,"2,908.9","1,174.1",37.0,"8,454.2",25.1,0.9,-2.5,"1,405.9","2,639.5",1.1,0.0,0.2,0.9568,956.8,0.3767,376.7,0.7,0.1,1.0,3.3,0.1,0.6,17.7,0.0,0.0,0.0,-0.1,31.9,0.4,0.0
11/04/2020 - 12,0.5,"2,973.1","1,179.5",11.2,"8,582.7",2.5,0.9,-2.5,"1,422.4","2,621.3",0.6,-0.1,0.1,0.0320,32.0,0.2863,286.3,0.4,0.1,0.5,6.4,0.0,0.6,17.8,0.0,0.0,0.0,-0.1,29.5,0.3,0.0
11/04/2020 - 13,0.4,"2,924.2","1,180.4",27.5,"8,588.1",20.8,0.9,-2.5,"1,419.5","2,656.1",1.0,0.0,0.1,0.9338,933.8,0.3746,374.6,0.7,0.1,0.9,2.6,0.1,0.7,17.9,0.0,0.0,0.0,-0.1,32.5,0.3,0.0
11/04/2020 - 14,0.4,"2,952.1","1,163.1",13.6,"8,487.7",3.1,0.9,-2.5,"1,416.3","2,595.5",0.7,-0.1,0.1,0.0375,37.5,0.2825,282.5,0.4,0.1,0.4,6.4,0.1,0.5,17.6,0.1,0.0,0.0,0.2,29.5,0.3,0.0
11/09/2020 - 1,0.5,"2,961.1","1,184.8",27.1,"8,607.6",20.9,0.9,-2.5,"1,399.3","2,633.0",0.8,-0.1,0.1,0.3572,357.2,0.2654,265.4,0.4,0.1,0.7,3.2,0.1,0.6,17.8,0.0,0.0,0.0,0.1,28.8,0.4,0.0
11/09/2020 - 2,0.5,"2,957.1","1,173.5",14.8,"8,505.1",5.6,0.9,-2.4,"1,399.5","2,621.5",0.6,-0.1,0.1,0.0381,38.1,0.2305,230.5,0.2,0.1,0.7,12.6,0.0,0.7,17.5,0.0,0.0,0.0,0.1,29.7,0.4,0.0
11/09/2020 - 3,0.5,"3,003.0","1,206.1",32.7,"8,690.3",26.0,1.0,-2.5,"1,434.3","2,701.3",1.0,-0.1,0.1,0.4063,406.3,0.2723,272.3,0.4,0.1,0.7,4.6,0.1,0.7,17.9,0.0,0.0,0.0,0.0,29.2,0.3,0.0
11/09/2020 - 4,0.4,"2,935.2","1,172.1",18.7,"8,526.1",5.7,0.9,-2.4,"1,391.2","2,605.8",0.6,-0.1,0.1,0.0368,36.8,0.2323,232.3,0.3,0.2,0.7,17.8,0.0,0.6,17.6,0.0,0.0,0.0,0.0,28.0,0.8,0.0
11/09/2020 - 5,0.5,"2,987.7","1,192.9",53.8,"8,607.9",23.1,0.9,-2.5,"1,424.7","2,679.1",1.4,-0.1,0.1,0.5727,572.7,0.3277,327.7,0.5,0.2,0.8,4.7,0.1,0.6,17.9,0.0,0.0,0.0,0.0,30.5,0.4,0.0
11/09/2020 - 6,0.5,"2,957.3","1,172.1",18.8,"8,541.3",5.4,1.0,-2.5,"1,404.6","2,645.6",0.9,-0.1,0.1,0.0328,32.8,0.2619,261.9,0.3,0.1,0.5,14.2,0.0,0.6,17.6,0.0,0.0,0.0,0.0,29.7,0.3,0.0
11/09/2020 - 7,0.5,"2,952.0","1,179.4",30.0,"8,546.9",22.5,0.9,-2.5,"1,407.8","2,666.3",-1.5,0.0,0.2,0.7413,741.3,0.3800,380.0,0.7,0.2,1.0,4.2,0.1,0.6,17.8,0.0,0.0,0.0,0.0,31.4,0.4,0.0
11/09/2020 - 8,0.5,"2,937.8","1,173.1",13.6,"8,524.9",2.6,0.9,-2.5,"1,395.0","2,621.0",0.6,-0.1,0.1,0.0269,26.9,0.2977,297.7,0.3,0.1,0.5,10.4,0.0,0.6,17.8,0.0,0.0,0.0,-0.1,29.6,0.3,0.0
11/09/2020 - 9,0.5,"2,967.9","1,186.1",30.0,"8,552.7",20.5,0.8,-2.6,"1,406.9","2,659.0",0.9,-0.1,0.1,0.6855,685.5,0.3672,367.2,0.6,0.1,0.9,3.7,0.1,0.5,17.8,0.0,0.0,0.0,-0.1,31.5,0.3,0.0
11/09/2020 - 10,0.5,"2,942.8","1,168.6",21.4,"8,570.8",5.1,1.0,-2.5,"1,398.2","2,621.2",0.9,-0.1,0.1,0.0324,32.4,0.3006,300.6,0.3,0.1,0.5,7.8,0.0,0.6,17.6,0.0,0.0,0.0,0.3,30.0,0.4,0.0
11/09/2020 - 11,0.5,"2,960.0","1,183.8",40.9,"8,629.7",24.0,1.0,-2.5,"1,418.6","2,663.9",1.3,0.0,0.2,0.8054,805.4,0.3975,397.5,0.7,0.2,1.1,4.6,0.1,0.6,17.9,0.1,0.0,0.0,0.1,32.1,0.4,0.0
11/09/2020 - 12,0.5,"2,941.5","1,168.1",12.7,"8,521.9",3.3,0.9,-2.4,"1,398.9","2,622.1",0.6,-0.1,0.1,0.0349,34.9,0.3142,314.2,0.4,0.2,0.7,47.7,0.0,0.6,17.9,0.0,0.0,0.0,0.1,30.0,0.3,0.0
11/09/2020 - 13,0.5,"2,946.5","1,185.2",43.1,"8,497.8",23.2,0.9,-2.5,"1,412.0","2,661.2",1.3,0.0,0.1,0.7884,788.4,0.3902,390.2,0.7,0.1,1.0,3.7,0.1,0.6,17.8,0.0,0.0,0.0,0.0,32.0,0.4,0.0
11/09/2020 - 14,0.5,"2,970.9","1,176.4",14.8,"8,554.5",2.7,0.8,-2.4,"1,397.1","2,634.2",0.6,-0.1,0.1,0.0217,21.7,0.3155,315.5,0.4,0.1,0.5,38.1,0.0,0.6,17.7,0.0,0.0,0.0,0.0,29.8,0.4,0.0
11/09/2020 - 15,0.6,"3,287.4",857.4,44.3,"10,287.1",13.0,0.8,-2.7,"1,266.4","1,999.2",1.2,0.0,0.1,0.0529,52.9,0.0070,7.0,0.0,0.1,0.3,7.5,0.0,0.6,13.0,0.0,0.0,0.0,0.0,16.9,0.4,0.0
11/09/2020 - 16,0.6,"3,329.4",858.9,23.3,"10,314.5",12.5,0.9,-2.6,"1,278.5","1,956.0",0.7,0.0,0.1,0.0061,6.1,0.0008,0.8,0.0,0.2,0.4,23.1,0.0,0.7,12.8,0.0,0.0,0.0,0.0,16.1,0.5,0.0
11/10/2020 - 19,0.3,"2,100.1",833.5,46.5,"5,886.1",8.7,0.4,-2.6,"1,468.2","1,771.9",1.0,0.0,0.1,1.9030,"1,903.0",0.2853,285.3,0.4,0.2,0.8,9.2,0.2,0.6,12.1,0.1,0.0,0.0,0.0,34.2,0.5,0.0
11/10/2020 - 20,0.3,"2,074.2",805.5,12.7,"5,752.2",1.9,0.2,-2.6,"1,421.5","1,684.8",0.4,-0.1,0.1,0.1363,136.3,0.1122,112.2,0.1,0.1,0.2,9.1,0.1,0.5,11.7,0.0,0.0,0.0,-0.1,26.1,0.3,0.0
11/10/2020 - 21,0.3,"2,108.1",839.9,53.0,"5,979.4",7.8,0.4,-2.6,"1,460.1","1,776.1",1.0,0.0,0.1,2.0294,"2,029.4",0.3175,317.5,0.4,0.1,0.3,3.8,0.1,0.6,12.2,0.1,0.0,0.0,-0.1,35.3,0.4,0.0
11/10/2020 - 22,0.3,"2,090.7",810.1,22.9,"5,771.3",2.7,0.5,-2.6,"1,432.6","1,716.2",0.5,-0.1,0.1,0.1161,116.1,0.1516,151.6,0.1,0.1,0.3,12.7,0.1,0.6,11.9,0.1,0.0,0.0,0.5,30.6,0.4,0.0
11/10/2020 - 23,0.3,"2,072.0",830.2,42.9,"5,932.2",6.7,0.5,-2.7,"1,442.9","1,775.1",1.0,0.0,0.1,2.0855,"2,085.5",0.3277,327.7,0.5,0.1,0.2,3.6,0.1,0.6,12.2,0.1,0.0,0.0,0.2,36.0,0.4,0.0
11/10/2020 - 24,0.3,"2,086.4",818.4,16.8,"5,790.5",0.8,0.4,-2.6,"1,431.4","1,737.2",0.4,-0.1,0.1,0.0861,86.1,0.1645,164.5,0.1,0.1,0.2,15.3,0.1,0.6,11.9,0.1,0.0,0.0,0.1,31.6,0.3,0.0
11/10/2020 - 25,0.3,"2,079.9",836.7,46.0,"5,913.1",7.0,0.5,-2.7,"1,468.7","1,787.0",0.9,0.0,0.1,2.0872,"2,087.2",0.3651,365.1,0.5,0.1,0.2,3.1,0.1,0.7,12.4,0.1,0.0,0.0,0.1,37.2,0.4,0.0
11/10/2020 - 26,0.3,"2,094.7",825.5,15.5,"5,903.7",1.6,0.5,-2.6,"1,463.3","1,767.4",0.5,-0.1,0.1,0.0759,75.9,0.2245,224.5,0.2,0.1,0.2,10.6,0.1,0.6,12.0,0.0,0.0,0.0,0.0,31.9,0.3,0.0
11/10/2020 - 67,0.3,"2,131.2",854.0,51.0,"6,040.5",9.0,0.7,-2.6,"1,493.2","1,838.2",0.9,0.0,0.1,2.3452,"2,345.2",0.4136,413.6,0.6,0.1,0.2,4.0,0.1,0.7,12.4,0.1,0.0,0.0,0.0,38.4,0.4,0.0
11/10/2020 - 68,0.3,"2,096.2",833.4,12.8,"5,865.6",1.6,0.4,-2.6,"1,469.5","1,756.8",0.4,-0.1,0.1,0.1183,118.3,0.2922,292.2,0.3,0.1,0.2,14.3,0.1,0.6,12.1,0.0,0.0,0.0,0.0,34.5,0.3,0.0
