Initials,DateFiltered,FilterID,PanMass_g,FilterMassPre_g,FilterMassPost_g,FilterVol_L,VolDiscarded_L,SedMass_g,Duration_days,Notes,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R2_F1_03Jul23,1.026,0.11,0.124,0.248,0.79,0.014,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R2_F2_03Jul23,1.022,0.109,0.126,0.25,0.79,0.017,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R2_F3_03Jul23,1.016,0.112,0.127,0.248,0.79,0.015,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R2_F4_03Jul23,1.008,0.11,0.125,0.25,0.79,0.015,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R1_F1_03Jul23,1.01,0.11,0.122,0.12,1.37,0.012,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R1_F2_03Jul23,1.011,0.11,0.119,0.096,1.37,0.009,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R1_F3_03Jul23,1.008,0.113,0.124,0.102,1.37,0.011,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R1_F4_03Jul23,1.007,0.109,0.12,0.112,1.37,0.011,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R2_F1_03Jul23,1.001,0.11,0.123,0.11,1.33,0.013,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R2_F2_03Jul23,1.008,0.11,0.124,0.098,1.33,0.014,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R2_F3_03Jul23,1.01,0.116,0.125,0.104,1.33,0.009,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_8m_R2_F4_03Jul23,1.014,0.112,0.126,0.098,1.33,0.014,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R1_F1_17Jul23,1.016,0.114,0.121,0.208,0.985,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R1_F2_17Jul23,1.02,0.113,0.12,0.202,0.985,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R1_F3_17Jul23,1.004,0.111,0.117,0.204,0.985,0.006,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R1_F4_17Jul23,1.01,0.111,0.118,0.198,0.985,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R2_F1_17Jul23,1.012,0.112,0.116,0.202,1,0.004,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R2_F2_17Jul23,0.988,0.112,0.118,0.202,1,0.006,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R2_F3_17Jul23,1.019,0.111,0.119,0.204,1,0.008,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_4m_R2_F4_17Jul23,1.018,0.112,0.119,0.204,1,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R1_F1_17Jul23,1.022,0.112,0.119,0.116,1.41,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R1_F2_17Jul23,1.017,0.111,0.118,0.106,1.41,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R1_F3_17Jul23,1.017,0.112,0.12,0.98,1.41,0.008,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R1_F4_17Jul23,1.017,0.112,0.119,0.1,1.41,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R2_F1_17Jul23,1.013,0.112,0.117,0.104,1.39,0.005,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R2_F2_17Jul23,1.01,0.113,0.118,0.98,1.39,0.005,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R2_F3_17Jul23,1.011,0.11,0.119,0.102,1.39,0.009,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,F_sed_8m_R2_F4_17Jul23,1.008,0.111,0.12,0.106,1.39,0.009,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R1_F1_17Jul23,1.023,0.111,0.116,0.22,0.84,0.005,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R1_F2_17Jul23,1.016,0.112,0.119,0.244,0.84,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R1_F3_17Jul23,1.003,0.11,0.12,0.244,0.84,0.01,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R1_F4_17Jul23,1.009,0.108,0.119,0.24,0.84,0.011,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R2_F1_17Jul23,1.026,0.112,0.124,0.246,0.77,0.012,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R2_F2_17Jul23,1.009,0.11,0.121,0.242,0.77,0.011,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R2_F3_17Jul23,1.048,0.109,0.124,0.248,0.77,0.015,14,originally labelled as 8m_R2_F3; now corrected,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_4m_R2_F4_17Jul23,1.02,0.111,0.116,0.246,0.77,0.005,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R1_F1_17Jul23,1.026,0.112,0.122,0.12,1.25,0.01,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R1_F2_17Jul23,1.04,0.11,0.12,0.1,1.25,0.01,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R1_F3_17Jul23,1.013,0.111,0.119,0.108,1.25,0.008,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R1_F4_17Jul23,1.045,0.109,0.121,0.104,1.25,0.012,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R2_F1_17Jul23,1.013,0.112,0.121,0.98,1.346,0.009,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R2_F2_17Jul23,1.003,0.111,0.118,0.102,1.346,0.007,14,,,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R2_F3_17Jul23,1.009,0.113,0.12,0.104,1.346,0.007,14,"corrected pan and post mass on 29Jan24, pan mass was accidentally switched with 4m_R2_F3",,,,,,,,,,,,,,,,
AGL,18Jul23,B_sed_8m_R2_F4_17Jul23,1.012,0.109,0.128,0.102,1.346,0.019,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R1_F1_31Jul23,1.01,0.111,0.126,0.206,0.916,0.015,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R1_F2_31Jul23,1.005,0.11,0.126,0.2,0.916,0.016,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R1_F3_31Jul23,1.01,0.11,0.126,0.204,0.916,0.016,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R1_F4_31Jul23,1.01,0.111,0.126,0.21,0.916,0.015,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R2_F1_31Jul23,1.017,0.11,0.125,0.202,1.000,0.015,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R2_F2_31Jul23,1.011,0.111,0.125,0.202,1.000,0.014,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R2_F3_31Jul23,1.027,0.11,0.127,0.178,1.000,0.017,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_4m_R2_F4_31Jul23,1.01,0.109,0.128,0.178,1.000,0.019,14,small amount of water spilled out of filter,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R1_F1_31Jul23,1.003,0.111,0.124,0.096,1.35,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R1_F2_31Jul23,1.035,0.111,0.121,0.084,1.35,0.01,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R1_F3_31Jul23,1.032,0.111,0.124,0.082,1.35,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R1_F4_31Jul23,1.029,0.109,0.122,0.086,1.35,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R2_F1_31Jul23,1.031,0.111,0.124,0.084,1.38,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R2_F2_31Jul23,0.999,0.111,0.125,0.106,1.38,0.014,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R2_F3_31Jul23,0.991,0.111,0.123,0.086,1.38,0.012,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,F_sed_8m_R2_F4_31Jul23,1.009,0.111,0.124,0.096,1.38,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R1_F1_31Jul23,1.007,0.113,0.12,0.202,0.95,0.007,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R1_F2_31Jul23,1.006,0.112,0.12,0.202,0.95,0.008,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R1_F3_31Jul23,1.009,0.111,0.117,0.2,0.95,0.006,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R1_F4_31Jul23,1.001,0.11,0.117,0.206,0.95,0.007,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R2_F1_31Jul23,1.001,0.112,0.12,0.198,1.04,0.008,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R2_F2_31Jul23,1.009,0.112,0.123,0.204,1.04,0.011,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R2_F3_31Jul23,1,0.111,0.122,0.164,1.04,0.011,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_4m_R2_F4_31Jul23,1.002,0.11,0.12,0.162,1.04,0.01,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R1_F1_31Jul23,1.023,0.112,0.124,0.104,1.385,0.012,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R1_F2_31Jul23,1.032,0.112,0.128,0.098,1.385,0.016,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R1_F3_31Jul23,1.019,0.111,0.133,0.1,1.385,0.022,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R1_F4_31Jul23,1.021,0.112,0.131,0.88,1.385,0.019,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R2_F1_31Jul23,0.991,0.112,0.12,0.88,1.395,0.008,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R2_F2_31Jul23,1.009,0.112,0.122,0.102,1.395,0.01,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R2_F3_31Jul23,1.004,0.111,0.124,0.1,1.395,0.013,14,,,,,,,,,,,,,,,,,
AGL,01Aug23,B_sed_8m_R2_F4_31Jul23,0.994,0.111,0.123,0.108,1.395,0.012,14,,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R1_F1_14Aug23,0.998,0.111,0.119,0.15,1.175,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R1_F2_14Aug23,1.002,0.112,0.119,0.15,1.175,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R1_F3_14Aug23,1.002,0.111,0.119,0.15,1.175,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R1_F4_14Aug23,0.996,0.11,0.117,0.145,1.175,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R2_F1_14Aug23,1.001,0.112,0.119,0.13,1.16,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R2_F2_14Aug23,1.017,0.112,0.12,0.13,1.16,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R2_F3_14Aug23,1.025,0.112,0.119,0.128,1.16,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,F_sed_4m_R2_F4_14Aug23,0.997,0.116,0.121,0.13,1.16,0.005,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R1_F1_14Aug23,0.998,0.111,0.122,0.07,1.47,0.011,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R1_F2_14Aug23,0.995,0.111,0.124,0.072,1.47,0.013,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R1_F3_14Aug23,0.992,0.11,0.122,0.07,1.47,0.012,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R1_F4_14Aug23,1.017,0.11,0.123,0.072,1.47,0.013,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R2_F1_14Aug23,1.016,0.11,0.122,0.07,1.49,0.012,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R2_F2_14Aug23,1.019,0.112,0.124,0.07,1.49,0.012,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R2_F3_14Aug23,1.019,0.111,0.125,0.07,1.49,0.014,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,F_sed_8m_R2_F4_14Aug23,1.019,0.112,0.125,0.07,1.49,0.013,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R1_F1_14Aug23,1.007,0.11,0.116,0.2,1.06,0.006,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R1_F2_14Aug23,1.016,0.11,0.115,0.182,1.06,0.005,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R1_F3_14Aug23,0.999,0.11,0.115,0.156,1.06,0.005,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R1_F4_14Aug23,1.025,0.111,0.115,0.15,1.06,0.004,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R2_F1_14Aug23,1.035,0.11,0.117,0.15,1.145,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,21Aug23,B_sed_4m_R2_F2_14Aug23,0.997,0.11,0.119,0.15,1.145,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_4m_R2_F3_14Aug23,0.999,0.111,0.119,0.15,1.145,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_4m_R2_F4_14Aug23,1.014,0.111,0.119,0.15,1.145,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R1_F1_14Aug23,1.004,0.11,0.119,0.092,1.37,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R1_F2_14Aug23,1.014,0.111,0.12,0.092,1.37,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R1_F3_14Aug23,1.018,0.109,0.119,0.09,1.37,0.01,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R1_F4_14Aug23,0.999,0.11,0.119,0.092,1.37,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R2_F1_14Aug23,1.008,0.11,0.118,0.088,1.365,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R2_F2_14Aug23,0.981,0.111,0.118,0.086,1.365,0.007,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R2_F3_14Aug23,0.974,0.112,0.122,0.092,1.365,0.01,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,23Aug23,B_sed_8m_R2_F4_14Aug23,0.989,0.112,0.121,0.094,1.365,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R1_F1_29Aug23,1.023,0.111,0.117,0.149,1.17,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R1_F2_29Aug23,1.009,0.111,0.117,0.149,1.17,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R1_F3_29Aug23,1.004,0.112,0.118,0.15,1.17,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R1_F4_29Aug23,1.006,0.111,0.117,0.151,1.17,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R2_F1_29Aug23,0.999,0.112,0.121,0.15,1.15,0.009,15,bottle is a little icy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R2_F2_29Aug23,1.004,0.112,0.121,0.15,1.15,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R2_F3_29Aug23,1.014,0.112,0.12,0.15,1.15,0.008,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_4m_R2_F4_29Aug23,1.009,0.11,0.119,0.149,1.15,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R1_F1_29Aug23,1.014,0.111,0.126,0.071,1.44,0.015,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R1_F2_29Aug23,0.996,0.111,0.12,0.071,1.44,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R1_F3_29Aug23,1.029,0.112,0.119,0.07,1.44,0.007,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R1_F4_29Aug23,1.023,0.112,0.117,0.071,1.44,0.005,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R2_F1_29Aug23,1.022,0.11,0.128,0.072,1.485,0.018,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R2_F2_29Aug23,1.025,0.109,0.126,0.07,1.485,0.017,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R2_F3_29Aug23,1.036,0.109,0.126,0.074,1.485,0.017,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,F_sed_8m_R2_F4_29Aug23,0.978,0.11,0.127,0.074,1.485,0.017,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R1_F1_29Aug23,0.984,0.11,0.116,0.15,1.08,0.006,15,pieces of plant debris in sediment filtered,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R1_F2_29Aug23,1.019,0.11,0.114,0.15,1.08,0.004,15,pieces of plant debris in sediment filtered,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R1_F3_29Aug23,0.988,0.11,0.118,0.15,1.08,0.008,15,pieces of plant debris in sediment filtered,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R1_F4_29Aug23,1.018,0.109,0.115,0.15,1.08,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R2_F1_29Aug23,0.998,0.111,0.12,0.15,1.25,0.009,15,pieces of plant debris in sediment filtered,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R2_F2_29Aug23,0.974,0.11,0.118,0.15,1.25,0.008,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R2_F3_29Aug23,0.979,0.11,0.116,0.1,1.25,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_4m_R2_F4_29Aug23,1.017,0.111,0.116,0.1,1.25,0.005,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R1_F1_29Aug23,0.979,0.111,0.12,0.1,1.335,0.009,15,ice inside the bottle,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R1_F2_29Aug23,1.039,0.112,0.123,0.1,1.335,0.011,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R1_F3_29Aug23,0.999,0.112,0.122,0.1,1.335,0.01,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R1_F4_29Aug23,0.98,0.111,0.124,0.1,1.335,0.013,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R2_F1_29Aug23,0.995,0.111,0.119,0.09,1.44,0.008,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R2_F2_29Aug23,0.981,0.111,0.12,0.092,1.44,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R2_F3_29Aug23,0.986,0.11,0.119,0.09,1.44,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",01Sep23,B_sed_8m_R2_F4_29Aug23,0.982,0.115,0.124,0.09,1.44,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R1_F1_12Sep23,1.008,0.111,0.118,0.15,1.2,0.007,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R1_F2_12Sep23,1.001,0.111,0.117,0.149,1.2,0.006,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R1_F3_12Sep23,1.014,0.111,0.115,0.15,1.2,0.004,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R1_F4_12Sep23,1.018,0.109,0.117,0.151,1.2,0.008,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R2_F1_12Sep23,1.024,0.11,0.115,0.15,1.11,0.005,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R2_F2_12Sep23,1.014,0.111,0.118,0.15,1.11,0.007,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R2_F3_12Sep23,1.021,0.112,0.117,0.15,1.11,0.005,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_4m_R2_F4_12Sep23,1.032,0.11,0.115,0.149,1.11,0.005,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R1_F1_12Sep23,1.005,0.109,0.125,0.71,1.43,0.016,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R1_F2_12Sep23,1.027,0.11,0.127,0.7,1.43,0.017,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R1_F3_12Sep23,1.005,0.111,0.128,0.7,1.43,0.017,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R1_F4_12Sep23,0.996,0.112,0.129,0.7,1.43,0.017,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R2_F1_12Sep23,1.017,0.111,0.128,0.71,1.52,0.017,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R2_F2_12Sep23,1.022,0.11,0.127,0.7,1.52,0.017,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R2_F3_12Sep23,1.008,0.11,0.125,0.71,1.52,0.015,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,F_sed_8m_R2_F4_12Sep23,1.013,0.109,0.125,0.72,1.52,0.016,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R1_F1_12Sep23,1.005,0.109,0.119,0.15,1.16,0.01,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R1_F2_12Sep23,1.009,0.11,0.119,0.15,1.16,0.009,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R1_F3_12Sep23,0.99,0.112,0.118,0.15,1.16,0.006,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R1_F4_12Sep23,0.993,0.111,0.116,0.15,1.16,0.005,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R2_F1_12Sep23,0.99,0.112,0.116,0.15,1.155,0.004,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R2_F2_12Sep23,0.989,0.112,0.115,0.15,1.155,0.003,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R2_F3_12Sep23,0.987,0.111,0.116,0.15,1.155,0.005,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_4m_R2_F4_12Sep23,0.986,0.111,0.117,0.15,1.155,0.006,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R1_F1_12Sep23,0.986,0.109,0.12,0.1,1.4,0.011,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R1_F2_12Sep23,1.005,0.111,0.121,0.1,1.4,0.01,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R1_F3_12Sep23,1.008,0.111,0.122,0.1,1.4,0.011,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R1_F4_12Sep23,1.011,0.111,0.123,0.1,1.4,0.012,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R2_F1_12Sep23,1.007,0.111,0.121,0.1,1.395,0.01,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R2_F2_12Sep23,1.004,0.109,0.12,0.1,1.395,0.011,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R2_F3_12Sep23,0.995,0.11,0.121,0.1,1.395,0.011,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",15Sep23,B_sed_8m_R2_F4_12Sep23,1.017,0.11,0.122,0.1,1.395,0.012,14,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R1_F1_25Sep23,1.019,0.112,0.118,0.15,1.105,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R1_F2_25Sep23,1.023,0.111,0.118,0.149,1.105,0.007,13,,,,,,,,,,,,,,,,,
