Site Name,FCR IN FLO
Isco Quantity,Sample Event
Label,Sample Event
Units,SU
Resolution, 0.1 
Significant Digits,0

11/10/2019 5:17:00 AM,0
11/10/2019 10:48:00 PM,0
11/11/2019 4:18:00 PM,0
11/12/2019 9:42:00 AM,0
11/13/2019 3:48:00 AM,0
11/13/2019 3:52:00 AM,6
11/13/2019 10:41:00 PM,0
11/14/2019 5:34:00 PM,0
11/15/2019 11:57:00 AM,0
11/16/2019 6:12:00 AM,0
11/17/2019 12:39:00 AM,0
11/17/2019 7:05:00 PM,0
11/18/2019 1:09:00 PM,0
11/19/2019 4:30:00 AM,0
11/19/2019 9:54:00 PM,0
11/20/2019 3:49:00 PM,0
3/1/2020 7:03:00 AM,0
3/2/2020 1:48:00 AM,0
3/2/2020 8:18:00 PM,0
3/3/2020 1:26:00 PM,0
3/4/2020 7:20:00 AM,0
3/5/2020 2:15:00 AM,0
3/5/2020 9:11:00 PM,0
3/6/2020 3:43:00 PM,0
3/7/2020 11:19:00 AM,0
3/8/2020 7:26:00 AM,0
3/9/2020 3:24:00 AM,0
3/9/2020 11:20:00 PM,0
3/10/2020 6:32:00 PM,0
3/11/2020 1:43:00 PM,0
3/12/2020 9:12:00 AM,0
3/13/2020 4:39:00 AM,0
3/13/2020 4:13:00 PM,0
3/14/2020 8:56:00 AM,0
3/15/2020 1:50:00 AM,0
3/15/2020 5:08:00 PM,0
3/16/2020 9:48:00 AM,0
3/17/2020 2:56:00 AM,0
3/17/2020 8:09:00 PM,0
3/18/2020 1:51:00 PM,0
3/19/2020 5:18:00 AM,0
3/19/2020 9:45:00 PM,0
3/20/2020 2:56:00 PM,0
3/21/2020 7:06:00 AM,0
3/22/2020 12:04:00 AM,0
3/22/2020 5:38:00 PM,0
3/23/2020 8:22:00 AM,0
3/23/2020 10:38:00 PM,0
3/24/2020 1:47:00 PM,0
3/31/2020 7:50:00 PM,0
4/4/2020 9:50:00 AM,0
4/4/2020 9:50:01 AM,0
4/4/2020 9:51:00 AM,0
4/4/2020 9:51:01 AM,0
4/4/2020 9:52:00 AM,0
4/4/2020 11:03:00 PM,0
4/6/2020 5:29:00 AM,0
4/7/2020 1:32:00 PM,0
4/8/2020 10:06:00 PM,0
4/14/2020 11:04:00 AM,0
4/14/2020 11:04:01 AM,0
4/14/2020 11:05:00 AM,0
4/14/2020 11:05:01 AM,0
4/14/2020 2:07:00 PM,0
4/14/2020 5:29:00 PM,0
4/14/2020 8:53:00 PM,0
4/15/2020 12:16:00 AM,0
4/15/2020 3:34:00 AM,0
4/15/2020 6:54:00 AM,0
4/15/2020 10:16:00 AM,0
4/15/2020 1:40:00 PM,0
4/15/2020 5:05:00 PM,0
4/15/2020 8:31:00 PM,0
4/15/2020 11:58:00 PM,0
4/16/2020 3:27:00 AM,0
4/16/2020 6:57:00 AM,0
4/16/2020 10:29:00 AM,0
