Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_lachat,SampleID_lachat
FCR,50,6/12/20 0:00,0.1,,1/14/21,24.4,190,,F 12Jun20 0.1
FCR,50,9/11/20 0:00,6.2,,1/14/21,29.4,672,,F 11Sep20 6.2
FCR,50,2/29/20 0:00,3.8,,1/14/21,30.8,340,,F 29Feb20 3.8
FCR,50,6/12/20 0:00,8,,1/14/21,47.1,360,,F 12Jun20 8.0
CCR,50,8/5/20 0:00,9,,1/14/21,14,236,,C 05Aug20 9.0
CCR,300,8/5/20 0:00,0.1,,1/14/21,8.21,112,,C 05Aug20 Inf C
FCR,50,2/29/20 0:00,9,,1/14/21,29.4,334,,F 29Feb20 9.0
BVR,50,10/26/20 0:00,9,,1/14/21,26.8,1650,,B 26Oct20 9.0
BVR,50,7/2/20 0:00,3,,1/14/21,16.6,234,,B 02Jul20 3.0
FCR,200,12/2/20 0:00,0.1,,1/14/21,29.1,178,,F 02Dec20 wet
FCR,100.1,8/10/20 0:00,0.1,R2,1/14/21,271.5,1160,,ISCO 10Aug20 rep 2
BVR,50,6/25/20 0:00,6,,1/14/21,15.1,177,,B 25Jun20 6.0
FCR,50,11/2/20 0:00,9,,1/14/21,41.4,710,,F 02Nov20 9.0
FCR,50,8/10/20 0:00,0.1,,1/14/21,27.5,683,,F 10Aug20 0.1
FCR,50,7/20/20 0:00,8,,1/14/21,29.3,235,,F 20Jul20 8.0
FCR,50,12/2/20 0:00,6.2,,1/14/21,35.2,389,,F 02Dec20 6.2
FCR,50,12/2/20 0:00,1.6,,1/14/21,30.8,389,,F 02Dec20 1.6
FCR,50,12/2/20 0:00,9,,1/14/21,34.4,391,,F 02Dec20 9.0
BVR,50,8/12/20 0:00,3,,1/14/21,15.5,293,,B 12Aug20 3.0
FCR,50,2/29/20 0:00,6.2,,1/14/21,26,306,,F 29Feb20 6.2
FCR,50,10/28/20 0:00,8,,1/14/21,19.3,1360,,F 28Oct20 8.0
FCR,50,1/31/20 0:00,8,,1/14/21,26.5,376,,F 31Jan20 8.0
BVR,50,8/6/20 0:00,6,,1/14/21,42,478,,B 06Aug20 6.0
CCR,50,7/29/20 0:00,0.1,,1/14/21,8.05,171,,C 29Jul20 0.1
CCR,50,7/29/20 0:00,6,,1/14/21,14.8,233,,C 29Jul20 6.0
BVR,50,8/12/20 0:00,6,,1/14/21,20.4,274,,B 12Aug20 6.0
BVR,50,12/2/20 0:00,3,,1/14/21,19.6,303,,B 02Dec20 3.0
FCR,200,11/2/20 0:00,0.1,,1/14/21,43.1,165,,F 02Nov20 wet
BVR,50,6/25/20 0:00,0.1,,1/14/21,15.4,233,,B 25Jun20 0.1
FCR,50,6/29/20 0:00,5,,1/14/21,37.9,300,,F 29Jun20 5.0
BVR,50,10/26/20 0:00,11,,1/14/21,24.8,1640,,B 26Oct20 11.0
FCR,50,11/2/20 0:00,3.8,,1/14/21,38.7,775,,F 02Nov20 3.8
BVR,50,12/2/20 0:00,6,,1/14/21,21.7,276,,B 02Dec20 6.0
FCR,50,6/22/20 0:00,8,,1/14/21,53.3,319,,F 22Jun20 8.0
BVR,50,8/20/20 0:00,10,,1/14/21,36.8,1760,,B 20Aug20 10.0
FCR,50,6/29/20 0:00,0.1,,1/14/21,19.3,157,,F 29Jun20 0.1
CCR,300,8/19/20 0:00,0.1,,1/14/21,8.27,89.3,,C 19Aug20 Inf C
BVR,50,9/3/20 0:00,0.1,,1/14/21,21.6,349,,B 03Sep20 0.1
BVR,50,7/2/20 0:00,9,,1/14/21,27.7,511,,B 02Jul20 9.0
FCR,50,2/29/20 0:00,0.1,,1/14/21,28,308,,F 29Feb20 0.1
CCR,100,8/5/20 0:00,0.1,,1/14/21,8.69,450,,C 05Aug20 HPB inf
FCR,50,11/2/20 0:00,1.6,,1/14/21,39.5,822,,F 02Nov20 1.6
CCR,50,8/19/20 0:00,6,,1/14/21,15.4,269,,C 19Aug20 6.0
BVR,50,8/12/20 0:00,0.1,,1/14/21,14.5,218,,B 12Aug20 0.1
CCR,50,7/22/20 0:00,21,,1/14/21,38.8,455,,C 22Jul20 21.0
FCR,50,12/2/20 0:00,8,,1/14/21,35,393,,F 02Dec20 8.0
FCR,50,6/22/20 0:00,9,,1/14/21,74.7,553,,F 22Jun20 9.0
BVR,50,12/2/20 0:00,0.1,,1/14/21,23.6,408,,B 02Dec20 0.1
CCR,50,7/15/20 0:00,9,,1/14/21,11.2,154,,C 15Jul20 9.0
FCR,50,7/20/20 0:00,3.8,,1/14/21,36.6,365,,F 20Jul20 3.8
BVR,50,6/25/20 0:00,9,,1/14/21,31.2,458,,B25Jun20 9.0
FCR,50,9/11/20 0:00,5,,1/14/21,57.2,703,,F 11Sep20 5.0
FCR,50,6/29/20 0:00,9,,1/14/21,77.6,528,,F 29Jun20 9.0
FCR,50,8/10/20 0:00,6.2,,1/14/21,38.1,367,,F 10Aug20 6.2
FCR,50,9/11/20 0:00,3.8,,1/14/21,43,440,,F 11Sep20 3.8
FCR,50,7/20/20 0:00,6.2,,1/14/21,27.2,278,,F 20Jul20 6.2
BVR,50,8/6/20 0:00,3,,1/14/21,14.4,228,,B 06Aug20 3.0
BVR,50,12/2/20 0:00,9,,1/14/21,21.1,311,,B 02Dec20 9.0
FCR,50,8/10/20 0:00,8,,1/14/21,30.8,413,,F 10Aug20 8.0
FCR,50,12/2/20 0:00,3.8,,1/14/21,32.6,61.7,,F 02Dec20 3.8
FCR,50,10/28/20 0:00,6.2,,1/14/21,22.5,1310,,F 28Oct20 6.2
FCR,50,6/22/20 0:00,3.8,,1/14/21,50.8,279,,F 22Jun20 3.8
BVR,50,8/6/20 0:00,0.1,,1/14/21,10.7,215,,B 06Aug20 0.1
FCR,100,12/2/20 0:00,0.1,,1/14/21,17.8,189,,F 02Dec20 weir
FCR,50,1/31/20 0:00,5,,1/14/21,26.9,382,,F 31Jan20 5.0
BVR,50,12/2/20 0:00,11,,1/14/21,23.1,316,,B 02Dec20 11.0
FCR,50,9/11/20 0:00,8,,1/14/21,37.7,762,,F 11Sep20 8.0
FCR,100.1,7/20/20 0:00,0.1,R2,1/14/21,97.6,669,,F 20Jul20 ISCO R2
BVR,50,8/12/20 0:00,9,,1/14/21,23.4,1110,,B 12Aug20 9.0
FCR,100,11/2/20 0:00,0.1,,1/14/21,33.5,148,,F 02Nov20 weir
FCR,50,12/2/20 0:00,5,,1/14/21,32.2,370,,F 02Dec20 5.0
CCR,50,7/29/20 0:00,9,,1/14/21,9.18,190,,C 29Jul20 9.0
FCR,50,6/22/20 0:00,6.2,,1/14/21,37,242,,F 22Jun20 6.2
BVR,50,7/2/20 0:00,11,,1/14/21,51.4,1020,,B 02Jul20 11.0
FCR,50,8/10/20 0:00,9,,1/14/21,33.7,397,,F 10Aug20 9.0
CCR,50,7/15/20 0:00,0.1,,1/14/21,9.4,309,,C 15Jul20 0.1
BVR,50,9/3/20 0:00,6,,1/14/21,15.8,214,,B 03Sep20 6.0
FCR,50,8/3/20 0:00,5,,1/14/21,34.9,347,,F 03Aug20 5.0
FCR,100.1,11/2/20 0:00,0.1,,1/14/21,114,684,,F 02Nov20 ISCO
FCR,50,9/11/20 0:00,0.1,,1/14/21,42.7,967,,F 11Sep20 0.1
FCR,50,6/12/20 0:00,6.2,,1/14/21,37.9,308,,F 12Jun20 6.2
BVR,50,10/26/20 0:00,3,,1/14/21,10.9,285,,B 26Oct20 3.0
CCR,50,8/19/20 0:00,0.1,,1/14/21,15.8,249,,C 19Aug20 0.1
CCR,50,8/5/20 0:00,20,,1/14/21,34.1,436,,C 05Aug20 21.0
FCR,50,8/10/20 0:00,5,,1/14/21,37.8,463,,F 10Aug20 5.0
CCR,400,8/5/20 0:00,0.1,,1/14/21,33.3,189,,C 05Aug20 TCT inf
CCR,50,9/23/20 0:00,0.1,,1/14/21,9.02,228,,C 23Sep20 0.1
FCR,50,2/29/20 0:00,8,,1/14/21,34,356,,F 29Feb20 8.0
BVR,50,7/2/20 0:00,6,,1/14/21,18.1,211,,B 02Jul20 6.0
FCR,100.1,9/15/20 0:00,0.1,R2,1/14/21,90.2,655,,F 15Sep20 ISCO R2
BVR,50,6/25/20 0:00,11,,1/14/21,47.1,1170,,B 25Jun20 11.0
BVR,50,9/3/20 0:00,3,,1/14/21,22.1,332,,B 03Sep20 3.0
FCR,100.1,9/2/20 0:00,0.1,R2,1/14/21,131,822,,ISCO 02Sep20 R2
BVR,50,8/12/20 0:00,11,,1/14/21,34.2,2100,,B 12Aug20 11.0
CCR,50,7/29/20 0:00,21,,1/14/21,38.9,452,,C 29Jul20 21.0
FCR,50,12/2/20 0:00,0.1,,1/14/21,33.2,354,,F 02Dec20 0.1
BVR,50,8/20/20 0:00,0.1,,1/14/21,14.6,248,,B 20Aug20 0.1
FCR,50,6/29/20 0:00,8,,1/14/21,56.4,359,,F 29Jun20 8.0
BVR,50,9/3/20 0:00,9,,1/14/21,29.3,1420,,B 03Sep20 9.0
FCR,100.1,7/6/20 0:00,0.1,R2,1/14/21,28.6,225,,ISCO 06Jul20 R2
CCR,50,9/23/20 0:00,6,,1/14/21,9.95,207,,C 23Sep20 6.0
FCR,50,6/12/20 0:00,5,,1/14/21,51.2,237,,F 12Jun20 5.0
FCR,50,1/31/20 0:00,0.1,,1/14/21,27,400,,F 31Jan20 0.1
CCR,50,9/23/20 0:00,9,,1/14/21,16.9,257,,C 23Sep20 9.0
CCR,50,8/5/20 0:00,6,,1/14/21,14.1,208,,C 05Aug20 6.0
CCR,50,7/22/20 0:00,6,,1/14/21,9.71,177,,C 22Jul20 6.0
CCR,50,8/5/20 0:00,0.1,,1/14/21,10.8,264,,C 05Aug20 0.1 
BVR,50,7/2/20 0:00,0.1,,1/14/21,12.1,204,,B 02Jul20 0.1
FCR,50,1/31/20 0:00,9,,1/14/21,27.6,394,,F 31Jan20 9.0
BVR,50,7/18/19 0:00,6,R2,1/14/21,NA,NA,deleting this sample because was already ran for all analytes in 2019,B 18Jul19 S 6.0m R2
FCR,50,8/17/20 0:00,8,,1/14/21,33.6,406,,F 17aug20 8.0
FCR,50,8/17/20 0:00,0.1,,1/14/21,31.4,705,,F 17aug20 0.1
FCR,50,8/17/20 0:00,3.8,,1/14/21,46.8,586,,F 17aug20 3.8
FCR,50,8/17/20 0:00,5,,1/14/21,54,713,,F 17aug20 5.0
FCR,50,8/17/20 0:00,9,,1/14/21,39.1,526,,F 17aug20 9.0
BVR,50,7/9/20 0:00,11,,6/8/21,75.8,1480,*this was rerun,B 09jul20 11.0
CCR,50,9/23/20 0:00,20,,6/8/21,69.8,442,*this was rerun,C 23sep20 20.0
FCR,200,9/2/20 0:00,0.1,,6/8/21,374.4,796,*this was rerun,F 02sep20 wet
FCR,50,11/9/20 0:00,1.6,,6/8/21,39.3,474,*this was rerun,F 09nov20 1.6
FCR,50,9/30/20 0:00,0.1,,6/8/21,28.9,731,*this was rerun,F 30sep20 0.1
FCR,50,9/30/20 0:00,8,,6/8/21,28.9,971,*this was rerun,F 30sep20 8.0
