"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"- null date -","","","","","","","",""
"11/03/15 11:15:09","12.875","26.538","13.979","9.099","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 11:00:09","12.875","26.534","13.979","9.120","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 11:00:00","","","","","","18.314","14.079","20.974"
"- null date -","","","","","","","",""
"11/03/15 10:45:09","12.875","26.536","13.979","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 10:30:09","12.875","26.535","13.979","9.110","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 10:15:09","12.875","26.534","13.950","9.169","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 10:00:09","12.875","26.540","13.950","9.139","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 10:00:00","","","","","","15.501","14.053","20.484"
"- null date -","","","","","","","",""
"11/03/15 09:45:09","12.875","26.539","13.950","9.150","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 09:30:09","12.875","26.541","13.950","9.129","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 09:15:09","12.875","26.528","13.920","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 09:00:09","12.875","26.531","13.860","9.150","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 09:00:00","","","","","","14.943","14.044","19.163"
"- null date -","","","","","","","",""
"11/03/15 08:45:09","12.875","26.524","13.920","9.099","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 08:30:09","12.875","26.525","13.860","9.099","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 08:15:09","12.875","26.522","13.562","9.150","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 08:00:09","12.875","26.514","13.234","9.139","12.990","","",""
"- null date -","","","","","","","",""
"11/03/15 08:00:00","","","","","","13.008","13.300","14.429"
"- null date -","","","","","","","",""
"11/03/15 07:45:09","12.875","26.501","13.085","9.150","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 07:30:09","12.875","26.516","13.026","9.150","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 07:15:09","12.875","26.519","12.996","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 07:00:09","12.875","26.524","13.026","9.120","12.980","","",""
"- null date -","","","","","","","",""
"11/03/15 07:00:00","","","","","","10.801","13.090","13.178"
"- null date -","","","","","","","",""
"11/03/15 06:45:09","12.875","26.518","13.055","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 06:30:09","12.875","26.514","13.055","9.129","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 06:15:09","12.875","26.517","13.026","9.150","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 06:00:09","12.875","26.510","13.055","9.150","12.990","","",""
"11/03/15 06:00:09","12.875","26.510","13.055","9.150","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 06:00:00","","","","","","10.405","13.125","13.099"
"11/03/15 06:00:00","","","","","","10.405","13.125","13.099"
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 05:45:09","12.875","26.511","13.085","9.150","12.990","","",""
"11/03/15 05:45:09","12.875","26.511","13.085","9.150","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 05:30:09","12.875","26.515","13.115","9.129","12.990","","",""
"11/03/15 05:30:09","12.875","26.515","13.115","9.129","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 05:15:09","12.875","26.510","13.115","9.139","13.000","","",""
"11/03/15 05:15:09","12.875","26.510","13.115","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 05:00:09","12.875","26.502","13.085","9.129","12.990","","",""
"- null date -","","","","","","","",""
"11/03/15 05:00:00","","","","","","10.529","13.152","13.117"
"- null date -","","","","","","","",""
"11/03/15 04:45:09","12.875","26.506","13.115","9.169","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 04:30:09","12.875","26.507","13.115","9.160","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 04:15:09","12.875","26.502","13.115","9.169","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 04:00:09","12.875","26.498","13.085","9.169","13.000","","",""
