"","Reservoir","Site","Depth_m","Filter","DataStream","Sample_ID","Sample_Date","start_parameter","end_parameter","flag","notes"
"93","FCR",100.1,0.1,"T","Metals",29,2023-10-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"94","FCR",100.1,0.1,"T","Metals",30,2023-10-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"95","FCR",100.1,0.1,"T","Metals",29,2020-11-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"96","FCR",100.1,0.1,"T","Metals",29,2020-11-09,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"97","FCR",100.1,0.1,"T","Metals",29,2021-11-08,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"98","FCR",100.1,0.1,"T","Metals",30,2021-11-08,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"99","FCR",100.1,0.1,"T","Metals",29,2021-11-22,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"100","FCR",100.1,0.1,"T","Metals",30,2021-11-22,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"101","FCR",100.1,0.1,"T","Metals",29,2022-11-08,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"102","FCR",100.1,0.1,"T","Metals",30,2022-11-08,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"103","FCR",100.1,0.1,"T","Metals",29,2022-11-16,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"104","FCR",100.1,0.1,"T","Metals",30,2022-11-16,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"105","FCR",100.1,0.1,"T","Metals",29,2022-11-28,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
