"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g"
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,4,80,0.107,0.115,0.00800000000000001,3.30628477503094,"B_sed_8m_R1_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,1,84,0.107,0.113,0.00600000000000001,2.43450519761462,"B_sed_8m_R2_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,2,82,0.108,0.114,0.00600000000000001,2.4938833731662,"B_sed_8m_R2_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,3,84,0.108,0.115,0.00700000000000001,2.84025606388372,"B_sed_8m_R2_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,4,84,0.109,0.117,0.00800000000000001,3.24600693015283,"B_sed_8m_R2_F4_13Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,1,140,0.107,0.111,0.004,0.900736077311928,"F_sed_4m_R1_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,2,140,0.106,0.111,0.005,1.12592009663991,"F_sed_4m_R1_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,3,139,0.107,0.112,0.005,1.13402024122005,"F_sed_4m_R1_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,4,138,0.107,0.112,0.005,1.14223777919991,"F_sed_4m_R1_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,1,139,0.108,0.113,0.005,1.14664150155639,"F_sed_4m_R2_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,2,137,0.107,0.112,0.005,1.16338079354992,"F_sed_4m_R2_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,3,138,0.108,0.112,0.004,0.923960398355585,"F_sed_4m_R2_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,4,143,0.107,0.112,0.005,1.11456761340097,"F_sed_4m_R2_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,1,78,0.108,0.117,0.00900000000000001,3.6780731242232,"F_sed_8m_R1_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,2,78,0.106,0.116,0.01,4.08674791580355,"F_sed_8m_R1_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,3,82,0.107,0.116,0.00900000000000001,3.49865492304158,"F_sed_8m_R1_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,4,79,0.108,0.116,0.00800000000000001,3.22801354362204,"F_sed_8m_R1_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,1,78,0.107,0.117,0.01,3.75611943830046,"F_sed_8m_R2_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,2,80,0.107,0.117,0.01,3.66221645234294,"F_sed_8m_R2_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,3,82,0.108,0.118,0.01,3.57289409984677,"F_sed_8m_R2_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,4,80,0.107,0.117,0.01,3.66221645234294,"F_sed_8m_R2_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,1,141,0.107,0.141,0.034,7.5469622842252,"B_sed_4m_R1_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,2,141,0.107,0.145,0.038,8.4348402000164,"B_sed_4m_R1_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,3,143,0.107,0.143,0.036,7.87914038558764,"B_sed_4m_R1_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,4,139,0.107,0.139,0.032,7.20522510080917,"B_sed_4m_R1_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,1,139,0.108,0.136,0.028,6.42119240871579,"B_sed_4m_R2_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,2,138,0.107,0.134,0.027,6.2367326889002,"B_sed_4m_R2_F2_27Jun22",1,1
