ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2025 - 10,0.3,"2,544.6","1,065.9",3.8,"7,347.9",1.2,2.0,-1.6,"1,318.2","2,579.2",0.7,-1.0,0.1,467.7,"1,065.6",1.7,0.3,0.9,18.2,-0.3,-0.5,18.1,-0.2,0.0,0.0,0.0,44.8,0.1,0.0
06/30/2025 - 11,0.3,"2,561.6","1,122.9",14.3,"7,664.0",14.8,2.1,-1.7,"1,340.4","2,760.7",1.0,-0.8,0.2,"2,826.0","1,380.3",2.5,0.3,2.4,0.5,-0.3,-0.5,19.2,-0.2,0.0,0.0,0.0,48.3,0.1,0.0
06/30/2025 - 12,0.3,"2,491.6","1,072.2",2.6,"7,587.8",0.9,2.1,-1.6,"1,292.9","2,587.3",0.6,-1.0,0.1,90.8,"1,180.2",1.9,0.3,1.3,5.4,-0.3,-0.7,18.2,-0.2,0.0,0.0,0.0,44.8,0.1,0.0
06/30/2025 - 13,0.3,"2,571.2","1,120.6",14.9,"7,585.5",16.8,2.0,-1.7,"1,323.6","2,725.5",1.3,-0.9,0.2,"2,757.2","1,363.2",2.5,0.3,2.6,0.7,-0.3,-0.7,19.1,-0.2,0.0,0.0,0.0,47.5,0.2,0.0
06/30/2025 - 14,0.3,"2,455.1","1,048.8",3.1,"7,386.1",-0.2,1.8,-1.8,"1,265.4","2,547.3",0.5,-1.1,0.1,74.8,"1,175.5",1.8,0.3,1.2,4.8,-0.3,-0.7,18.0,-0.3,0.0,0.0,0.0,44.6,0.1,0.0
06/30/2025 - 19,0.2,"2,489.2",905.4,87.5,"5,867.7",15.4,1.2,-1.8,"1,547.1","1,800.1",2.3,-0.3,0.2,615.9,47.8,0.3,0.8,2.6,10.7,-0.1,-0.6,12.8,-0.2,0.0,0.0,0.0,17.7,0.6,0.0
06/30/2025 - 20,0.1,"2,361.0",865.2,27.6,"5,882.0",3.1,1.1,-1.9,"1,351.1","1,631.3",0.8,-0.4,0.1,401.5,1.5,0.0,0.1,0.8,-0.5,-0.1,-0.3,12.1,0.0,0.0,0.0,0.0,15.2,0.2,0.1
06/30/2025 - 21,0.2,"2,223.7","1,043.1",66.9,"5,398.0",88.6,1.6,-1.9,"1,409.8","2,113.5",1.7,-0.7,0.2,"1,393.6",769.3,1.5,0.3,1.0,1.7,-0.1,-0.5,16.9,-0.1,0.0,0.0,0.0,98.6,0.3,0.0
06/30/2025 - 22,0.2,"2,207.2",998.3,7.6,"5,312.7",10.7,1.5,-1.9,"1,591.9","1,955.6",0.5,-1.0,0.1,82.0,520.9,0.8,0.2,0.7,11.3,-0.2,-0.4,15.2,-0.2,0.0,0.0,0.0,15.6,0.1,0.0
06/30/2025 - 23,0.2,"2,307.7","1,100.2",96.4,"6,737.7",38.1,0.8,-2.0,"1,598.2","2,761.3",2.3,-0.2,0.3,"17,034.4","1,712.3",4.3,0.3,0.9,1.4,0.9,-0.6,21.5,0.0,0.0,0.0,0.0,110.4,0.5,0.0
06/30/2025 - 24,0.2,"2,226.7","1,037.7",8.1,"6,627.4",2.7,0.6,-2.0,"1,607.4","2,600.5",0.8,-0.7,0.1,"13,406.1","1,611.4",3.7,0.2,0.2,29.3,0.5,-0.5,20.4,0.0,0.0,0.0,0.0,84.8,0.2,0.0
06/30/2025 - 74,0.2,"2,260.3","1,042.1",5.7,"6,960.2",3.1,0.4,-1.7,"2,205.4","2,739.5",0.7,-0.5,0.1,"17,832.3","1,820.1",4.0,0.2,0.2,10.5,0.9,-0.6,21.5,0.1,0.0,0.0,0.0,102.9,0.2,0.0
07/07/2025 - 1,0.3,"2,575.5",966.5,28.7,"6,596.9",9.5,0.8,-2.1,"1,264.6","2,034.5",0.9,-0.9,0.1,492.2,17.5,0.1,0.1,0.8,6.7,-0.3,-0.7,14.5,-0.2,0.0,0.0,0.0,16.2,0.3,0.0
07/07/2025 - 2,0.3,"2,852.5",966.1,25.4,"6,659.7",5.2,0.9,-1.8,"1,530.1","2,042.7",0.7,-0.9,0.1,286.8,19.0,0.1,0.6,5.6,19.9,-0.3,-0.5,14.3,-0.2,0.0,0.0,0.0,17.1,0.5,0.0
07/07/2025 - 3,0.4,"2,704.7",977.4,20.2,"6,721.5",4.3,1.0,-1.9,"1,382.4","2,042.8",0.7,-0.9,0.1,277.3,13.5,0.1,0.7,2.4,20.2,-0.3,-0.5,14.3,-0.2,0.0,0.0,0.0,17.8,0.4,0.0
07/07/2025 - 4,0.3,"2,611.3",976.5,24.8,"6,586.4",9.3,1.0,-2.0,"1,278.8","2,073.8",0.8,-0.9,0.1,443.8,17.7,0.1,0.1,0.7,0.0,-0.3,-0.6,14.5,-0.2,0.0,0.0,0.0,16.1,0.1,0.0
07/07/2025 - 5,0.3,"2,668.5","1,075.3",26.2,"6,718.6",12.5,1.3,-1.9,"1,271.5","2,433.8",0.9,-0.9,0.1,"2,611.3",415.4,0.7,0.1,0.9,0.4,-0.3,-0.3,17.4,0.0,0.0,0.0,0.1,38.9,0.1,0.0
07/07/2025 - 6,0.3,"2,660.8","1,066.5",14.1,"6,604.1",2.5,1.3,-2.0,"1,310.6","2,453.2",0.7,-1.0,0.1,"2,012.1",455.9,0.8,0.3,1.0,7.3,-0.3,-0.7,17.6,-0.1,0.0,0.0,0.0,38.2,0.2,0.0
07/07/2025 - 7,0.3,"2,602.6","1,076.1",29.7,"7,125.2",13.3,1.7,-2.0,"1,279.7","2,506.4",0.8,-0.9,0.1,"2,173.4",737.5,1.2,0.2,1.2,0.4,-0.3,-0.5,17.8,-0.2,0.0,0.0,0.0,41.4,0.1,0.0
07/07/2025 - 8,0.3,"2,600.5","1,070.9",11.8,"7,012.8",0.9,1.7,-2.1,"1,286.9","2,513.5",0.5,-1.1,0.1,593.0,712.8,1.1,0.2,1.1,17.1,-0.3,-0.8,17.8,-0.2,0.0,0.0,0.0,40.3,0.1,0.0
07/07/2025 - 9,0.3,"2,531.6","1,076.3",18.1,"7,320.1",11.0,1.6,-2.1,"1,280.1","2,557.8",0.8,-1.0,0.1,"2,430.4","1,021.7",1.8,0.2,1.5,0.1,-0.3,-0.6,18.2,-0.2,0.0,0.0,0.0,44.6,0.1,0.0
07/07/2025 - 10,0.3,"2,596.5","1,075.4",10.7,"7,265.7",0.9,1.6,-2.0,"1,323.0","2,541.5",0.7,-1.1,0.1,377.7,926.4,1.5,0.3,1.3,10.9,-0.3,-0.6,17.9,-0.2,0.0,0.0,0.0,42.8,0.1,0.0
07/07/2025 - 11,0.2,"2,486.0","1,087.4",15.3,"7,803.6",9.9,1.9,-2.1,"1,296.9","2,660.4",0.7,-1.0,0.1,"2,718.2","1,296.7",2.3,0.2,1.8,0.5,-0.3,-0.7,18.8,-0.2,0.0,0.0,0.0,48.5,0.1,0.0
07/07/2025 - 12,0.3,"2,553.3","1,103.3",11.0,"7,778.4",-0.1,2.0,-2.0,"1,330.6","2,727.3",0.7,-1.1,0.1,91.5,"1,246.1",2.1,0.4,1.4,27.7,-0.4,-0.6,19.1,-0.3,0.0,0.0,0.0,48.1,0.1,0.0
07/07/2025 - 13,0.3,"2,517.0","1,096.8",14.0,"7,688.6",11.0,1.9,-2.1,"1,295.8","2,639.1",0.7,-1.0,0.1,"2,635.2","1,244.4",2.2,0.2,1.8,0.0,-0.3,-0.5,18.8,-0.2,0.0,0.0,0.0,48.1,0.1,0.0
07/07/2025 - 14,0.2,"2,568.7","1,093.8",11.7,"7,726.9",0.3,1.9,-2.1,"1,324.1","2,631.1",0.6,-1.1,0.1,85.9,"1,177.5",2.0,0.3,1.2,18.9,-0.4,-0.7,18.6,-0.3,0.0,0.0,0.0,45.9,0.1,0.0
