Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes 
FCR,50,6/12/20 11:01,5.3,10.9,0.56,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:02,5.6,10.5,0.56,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:03,5.9,10.2,0.55,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:04,6.2,9.9,0.56,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:05,6.5,9.7,0.57,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:05,6.8,9.5,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:06,7.1,9.3,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:06,7.4,9.2,0.56,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:08,7.7,9.1,0.57,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:09,8,9,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:09,8.3,9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:10,8.6,8.9,0.56,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:10,8.9,8.8,0.56,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:11,9,8.8,0.56,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:12,9.3,8.8,0.56,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:12,9.5,8.7,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:13,10,8.7,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:11,0.1,22.2,9.3,106.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:12,1.6,18.3,11.65,122.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:14,3.8,14.1,0.85,8.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:18,3.6,14.3,2.62,25.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:19,3.7,14.1,1.86,17.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:22,4.1,13.4,0.61,5.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:24,4.4,12.4,0.6,5.6,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:25,4.7,11.8,0.57,5.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:25,5,11.4,0.56,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:26,5.3,11.3,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:27,5.6,10.6,0.57,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:27,5.9,10.3,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:28,6.2,9.9,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:29,6.5,9.7,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:30,6.8,9.6,0.57,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:31,7.1,9.5,0.57,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:32,7.4,9.4,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:33,7.7,9.4,0.58,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:34,8,9.3,0.55,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:35,8.3,9.2,0.56,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:36,8.7,9.1,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:37,9,9,0.56,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/22/20 9:38,9.3,9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,100,6/22/20 13:07,0.1,21.1,94.2,8.44,,,,,0,0,0,1,1,1,1,
FCR,200,6/22/20 13:29,0.1,18.5,87.7,8.5,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:05,0.1,24.1,8.73,102.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:07,1.6,22.9,8.86,102.6,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:08,2.5,18.8,11.35,120.5,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:09,3,16.3,6.64,67.3,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:12,3.2,15.5,2.96,29.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/28/20 11:21,3.3,15.3,2.62,25.9,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:50,0.1,28.4,7.88,100.9,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:52,1,28.3,7.86,100.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:53,2,27.5,7.84,99.2,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:55,3,23,10.16,118.1,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:56,4,20.8,9.94,111.4,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:57,5,17.2,3.06,31.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:58,6,14.9,0.95,9.3,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 12:58,7,13.6,0.65,13.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 13:00,8,12.4,0.62,5.8,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 13:00,9,11.2,0.6,5.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 13:01,10,10.3,0.62,5.4,,,,,0,0,0,1,1,1,1,
BVR,50,7/17/20 13:01,11,9.9,0.61,5.4,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,0.1,28.5,8.06,104.2,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,1,28,8.15,104.5,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,2,25.5,10.81,134.7,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,3,22.7,11.38,132.8,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,4,18.9,10.18,110.5,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,5,16.5,4.41,45.2,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,6,14.7,2.04,20.1,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,7,13.5,0.57,6.4,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,8,12.4,0.61,5.7,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,9,11,0.58,5.3,,,,,0,0,0,1,1,1,1,Time is generalized 
BVR,50,7/9/20 12:00,10,10.2,0.58,5.2,,,,,0,0,0,1,1,1,1,time is generalized 
BVR,50,7/9/20 12:00,11,9.8,0.54,4.8,,,,,0,0,0,1,1,1,1,time is generalized 
FCR,50,7/13/20 10:36,0.1,26.7,8.63,104.5,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:38,0.5,25.8,8.43,103.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:38,1,25.8,8.37,102.3,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:40,1.5,25.7,8.38,102.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:42,2,25.6,9.4,114.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:44,2.5,22.5,12.15,139,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:47,3,19.3,11.64,126,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:48,3.5,16.3,3.85,39.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:52,4,13.9,1.04,10.2,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:53,3.4,16.6,6.75,69.3,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:54,3.6,15.7,2.72,26.8,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:55,3.7,15.1,1.93,19.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:57,4.5,12.7,0.74,7,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:58,5,11.6,0.6,5.5,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 10:59,5.5,10.8,1.05,9.5,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:00,6,10.5,1.45,13,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:01,6.5,10.4,1.51,13.4,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:02,7,10.4,1.43,12.8,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:03,7.5,10.3,1.35,12,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:04,8,10.3,1.32,11.8,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:04,8.5,10.3,1.25,11.4,,,,,0,0,0,1,1,1,1,
FCR,50,7/13/20 11:05,9,10.3,1.25,11.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:16,0.1,27.9,8.73,111.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:18,1,27.8,8.78,111.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:19,2,26,14.01,172.8,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:20,3,20.8,11.13,124,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:22,4,14.7,10.96,9.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:25,3.2,18.7,9.8,104,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:26,3.5,17.5,5.81,61.6,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:27,3.6,17.1,4.11,49.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:30,3.7,16.4,3.13,31.8,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:32,3.8,15.6,1.45,14.4,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:36,5,11.7,0.9,8.3,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:38,6,10.8,1.68,15.1,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:39,7,10.7,1.74,15.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:42,8,10.6,1.76,15.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/20/20 10:43,9,10.6,1.77,15.8,,,,,0,0,0,1,1,1,1,
FCR,100,7/20/20 13:44,0.1,27,7.43,92.8,,,,,0,0,0,1,1,1,1,
FCR,200,7/20/20 14:04,0.1,22.8,7.98,92.1,,,,,0,0,0,1,1,1,1,
CCR,100,7/15/20 12:01,0.1,21.1,8.7,95.2,,,,,0,0,0,1,1,1,1,"YSI at Carvins inflows for first sampling day (lat/long: 37.3646, -79.9732)"
CCR,101,7/15/20 12:30,0.1,21.5,3.27,35.7,,,,,0,0,0,1,1,1,1,"YSI at Carvins inflows for first sampling day (lat/long: 37.3654, -79.9720)"
CCR,200,7/15/20 15:40,0.1,24.6,6.03,70.2,,,,,0,0,0,1,1,1,1,"YSI at Carvins inflows for first sampling day (lat/long: 37.4083, -79.9797)"
CCR,300,7/15/20 16:00,0.1,22.3,8.04,90.5,,,,,0,0,0,1,1,1,1,"YSI at Carvins inflows for first sampling day (lat/long: 37.4095, -79.9678)"
CCR,50,7/22/20 10:50,0.1,29.5,7.65,98.4,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,1,29.3,7.73,97.7,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,2,29.2,7.67,97.6,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,3,29.1,7.65,96.5,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,4,24.7,10.5,123,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,5,19.6,8.3,88,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,6,16.2,5.52,54.4,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,7,14.4,4.67,44.3,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,8,13.4,4.2,39.3,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,9,12.1,3.81,34.6,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,10,11.2,3.54,31.2,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,11,10.5,5.63,49.4,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,12,10.1,5.23,45.2,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,13,9.9,6.19,53.8,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,14,9.8,5.8,49.8,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,16,9.7,6.04,51.9,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,18,9.6,4.6,39.1,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,50,7/22/20 10:50,19,9.5,4.15,35.3,,,,,0,0,0,1,1,1,1,YSI at CCR dam site: same time recorded for each depth. Depth was ~21m only had 19m marked of YSI
CCR,100,7/22/20 11:55,0.1,22.7,8.44,95.2,,,,,0,0,0,1,1,1,1,"YSI at HPB inflow (lat/long: 37.3647, -79.9733)"
CCR,300,7/22/20 13:13,0.1,23.6,7.6,86.8,,,,,0,0,0,1,1,1,1,"YSI at Inlfow C (lat/long: 37.4094, -79.9700)"
BVR,50,6/25/20 11:25,0.1,24.7,8.94,107.4,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:28,1,24.6,8.88,107,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:30,2,23.9,9.03,107.9,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:32,3,20.1,10.29,114.3,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:35,4,17.8,8.58,91,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:38,5,16.3,7.04,72.4,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:40,6,14.9,6.24,61.8,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:43,7,13.8,4.22,40.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:45,8,12.2,7.9,7.5,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:47,7.1,13.3,3.1,30.5,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:50,7.2,13.3,3.31,31.8,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:52,7.3,13.2,2.62,25.1,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:54,7.4,13.2,2.33,22.6,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:56,7.5,13,1.59,15.1,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 11:58,8,12.6,0.62,5.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 12:00,9,11.2,0.51,4.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 12:02,10,10.4,0.52,4.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 12:04,11,9.9,0.52,4.6,,,,,0,0,0,1,1,1,1,
BVR,50,6/25/20 12:06,12,9.6,0.52,4.6,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:36,0.1,28.6,8.58,113,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:38,1,28.3,8.55,109.7,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:39,2,26,10.02,124.8,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:40,3,21.5,6,67.4,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:41,4,17.4,1.11,11.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:42,5,16.9,0.88,9.1,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:43,6,14.9,0.66,6.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:44,7,13.5,0.59,5.7,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:44,8,12.3,0.58,5.5,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:45,9,10.8,0.59,5.4,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:45,10,10.2,0.59,5.3,,,,,0,0,0,1,1,1,1,
BVR,50,7/30/20 12:46,11,9.8,0.59,5.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:02,0.1,24.3,9.64,114.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:03,1.6,21.7,13.3,147.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:04,3.8,13.9,4.76,45.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:06,4.1,13,2.43,22.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:07,4.4,12.4,1.07,9.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:08,4.7,11.8,0.7,6.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:09,5,11.4,0.65,5.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:10,5.3,11,0.61,5.5,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:11,5.6,10.7,0.59,5.3,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:12,5.9,10.4,0.59,5.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:13,6.2,9.9,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:14,6.5,9.6,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:15,6.8,9.3,0.57,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:16,7.1,9.3,0.58,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:17,7.4,9.3,0.59,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:23,7.7,9.1,0.57,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:24,8,9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:25,8.3,9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:26,8.6,8.9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:26,8.9,8.9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:27,9,8.9,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:28,9.3,8.8,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:29,9.5,8.8,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/8/20 11:30,10,8.7,0.54,4.6,,,,,0,0,0,1,1,1,1,
BVR,50,7/2/20 12:34,0.1,26.9,8.51,106.3,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,1,26.8,8.56,106.5,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,2,25.6,8.75,107,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,3,21,11.26,126.9,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,4,18.5,10.08,107.9,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,5,17,6.92,71.9,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,6,15.2,4.37,43.7,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,7,13.7,1.74,16.6,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,8,12.4,0.64,6,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,9,11.1,0.56,5.1,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,10,10.1,0.55,4.9,,,,,0,0,0,1,1,1,1,Time is generalized
BVR,50,7/2/20 12:34,11,9.8,0.56,5,,,,,0,0,0,1,1,1,1,Time is generalized
FCR,50,7/27/20 10:23,0.1,27.2,11.24,142.3,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:25,1.6,26.7,10.6,131.2,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:36,5,11.9,0.64,5.9,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:30,6.2,11.2,0.8,7.3,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:31,8,11,0.8,7.2,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:31,9,11,0.8,7.2,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:38,2.6,16.5,0.94,9.5,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:39,3.4,17.4,3.79,39.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:40,3.5,17.5,2.99,30.7,,,,,0,0,0,1,1,1,1,
FCR,50,7/27/20 10:46,3.8,16.1,7.5,7.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 9:55,0.1,28.6,7.72,97.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 9:56,1,28.6,7.71,97.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 9:56,2,28.5,7.69,96.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 9:57,3,28.5,7.66,97.2,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 9:58,4,28.4,7.63,96.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:00,5,20.8,8.56,94.4,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:00,6,17.8,5.82,60.6,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:01,7,14.8,4.46,42.5,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:02,8,13.4,4.02,37.5,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:06,9,11.4,3.11,27.9,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:07,10,10.6,4.93,42.3,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:08,11,10.3,5.77,50.9,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:09,12,10,5.8,50.1,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:10,14,9.9,5.62,48.8,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:11,16,9.8,5.87,50.9,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:12,18,9.7,5.67,48.7,,,,,0,0,0,1,1,1,1,
CCR,50,7/29/20 10:12,19,9.7,4.21,35.2,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:49,0.1,25.9,12.88,157.7,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:50,1,25.9,10.38,128.1,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:51,2,25.3,7.12,86,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:52,3,21.6,5.35,60.1,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:53,4,17,0.9,9.1,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:54,5,12.6,0.77,7.2,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:55,6,11.7,1.04,9.3,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:56,7,11.4,1.13,10.1,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:57,8,11.2,1.15,10.4,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:58,9,11.1,1.07,9.6,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 10:59,10,11.1,0.98,9,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:17,3.1,20.5,4.35,47.9,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:17,3.2,20.5,4.24,46.5,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:18,3.3,19.9,3.4,36.5,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:19,3.4,19.3,2.45,23.6,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:20,3.5,18.5,1.23,12.2,,,,,0,0,0,1,1,1,1,
FCR,50,8/3/20 12:21,3.6,18,0.88,9,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:48,0.1,24.7,10.12,122.9,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:49,1,24.5,10.09,121.4,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:50,2,23,10.42,122.4,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:52,3,19.1,12.62,135.2,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:53,4,16.4,12.63,128,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:54,5,14.5,11.33,111,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:55,6,13.8,9.19,89.1,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:56,7,13.1,7.1,67.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 12:57,8,12.4,3.82,35.3,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 13:02,8.1,12,2.15,20,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 13:04,8.2,11.9,1.9,17.7,,,,,0,0,0,1,1,1,1,
BVR,50,6/4/20 13:06,8.3,11.8,1.67,15.5,,,,,0,0,0,1,1,1,1,
