"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_DateTime","Flag_NH4","Flag_PO4","Flag_NO3NO2","SRP_ugL","Flag_SRP"
"180","CCR",50,2022-09-29 12:30:00,0.1,1,"11/9/22",3,1.2,1,"","c50 29sep 0.1",0,3,3,3,1,3
"181","CCR",50,2022-09-29 12:37:00,1.5,1,"11/9/22",5,1.5,0,"","c50 29sep 1.5",0,0,3,3,2,3
"182","CCR",50,2022-09-29 12:55:00,6,1,"11/9/22",4,0.7,1,"","c50 29sep 6.0",0,3,3,3,1,3
"183","CCR",50,2022-09-29 13:07:00,9,1,"11/9/22",3,1.2,20,"","c50 29sep 9.0",0,3,3,0,1,3
"184","CCR",50,2022-09-29 14:30:00,20,1,"11/9/22",216,2.9,46,"","c50 29sep 21.0",0,0,3,0,3,3
"185","CCR",50,2022-09-29 15:22:00,15,1,"11/9/22",11,1.8,83,"","c50 29sep 15.0",0,0,3,0,2,3
"186","CCR",201,2022-10-14 10:20:00,0.1,1,"11/9/22",4,2.8,0,"","ccr 14oct ccs",0,0,3,3,3,3
"187","CCR",301,2022-10-14 11:25:00,0.1,1,"11/9/22",4,5,1,"","ccr 14oct smb",0,3,0,3,5,0
"188","CCR",400,2022-10-14 12:25:00,0.1,1,"11/9/22",10,8.1,939,"","c 14oct tct",0,0,0,0,8,0
"189","CCR",50,2022-10-14 14:01:00,0.1,1,"11/9/22",5,1.9,1,"","ccr 14oct 0.1",0,0,3,3,2,3
"190","CCR",50,2022-10-14 14:11:00,1.5,1,"11/9/22",7,2.5,2,"","ccr 14oct 1.5",0,0,3,3,2,3
"191","CCR",50,2022-10-14 14:21:00,6,1,"11/9/22",3,2.5,3,"","ccr 14oct 6.0",0,3,3,3,2,3
"192","CCR",50,2022-10-14 14:31:00,9,1,"11/9/22",5,3.1,7,"","ccr 14oct 9.0",0,0,0,0,3,0
"193","CCR",50,2022-10-14 14:45:00,15,1,"11/9/22",5,2.6,112,"","ccr 14oct 15.0",0,0,3,0,3,3
"194","CCR",201,2022-11-17 09:30:00,0.1,1,"3/24/23",5,6.5,57,"","CCR 17nov22 CCS",0,0,0,0,6,0
"195","CCR",301,2022-11-17 11:00:00,0.1,1,"3/24/23",4,3.4,17,"","CCR 17nov22 SMB",0,3,0,0,3,0
"196","CCR",400,2022-11-17 11:30:00,0.1,1,"3/24/23",31,14.7,1150,"","C17nov22 TCT",0,0,0,0,15,0
"197","CCR",50,2022-11-17 13:23:00,0.1,1,"3/24/23",20,4.5,39,"","C50 17nov22 0.1m",0,0,0,0,4,0
"198","CCR",50,2022-11-17 13:28:00,1.5,1,"3/24/23",16,4.6,38,"","C50 17nov22 1.5m",0,0,0,0,5,0
"199","CCR",50,2022-11-17 13:34:00,6,1,"3/24/23",22,4.3,42,"","C50 17nov22 6m",0,0,0,0,4,0
