Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
FCR,50,5/9/22 11:50,0.1,1,9/8/22,10.4,4.6,3.8,,F50 09may 0.1
FCR,50,6/13/22 11:01,9,1,9/8/22,115,2.6,4.2,13-Jun,F50 13jan 9.0
FCR,50,6/13/22 9:45,0.1,1,9/8/22,18.7,7.9,3.7,,F50 13jun 0.1
FCR,50,6/13/22 10:41,8,1,9/8/22,121,3.4,6.5,,F50 13jun 8.0
FCR,50,6/13/22 10:15,5,1,9/8/22,89.1,4.5,5.3,,F50 13jun5.0
FCR,50,5/23/22 10:13,3.8,1,9/8/22,5.9,4.1,1.5,,F50 23may 3.8
FCR,50,5/23/22 10:32,6.2,1,9/8/22,27.1,5.5,5,,F50 23may 6.2
FCR,50,5/23/22 10:57,9,1,9/8/22,27.3,2.2,2.6,,F50 23may 9.0
FCR,50,5/31/22 9:57,1.6,1,9/8/22,14.7,7.8,2.1,,F50 31may 1.6
FCR,50,5/31/22 10:08,3.8,1,9/8/22,6.1,6.5,2.2,,F50 31may 3.4
FCR,50,5/31/22 10:20,6.2,1,9/8/22,37.6,4,5,,F50 31may 6.2
FCR,50,5/31/22 10:44,8,1,9/8/22,36.4,4.9,8.2,,F50 31may 8.0
FCR,100,6/20/22 10:49,0.1,1,9/21/22,35.6,6.1,55.7,,?  20jun weir
FCR,200,6/20/22 11:15,0.1,1,9/21/22,44.7,8,39.1,,? 20jun wet
BVR,50,5/2/22 10:39,6,1,9/21/22,14.8,6.5,3.6,,B 02may 6.0
BVR,50,5/2/22 10:48,9,1,9/21/22,20.4,2,3,,B 02may 9.0
BVR,50,3/22/22 11:14,0.1,1,9/21/22,19.1,5.2,4.2,,B 22mar 0.1
BVR,50,3/22/22 11:40,6,1,9/21/22,30.6,5.5,6.5,,B 22mar 6.0
BVR,50,7/5/22 12:10,3,1,9/21/22,119,6.7,3.6,,B50 05jul 3.0
BVR,50,7/5/22 12:20,6,1,9/21/22,871,27,6,,B50 05jul 6.0
BVR,50,7/5/22 12:30,8,1,9/21/22,1500,26.6,9.9,,B50 05jul 8.0
BVR,50,7/5/22 11:59,0.1,1,9/21/22,18.7,8,2,5-Jul,B50 05jun 0.1
BVR,50,9/5/22 10:30,7,1,9/21/22,3030,17.9,5.5,,B50 05sep 7.0
BVR,50,5/9/22 12:15,9,1,9/21/22,115,2.9,4,,B50 09may 9.0
BVR,50,7/11/22 11:05,0.1,1,9/21/22,229,4.7,7.6,,B50 11jul 0.1
BVR,50,7/11/22 11:20,3,1,9/21/22,121,4,7.7,,B50 11jul 3.0
BVR,50,7/11/22 11:31,6,1,9/21/22,802,34.9,7.6,,B50 11jul 6.0
BVR,50,7/11/22 11:40,8,1,9/21/22,1390,19.5,6.4,,B50 11jul 8.0
BVR,50,5/17/22 15:32,9,1,9/21/22,334,4.6,2.5,,B50 17may 9
BVR,50,6/20/22 12:05,0.1,1,9/21/22,12.7,11.5,3.8,,B50 20jun 0.1
BVR,50,6/20/22 12:15,3,1,9/21/22,22.6,6.6,3.9,,B50 20jun 3.0
BVR,50,6/20/22 12:30,6,1,9/21/22,514,14.2,4.7,,B50 20jun 6.0
BVR,50,6/20/22 12:40,8,1,9/21/22,663,26.7,7.4,,B50 20jun 8.0
BVR,50,5/23/22 12:16,6,1,9/21/22,11.4,5,2.8,,B50 23may 6.0
BVR,50,6/27/22 10:31,0.1,1,9/21/22,34.4,10.9,4.9,,B50 27jun 0.1
BVR,50,6/27/22 10:41,3,1,9/21/22,78.4,12.6,6.2,3m,B50 27jun 5.0
BVR,50,6/27/22 10:52,6,1,9/21/22,582,8.9,8.7,,B50 27jun 6.0
BVR,50,6/27/22 11:05,8,1,9/21/22,1050,20.4,6.7,,B50 27jun 8.0
CCR,50,7/14/22 10:30,1.5,1,9/21/22,8.7,2.7,2.3,,C 14jul 1.5
CCR,50,7/14/22 12:00,20,1,9/21/22,155,2.4,48.8,Flag_DateTime,C 14jul 20.0
CCR,50,4/20/22 10:12,1.5,1,9/21/22,6.9,5.6,1.6,,C 20apr 1.5
CCR,50,4/20/22 10:22,6,1,9/21/22,6.8,5.3,2.4,,C 20apr 6.0
CCR,50,4/20/22 10:25,9,1,9/21/22,13,5.1,8.6,,C 20apr 9.0
CCR,50,6/30/22 9:53,0.1,1,9/21/22,7.7,4.1,3,,C50 30jun 0.1
CCR,50,6/30/22 9:58,1.5,1,9/21/22,14.9,4.9,7.3,,C50 30jun 1.5
CCR,50,6/30/22 10:35,21,1,9/21/22,208,37,29.6,,C50 30jun 21.0
CCR,50,6/30/22 10:06,6,1,9/21/22,11.8,2.8,13.5,,C50 30jun 6.0
CCR,50,6/30/22 10:16,9,1,9/21/22,16,5.2,25.8,,C50 30jun 9.0
CCR,201,6/30/22 14:05,0.1,1,9/21/22,11.4,4.5,40.5,,CCS 30jun 0.1
FCR,50,8/1/22 11:23,9,1,9/21/22,680,5.1,4.9,,F 01aug 9.0
FCR,50,5/2/22 14:50,3.8,1,9/21/22,20.7,6.5,12.4,,F 02may 3.8
FCR,50,5/2/22 15:20,8,1,9/21/22,23.9,4.1,5.8,,F 02may 8.0
FCR,50,5/2/22 15:28,9,1,9/21/22,92.9,5.7,4.1,,F 02may 9.0
FCR,100,5/9/22 10:45,0.1,1,9/21/22,11,12.9,5.2,,F 09may weir
FCR,50,7/11/22 9:55,0.1,1,9/21/22,58.8,12.6,4.6,,F 11jul 0.1
FCR,50,7/11/22 10:48,5,1,9/21/22,344,5,4.3,,F 11jul 5.0
FCR,50,7/11/22 11:04,6.2,1,9/21/22,422,4.6,5.9,,F 11jul 6.2
FCR,50,7/11/22 11:18,8,1,9/21/22,404,5.6,3.4,,F 11jul 8.0
FCR,50,7/11/22 11:50,9,1,9/21/22,412,6.2,4.1,,F 11jul 9.0
FCR,50,4/12/22 10:47,0.1,1,9/21/22,14,9.5,6.4,,F 12apr 0.1
FCR,50,4/12/22 11:00,1.6,1,9/21/22,12.6,5,11.4,,F 12apr 1.6
FCR,50,3/17/22 11:18,5,1,9/21/22,9.7,5.9,3.6,,F 17mar 5.0
FCR,50,5/17/22 14:54,3.8,1,9/21/22,10.6,4.9,2,,F 17may 3.8
FCR,50,5/17/22 15:15,6.2,1,9/21/22,20.7,6.2,5,,F 17may 6.2
FCR,50,5/17/22 15:32,9,1,9/21/22,591,6.9,3.3,,F 17may 9.0
FCR,100,5/17/22 17:02,0.1,1,9/21/22,2,12.4,1,,F 17may weir
FCR,50,4/19/22 10:28,5,1,9/21/22,7.3,5.6,2,,F 19apr 5.0
FCR,50,4/19/22 10:34,6.2,1,9/21/22,12.6,2.8,3.2,,F 19apr 6.2
FCR,50,6/20/22 12:49,0.1,1,9/21/22,21,9.4,5.1,,F 20jun 0.1
FCR,50,6/20/22 13:07,1.6,1,9/21/22,13.8,7.7,2.9,,F 20jun 1.6
FCR,50,6/20/22 13:20,3.8,1,9/21/22,52.1,4.7,2.2,,F 20jun 3.8
FCR,50,6/20/22 13:31,5,1,9/21/22,139,3.9,3.4,,F 20jun 5.0
FCR,50,6/20/22 13:40,6.2,1,9/21/22,154,4.6,9.4,,F 20jun 6.2
FCR,50,6/20/22 14:12,8,1,9/21/22,214,4.4,5.7,,F 20jun 8.0
FCR,50,6/20/22 13:49,9,1,9/21/22,429,4,6.3,,F 20jun 9.0
FCR,100,5/23/22 13:12,0.1,1,9/21/22,8.8,6.2,2.5,,F 23may weir
FCR,50,3/29/22 10:25,1.6,1,9/21/22,11.3,9.2,4.6,,F 29mar 1.6
FCR,50,3/29/22 10:35,3.8,1,9/21/22,9.9,6.9,2.6,,F 29mar 3.8
FCR,50,3/29/22 10:40,5,1,9/21/22,11.1,5.6,5.8,,F 29mar 5.0
FCR,100,6/27/22 13:06,0.1,1,9/21/22,70.7,7.5,109,,F100 27jun weir
FCR,200,6/27/22 12:40,0.1,1,9/21/22,55.1,9.6,45.9,,F200 27jun wet
FCR,50,7/5/22 10:52,0.1,1,9/21/22,8.5,11.9,5,,F50 05jul 0.1
FCR,50,7/5/22 11:10,1.6,1,9/21/22,141,10.2,7.7,,F50 05jul 1.6
FCR,50,7/5/22 11:20,3.8,1,9/21/22,162,9.1,2.9,,F50 05jul 3.8
FCR,50,7/5/22 11:33,5,1,9/21/22,301,3.9,5.4,,F50 05jul 5.0
FCR,50,7/5/22 11:48,6.2,1,9/21/22,299,4.1,4.8,,F50 05jul 6.2
FCR,50,7/5/22 12:05,8,1,9/21/22,286,4.4,4.2,,F50 05jul 8.0
FCR,50,7/5/22 12:20,9,1,9/21/22,317,4.8,8.3,,F50 05jul 9.0
FCR,50,9/5/22 12:58,1.6,1,9/21/22,8.1,2.7,6.5,,F50 05sep 1.6
FCR,50,9/5/22 13:11,6.2,1,9/21/22,1050,11.4,2.9,,F50 05sep 6.2
FCR,50,8/8/22 9:46,0.1,1,9/21/22,10.8,4.9,4.5,,F50 08aug 0.1
FCR,50,5/9/22 12:20,3.8,1,9/21/22,14.4,7.8,4.1,,F50 09may 3.8
FCR,50,5/9/22 12:32,5,1,9/21/22,7,6.9,3.7,,F50 09may 5.0
FCR,50,5/9/22 12:44,6.2,1,9/21/22,15.4,4.9,3.8,,F50 09may 6.2
FCR,50,5/9/22 13:14,9,1,9/21/22,28.3,4.3,2.4,,F50 09may 9.0
FCR,50,8/18/22 10:00,3.8,1,9/21/22,29,6.1,3.3,,F50 18aug 3.8
FCR,50,7/18/22 10:50,1.6,1,9/21/22,32.9,6,4.6,,F50 18jul 1.6
FCR,50,7/18/22 11:23,8,1,9/21/22,417,6.3,3.3,,F50 18jul 8.0
FCR,50,8/22/22 1:32,6.2,1,9/21/22,981,4.7,4.7,,F50 22aug 6.2
FCR,50,5/23/22 10:03,1.6,1,9/21/22,8.4,8.4,2.2,,F50 23may 1.6
FCR,50,6/27/22 9:43,0.1,1,9/21/22,7.9,9.9,2.7,,F50 27jun 0.1
FCR,50,6/27/22 9:55,1.6,1,9/21/22,34.4,7.1,2.9,,F50 27jun 1.6
FCR,50,6/27/22 10:05,3.8,1,9/21/22,123,5.1,2.8,,F50 27jun 3.8
FCR,50,6/27/22 10:14,5,1,9/21/22,202,4.2,3,,F50 27jun 5.0
FCR,50,6/27/22 10:23,6.2,1,9/21/22,206,5.2,3.8,,F50 27jun 6.2
FCR,50,6/27/22 10:33,8,1,9/21/22,305,4.8,3.1,,F50 27jun 8.0
FCR,50,6/27/22 10:48,9,1,9/21/22,201,3.6,4.4,,F50 27jun 9.0
FCR,50,8/29/22 10:16,5,1,9/21/22,823,8.1,3.2,,F50 29aug 5.0
FCR,50,8/29/22 10:19,6.2,1,9/21/22,1100,10,3.9,,F50 29aug 6.2
