ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2022 - 10,0.3,"2,801.0","1,130.3",6.7,"5,915.2",2.0,0.0,-1.6,"1,262.7","2,857.3",-1.9,-0.1,-0.3,64.0,973.1,1.5,-1.2,-0.8,21.6,-0.1,-0.9,20.4,-0.5,0.0,0.0,-0.9,53.5,0.5,0.0
10/11/2022 - 11,0.4,"2,854.9","1,191.6",18.7,"7,081.7",39.8,0.0,-1.6,"1,313.7","3,171.5",0.7,0.1,-0.3,"5,749.8","1,735.8",3.0,-1.2,0.4,0.0,0.0,-0.8,22.5,-0.4,0.0,0.0,-0.7,73.1,0.5,0.0
10/11/2022 - 12,0.3,"2,821.3","1,157.8",7.3,"6,492.3",3.7,-0.1,-1.6,"1,280.8","3,071.9",0.3,-0.1,-0.4,112.8,"1,538.8",2.6,-1.2,-0.9,9.0,-0.1,-0.9,21.8,-0.5,0.0,0.0,-0.8,66.7,0.6,0.0
10/11/2022 - 13,0.4,"2,899.9","1,222.5",20.8,"7,451.8",43.5,-0.1,-1.6,"1,327.3","3,300.0",0.7,0.1,-0.3,"6,778.9","2,062.2",3.6,-1.2,0.6,-0.1,0.0,-0.8,23.6,-0.5,0.0,0.0,-0.9,81.9,0.4,0.0
10/11/2022 - 14,0.4,"2,882.0","1,201.3",5.7,"7,049.3",2.1,-0.2,-1.6,"1,294.6","3,248.8",0.4,-0.1,-0.4,62.9,"2,013.0",3.4,-1.2,-1.0,20.5,-0.1,-0.8,23.2,-0.3,0.0,0.0,-0.1,79.5,0.5,0.0
10/11/2022 - 19,0.2,"2,133.3",816.9,25.4,"5,612.5",7.2,0.5,-1.8,"1,372.6","1,836.6",0.6,0.0,-0.4,"1,468.6",389.5,0.4,-1.2,-0.6,0.2,0.0,-0.9,13.0,-0.4,0.0,0.0,-0.3,29.4,0.6,0.0
10/11/2022 - 20,0.2,"2,166.7",820.0,10.8,"5,635.2",2.1,0.5,-1.7,"1,396.4","1,857.7",0.4,-0.1,-0.4,788.6,348.9,0.3,-1.2,-0.8,7.5,0.0,-0.8,13.1,-0.4,0.0,0.0,-0.7,28.9,0.5,0.0
10/11/2022 - 21,0.2,"2,135.5",815.7,15.5,"5,649.4",8.1,0.5,-1.8,"1,385.1","1,873.6",0.4,0.0,-0.3,"1,504.2",396.4,0.4,-1.2,-0.5,0.3,0.0,-0.8,13.3,-0.4,0.0,0.0,-0.7,29.0,0.7,0.0
10/11/2022 - 22,0.2,"2,144.6",811.8,16.5,"5,628.8",3.5,0.5,-1.7,"1,380.8","1,846.5",0.4,0.0,-0.4,845.0,344.0,0.2,-1.2,-0.8,19.8,0.0,-0.9,13.1,-0.5,0.0,0.0,-0.8,29.3,0.5,0.0
10/11/2022 - 23,0.2,"2,148.8",839.5,13.6,"5,985.0",11.2,0.3,-1.8,"1,410.9","2,048.8",0.5,0.1,-0.4,"6,354.8","1,022.4",1.8,-1.1,-0.6,0.2,0.1,-0.8,14.4,-0.4,0.0,0.0,-0.7,76.7,0.6,0.0
10/11/2022 - 24,0.2,"2,275.3",849.0,9.6,"5,892.5",2.8,0.3,-1.6,"1,498.2","2,062.9",0.3,-0.1,-0.3,"3,246.0",948.6,1.6,-1.0,0.2,9.8,0.0,-0.8,14.5,-0.4,0.0,0.0,-0.9,49.3,0.6,0.0
10/11/2022 - 25,0.2,"2,092.6",823.4,14.8,"6,371.1",14.9,0.1,-1.8,"1,430.8","2,157.7",0.5,0.1,-0.3,"14,888.9","1,436.5",2.5,-1.1,-0.6,0.9,0.2,-0.8,15.6,-0.3,0.0,0.0,-0.8,87.3,0.7,0.0
10/11/2022 - 26,0.2,"2,159.4",840.6,8.8,"6,281.4",2.4,0.2,-1.7,"1,457.8","2,216.5",0.3,-0.1,-0.3,"11,995.6","1,393.3",2.4,-0.8,-0.7,13.5,0.1,-0.9,15.7,-0.4,0.0,0.0,-0.9,74.6,0.6,0.0
