ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2022 - 6,0.4,"2,926.3",994.1,13.8,"6,819.0",1.6,0.0,-0.6,925.3,"2,410.3",0.5,0.1,0.1,78.9,1.1,0.0,0.1,1.4,17.6,-0.1,1.3,15.2,1.7,0.0,0.0,0.3,19.9,0.3,0.0
05/02/2022 - 7,0.4,"2,917.0","1,046.5",17.5,"6,936.5",14.8,0.0,-0.6,"1,054.9","2,577.3",0.6,0.1,0.1,453.9,42.9,0.1,0.1,1.8,2.4,-0.1,1.5,16.0,1.7,0.0,0.0,-0.1,18.4,0.2,0.0
05/02/2022 - 8,0.4,"2,907.3","1,017.2",14.8,"6,853.0",1.6,0.0,-0.6,"1,023.7","2,535.9",0.6,0.0,0.1,45.0,0.9,0.0,0.1,1.2,20.1,0.0,2.0,15.6,2.1,0.0,0.0,1.2,16.7,0.3,0.0
05/02/2022 - 9,0.4,"2,911.8","1,048.3",17.2,"6,891.8",8.7,0.1,-0.6,"1,062.6","2,621.8",0.6,0.1,0.1,398.7,72.2,0.2,0.1,1.9,2.1,0.0,1.7,16.2,1.9,0.0,0.0,0.4,18.8,0.2,0.0
05/02/2022 - 10,0.4,"2,913.8","1,031.8",14.8,"6,831.7",-0.6,0.1,-0.5,"1,058.9","2,581.9",0.4,0.0,0.1,28.9,3.6,0.0,0.1,1.3,8.6,-0.1,1.4,16.0,1.9,0.0,0.0,0.4,19.1,0.2,0.0
05/02/2022 - 11,0.4,"2,911.0","1,057.3",16.0,"6,823.8",8.7,0.0,-0.6,"1,095.0","2,686.5",0.6,0.0,0.1,758.3,228.8,0.4,0.2,1.8,2.6,-0.1,1.4,16.7,1.9,0.0,0.0,0.4,21.0,0.2,0.0
05/02/2022 - 12,0.4,"2,887.4","1,049.1",16.7,"6,740.7",0.8,0.0,-0.5,"1,069.2","2,630.5",0.5,0.0,0.1,116.3,98.8,0.1,0.1,1.2,41.7,-0.1,1.3,16.4,1.9,0.0,0.0,0.6,20.0,0.3,0.0
05/02/2022 - 13,0.4,"2,911.0","1,084.8",19.2,"6,926.5",14.7,-0.1,-0.6,"1,086.9","2,794.6",0.6,0.1,0.1,"1,319.8",462.1,1.0,0.2,1.8,2.6,-0.1,1.6,17.4,1.8,0.0,0.0,0.1,56.7,0.2,0.0
05/02/2022 - 14,0.4,"2,913.7","1,079.2",18.6,"6,906.9",0.1,0.0,-0.6,"1,086.6","2,771.6",0.5,0.0,0.1,164.8,376.3,0.7,0.2,1.2,4.1,-0.1,1.4,17.2,1.8,0.0,0.0,0.1,20.5,0.2,0.0
05/02/2022 - 16,0.7,"3,521.2",880.2,21.1,"11,037.6",9.0,-0.5,-0.7,"1,175.6","2,528.3",0.8,0.1,0.1,7.6,2.5,0.0,0.1,0.3,13.1,-0.1,1.4,16.3,1.8,0.0,0.0,0.1,19.7,0.3,0.0
05/02/2022 - 18,0.5,"3,558.8","1,192.0",31.2,"11,334.6",19.0,0.3,-0.5,"1,109.2","2,803.8",1.2,0.6,0.2,868.8,53.1,0.3,0.2,0.4,52.6,-0.1,1.6,18.1,1.7,0.0,0.1,0.0,26.8,0.3,0.0
05/02/2022 - 19,0.2,"2,070.5",689.2,28.5,"5,724.4",5.4,-0.6,-0.7,"1,195.1","1,572.4",0.7,0.1,0.1,215.3,34.6,0.1,0.1,0.8,4.3,0.0,1.5,10.4,1.7,0.0,0.0,-0.1,14.8,0.3,0.0
05/02/2022 - 20,0.2,"2,066.1",678.4,13.6,"5,643.7",0.2,-0.7,-0.7,"1,185.7","1,555.8",0.5,0.1,0.1,31.1,1.5,0.0,0.1,0.6,7.4,0.0,1.9,10.1,2.1,0.0,0.0,0.8,15.0,0.2,0.0
05/02/2022 - 21,0.2,"2,068.0",682.3,31.2,"5,674.7",6.1,-0.6,-0.7,"1,173.8","1,563.8",0.7,0.1,0.1,210.4,33.8,0.1,0.1,0.3,3.0,0.0,1.8,10.3,2.1,0.0,0.0,1.0,14.4,0.3,0.0
05/02/2022 - 22,0.2,"2,093.1",682.6,16.3,"5,668.1",0.7,-0.7,-0.7,"1,178.6","1,552.5",0.4,0.1,0.1,34.2,3.0,0.0,0.1,1.0,24.3,0.0,1.5,10.2,1.9,0.0,0.0,0.3,16.7,0.2,0.0
05/02/2022 - 23,0.2,"2,095.0",700.0,26.1,"5,859.9",6.5,-0.5,-0.7,"1,213.8","1,587.4",0.7,0.1,0.1,406.6,77.8,0.2,0.2,0.4,3.0,0.0,1.6,10.6,1.8,0.0,0.0,0.0,18.6,0.3,0.0
05/02/2022 - 24,0.2,"2,127.1",702.0,20.2,"5,850.0",0.7,-0.5,-0.7,"1,208.3","1,597.3",0.4,0.0,0.1,17.7,3.5,0.0,0.1,0.4,11.5,0.0,1.5,10.6,1.8,0.0,0.0,0.1,20.4,0.2,0.0
05/02/2022 - 25,0.2,"2,112.2",723.7,22.0,"5,893.7",12.4,-0.7,-0.7,"1,227.0","1,660.2",0.5,0.1,0.1,"1,960.1",408.2,0.8,0.1,0.3,5.9,0.0,1.4,11.2,1.8,0.0,0.0,0.2,41.1,0.3,0.0
05/02/2022 - 26,0.2,"2,099.4",715.7,12.6,"5,800.3",-0.8,-0.7,-0.7,"1,226.2","1,669.4",0.4,0.0,0.1,445.7,386.4,0.7,0.1,0.3,22.9,0.0,1.3,11.4,1.7,0.0,0.0,0.0,33.4,0.2,0.0
