
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20211109,,Exported,"Aqua4Plus 1.9.6"
# Records,  14771 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-11.19,13.500,
,Maximum,26.31,14.247,
,Mean,7.11,13.906,
,Variance,47.118,0.0100,
,Std Deviation,6.864,0.0998,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
204,11-Nov-21 17:09:07,17.00,13.894
205,11-Nov-21 17:24:07,16.81,13.895
206,11-Nov-21 17:39:07,16.63,13.895
207,11-Nov-21 17:54:07,16.31,13.896
208,11-Nov-21 18:09:07,15.69,13.897
209,11-Nov-21 18:24:07,15.25,13.896
210,11-Nov-21 18:39:07,15.06,13.897
211,11-Nov-21 18:54:07,14.94,13.893
212,11-Nov-21 19:09:07,14.94,13.892
213,11-Nov-21 19:24:07,14.88,13.887
214,11-Nov-21 19:39:07,14.94,13.886
215,11-Nov-21 19:54:07,15.00,13.881
216,11-Nov-21 20:09:07,15.25,13.880
217,11-Nov-21 20:24:07,15.38,13.874
218,11-Nov-21 20:39:07,15.38,13.880
219,11-Nov-21 20:54:07,15.19,13.874
220,11-Nov-21 21:09:07,14.94,13.869
221,11-Nov-21 21:24:07,14.75,13.862
222,11-Nov-21 21:39:07,14.81,13.876
223,11-Nov-21 21:54:07,14.88,13.873
224,11-Nov-21 22:09:07,14.88,13.866
225,11-Nov-21 22:24:07,14.94,13.863
226,11-Nov-21 22:39:07,15.00,13.857
227,11-Nov-21 22:54:07,15.13,13.856
228,11-Nov-21 23:09:07,15.13,13.855
229,11-Nov-21 23:24:07,15.13,13.851
230,11-Nov-21 23:39:07,15.13,13.848
231,11-Nov-21 23:54:07,15.25,13.844
232,12-Nov-21 00:09:07,15.25,13.842
233,12-Nov-21 00:24:07,15.25,13.838
234,12-Nov-21 00:39:07,15.38,13.836
235,12-Nov-21 00:54:07,15.50,13.835
236,12-Nov-21 01:09:07,15.56,13.834
237,12-Nov-21 01:24:07,15.63,13.832
238,12-Nov-21 01:39:07,15.50,13.846
239,12-Nov-21 01:54:07,14.94,13.846
240,12-Nov-21 02:09:07,14.56,13.844
241,12-Nov-21 02:24:07,14.31,13.837
242,12-Nov-21 02:39:07,14.13,13.841
243,12-Nov-21 02:54:07,14.06,13.838
244,12-Nov-21 03:09:07,14.06,13.837
245,12-Nov-21 03:24:07,14.06,13.836
246,12-Nov-21 03:39:07,14.00,13.846
247,12-Nov-21 03:54:07,14.00,13.847
248,12-Nov-21 04:09:07,13.88,13.849
249,12-Nov-21 04:24:07,13.81,13.851
250,12-Nov-21 04:39:07,13.75,13.850
251,12-Nov-21 04:54:07,13.63,13.846
252,12-Nov-21 05:09:07,13.56,13.854
253,12-Nov-21 05:24:07,13.50,13.852
254,12-Nov-21 05:39:07,13.50,13.860
255,12-Nov-21 05:54:07,13.06,13.862
256,12-Nov-21 06:09:07,12.56,13.867
257,12-Nov-21 06:24:07,12.06,13.872
258,12-Nov-21 06:39:07,11.63,13.871
259,12-Nov-21 06:54:07,11.13,13.871
260,12-Nov-21 07:09:07,10.88,13.875
261,12-Nov-21 07:24:07,10.63,13.880
262,12-Nov-21 07:39:07,10.38,13.883
263,12-Nov-21 07:54:07,10.19,13.883
264,12-Nov-21 08:09:07,10.13,13.888
265,12-Nov-21 08:24:07,10.06,13.895
266,12-Nov-21 08:39:07,10.13,13.896
267,12-Nov-21 08:54:07,12.13,13.901
268,12-Nov-21 09:09:07,14.50,13.905
269,12-Nov-21 09:24:07,15.63,13.906
270,12-Nov-21 09:39:07,16.19,13.902
271,12-Nov-21 09:54:07,17.25,13.901
272,12-Nov-21 10:09:07,18.00,13.892
273,12-Nov-21 10:24:07,18.88,13.887
274,12-Nov-21 10:39:07,19.25,13.886
275,12-Nov-21 10:54:07,19.00,13.896
276,12-Nov-21 11:09:07,19.88,13.893
277,12-Nov-21 11:24:07,20.31,13.893
278,12-Nov-21 11:39:07,19.88,13.890
279,12-Nov-21 11:54:07,18.88,13.891
280,12-Nov-21 12:09:07,17.75,13.890
281,12-Nov-21 12:24:07,17.19,13.884
282,12-Nov-21 12:39:07,17.06,13.878
283,12-Nov-21 12:54:07,17.06,13.877
284,12-Nov-21 13:09:07,17.19,13.875
285,12-Nov-21 13:24:07,17.44,13.877
286,12-Nov-21 13:39:07,17.75,13.873
287,12-Nov-21 13:54:07,18.06,13.871
288,12-Nov-21 14:09:07,18.56,13.868
289,12-Nov-21 14:24:07,18.94,13.864
