Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,1.072,20.5961,4.59,0.7733,0.1278,2.3688,3.3642,35.54029,39.809,11.6032,144.488,11.403,2.3202591252227,0.077,0,FCR,3
2023-06-27T12:44:42Z,1.088,20.3096,4.59,0.842,0.1278,2.3688,3.0035,35.466296,39.847,12.1498,143.97,11.381,2.338056669049168,0.06,0,FCR,3
2023-06-27T12:44:42Z,1.1,20.0417,4.59,0.8306,0.0852,1.269,3.0937,35.430061,39.891,12.6588,141.425,11.248,2.3554149689528443,0.047,0,FCR,3
2023-06-27T12:44:42Z,1.109,19.8137,4.59,0.842,0.0852,1.269,3.1388,35.402117,39.917,13.0425,137.385,11.381,2.3696145759051905,0.037,0,FCR,3
2023-06-27T12:44:42Z,1.116,19.6333,4.59,0.8306,0.0852,1.269,3.0937,35.378971,39.928,13.2391,132.633,11.568,2.3803358242571337,0.029,0,FCR,3
2023-06-27T12:44:42Z,1.122,19.4985,4.59,0.8267,0.0852,1.269,3.3342,35.362373,39.933,13.224,127.985,11.649,2.388192801870547,0.023,0,FCR,3
2023-06-27T12:44:42Z,1.127,19.4036,4.5,0.8649,0.0852,1.3113,3.3342,35.351857,39.935,13.0126,124.065,11.812,2.3936525652966596,0.018,0,FCR,3
2023-06-27T12:44:42Z,1.131,19.3397,4.5,0.8267,0.0852,1.3113,3.259,35.344619,39.935,12.6557,121.231,12.076,2.397254532873797,0.015,0,FCR,3
2023-06-27T12:44:42Z,1.134,19.2983,4.5,0.8229,0.0852,1.3113,3.3191,35.330807,39.921,12.2275,119.516,12.264,2.3986994820634666,0.013,0,FCR,3
2023-06-27T12:44:42Z,1.136,19.2724,4.5,1.0251,0.0852,1.3113,3.2289,35.306738,39.892,11.805,118.647,12.449,2.3983118586666974,0.011,0,FCR,3
2023-06-27T12:44:42Z,1.139,19.2565,4.59,1.0404,0.0852,1.2267,3.3041,35.277876,39.858,11.4471,118.19,12.544,2.3970388807493084,0.009,0,FCR,3
2023-06-27T12:44:42Z,1.141,19.2481,4.59,1.0327,0.0852,1.2267,3.3943,35.25435,39.837,11.1876,117.704,12.544,2.396171898133903,0.008,0,FCR,3
2023-06-27T12:44:42Z,1.143,19.2458,4.59,1.0251,0.0852,1.2267,3.3041,35.241772,39.841,11.03,116.899,12.776,2.3965573570223264,0.007,0,FCR,3
2023-06-27T12:44:42Z,1.144,19.2479,4.59,1.0594,0.0852,1.2267,3.6197,35.238765,39.866,10.9494,115.634,12.952,2.3980359357142844,0.005,0,FCR,3
2023-06-27T12:44:42Z,1.145,19.2501,4.59,1.09,0.0852,1.2267,3.5897,35.238585,39.898,10.9067,113.8,12.991,2.399956030866935,0.004,0,FCR,3
2023-06-27T12:44:42Z,1.146,19.2435,4.59,1.0785,0.0852,1.2267,3.5145,35.23326,39.925,10.8632,111.285,13.022,2.4020549285037656,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.147,19.223,4.59,1.0976,0.0852,1.2267,3.4694,35.22335,39.946,10.7932,107.999,13.305,2.404559198187531,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.147,19.1922,4.59,0.7695,0.0852,1.2267,3.1388,35.212152,39.963,10.6826,103.907,13.404,2.407394952892601,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.148,19.157,4.59,0.7657,0.0852,1.2267,3.0786,35.204602,39.982,10.5204,98.965,13.524,2.4106129345671103,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.148,19.1205,4.59,0.7733,0.0852,1.269,3.0486,35.204625,40.007,10.2952,93.14,13.498,2.414294564295794,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.149,19.0848,4.59,0.7657,0.0852,1.269,3.0486,35.206287,40.032,9.9981,86.509,13.654,2.417936324992315,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.149,19.0516,4.59,0.8344,0.0852,1.269,3.4845,35.202106,40.048,9.6255,79.296,13.836,2.420862649693553,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.149,19.0214,4.59,0.8344,0.0852,1.269,3.3792,35.190969,40.054,9.173,71.879,13.857,2.422978418489085,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.149,18.994,4.59,0.8306,0.0852,1.269,3.259,35.173866,40.051,8.6377,64.7,13.978,2.4243573673969383,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.15,18.9688,4.59,0.842,0.0852,1.269,3.2139,35.148215,40.038,8.0266,58.16,14.094,2.4249679827110264,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.15,18.9458,4.59,0.8077,0.0852,1.269,3.3342,35.119058,40.019,7.3607,52.518,14.088,2.4250663954717133,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.15,18.925,4.59,0.8077,0.0852,1.269,3.3642,35.098426,40.009,6.6749,47.915,14.257,2.4256178612712027,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.15,18.9061,4.59,0.8344,0.0852,1.3536,3.2891,35.084776,40.004,6.0106,44.401,14.326,2.426382588729155,0.001,0,FCR,3
2023-06-27T12:44:42Z,1.151,18.8886,4.59,0.8573,0.0852,1.3536,3.3342,35.070507,39.997,5.405,41.919,14.357,2.426938349662952,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.151,18.8728,4.59,0.8191,0.0852,1.3536,3.274,35.055775,39.987,4.8823,40.358,14.357,2.4272030844428665,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.152,18.8586,4.59,0.8344,0.0852,1.3536,3.3191,35.044572,39.981,4.4559,39.553,14.382,2.427633805414524,0.002,0,FCR,3
