,Reservoir,Site,DateTime,Depth_m,Rep,TP_ugL,TN_ugL,Flag_TP,Flag_TN,NH4_ugL,SRP_ugL,NO3NO2_ugL,Flag_NH4,Flag_SRP,Flag_NO3NO2,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Flag_DC,Flag_DIC,Flag_DOC,Flag_DN,Flag_DateTime
105,BVR,50,2020-11-10 10:04:00,3,1,16.5,313,0,0,52,7,3,3,0,0,2.5,2.8,5.4,0.22,0,0,0,0,0
106,BVR,50,2020-11-10 10:16:00,6,1,13.8,295,0,0,64,6,3,3,0,0,2.2,2.1,4.3,0.15,0,0,0,0,0
107,BVR,50,2020-11-10 10:29:00,9,1,15.1,329,0,0,93,7,3,0,0,0,1.1,3.8,4.9,0.22,0,0,0,0,0
108,BVR,50,2020-11-10 10:43:00,10,1,15.1,405,0,0,126,6,3,3,0,0,1.4,2.7,4.1,0.19,0,0,0,0,0
109,BVR,50,2020-12-02 10:05:00,0.1,1,23.6,408,0,0,48,6,8,3,0,0,1.2,3.2,4.4,0.19,0,0,0,0,0
110,BVR,50,2020-12-02 10:18:00,3,1,19.6,303,0,0,52,6,9,3,0,0,2.4,2.2,4.5,0.15,0,0,0,0,0
111,BVR,50,2020-12-02 10:31:00,6,1,21.7,276,0,0,62,8,9,3,0,0,3.6,1.8,5.3,0.22,0,0,0,0,0
112,BVR,50,2020-12-02 10:50:00,9,1,21.1,311,0,0,49,8,10,3,0,0,3.5,1.6,5.1,0.2,0,0,0,0,0
113,BVR,50,2020-12-02 11:05:00,11,1,23.1,316,0,0,51,7,9,3,0,0,2.8,2.4,5.2,0.24,0,0,0,0,0
114,CCR,50,2020-07-15 12:00:00,0.1,1,9.4,309,0,0,8,6,3,3,0,0,4.7,2.5,7.2,0.15,0,0,0,0,1
115,CCR,50,2020-07-15 12:00:00,6,1,8,143,0,0,6,5,3,3,0,0,3.2,3.6,6.8,0.16,0,0,0,0,1
116,CCR,50,2020-07-15 12:00:00,9,1,11.2,154,0,0,7,6,3,3,0,0,0.5,6.1,6.6,0.11,0,0,3,0,1
117,CCR,50,2020-07-22 12:00:00,0.1,1,3.9,128,3,0,6,6,5,3,0,0,2,3.5,5.5,0.1,0,0,0,0,1
118,CCR,50,2020-07-22 12:00:00,6,1,9.7,177,0,0,12,7,3,3,0,0,4.4,2.7,7.1,0.15,0,0,0,0,1
119,CCR,50,2020-07-22 12:00:00,9,1,4.8,57,3,0,10,6,3,0,0,0,0.9,5.8,6.6,0.1,0,0,0,0,1
120,CCR,50,2020-07-22 12:00:00,21,1,38.8,455,0,0,168,7,86,83,0,0,0.9,9.6,10.5,0.34,0,0,0,0,1
121,CCR,50,2020-07-29 09:30:00,0.1,1,8.1,171,0,0,3,6,3,3,0,0,2.7,4.4,7.1,0.16,0,0,0,0,0
122,CCR,50,2020-07-29 12:00:00,6,1,14.8,233,0,0,8,6,3,3,0,0,3.5,3.6,7.1,0.14,0,0,0,0,1
123,CCR,50,2020-07-29 12:00:00,9,1,9.2,190,0,0,3,6,3,3,0,0,2.4,5.8,8.2,0.15,0,0,0,0,1
124,CCR,50,2020-07-29 12:00:00,21,1,38.9,452,0,0,115,8,3,3,0,0,1.1,9.5,10.6,0.3,0,0,0,0,1
125,CCR,50,2020-08-05 12:00:00,0.1,1,10.8,264,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
126,CCR,50,2020-08-05 12:00:00,6,1,14.1,208,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
127,CCR,50,2020-08-05 12:00:00,9,1,14,236,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
128,CCR,50,2020-08-05 12:00:00,20,1,34.1,436,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
129,CCR,100,2020-08-05 12:00:00,0.1,1,8.7,450,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
130,CCR,300,2020-08-05 12:00:00,0.1,1,8.2,112,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
