"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"77","FCR","45",2019-04-29,0.1,"R1","2019-10-14",2.63,0.995,0,"","",3,3,3,"2019-11-05","4.1","1.8","5.9","0.1","","",0,0,0,0
"78","FCR","50",2019-04-29,0.1,"R1","2019-10-21",11.9,2.7,0.929,"","",0,0,3,"2019-10-24","2.3","3.1","5.4","0.2","","",0,0,0,0
"79","FCR","50",2019-04-29,3.8,"","2019-10-21",5.22,1.83,0,"","",0,0,3,"2019-10-24","1.9","2.9","4.8","0.1","","",0,0,0,0
"80","FCR","50",2019-04-29,5,"","2019-10-21",7.51,1.82,5.76,"","",0,3,0,"2019-10-23","2","3","5","0.1","","",0,0,0,0
"81","FCR","50",2019-04-29,6.2,"","2019-10-21",11.2,0.123,9.25,"","",0,3,0,"2019-10-23","1.8","3.1","4.9","0.1","","",0,0,0,0
"82","FCR","50",2019-04-29,8,"","2020-03-18",55.5,4.33,25.5,"","F 29apr19 s 8",0,0,0,"2019-10-23","2","2.9","4.9","0.2","","",0,0,0,0
"83","FCR","50",2019-04-29,9,"","2019-10-07",33.0647606,6.077858073,9.305144986,"","",0,0,0,"2019-10-24","2","3","4.9","0.2","check rack maps, why rerun?","",0,0,0,0
"84","FCR","99",2019-04-29,0.1,"R1","2019-10-14",6.35,3.03,16.9,"","",0,0,0,"2019-10-16","2.1","2.6","4.7","0.1","","",0,0,0,0
"85","FCR","99",2019-04-29,0.1,"R2","2019-10-07",5.120415335,9.563783744,22.66081644,"","",0,0,0,"2019-09-24","2.6","2.2","4.8","0.2","","",0,0,0,0
"86","FCR","100",2019-04-29,0.1,"R1","2019-10-14",6.64,1.48,19.8,"","",0,3,0,"2019-11-05","3","1.8","4.8","0.1","","",0,0,0,0
"87","FCR","101",2019-04-29,0.1,"R1","2019-10-14",5.66,2.01,15.6,"","",0,0,0,"2019-10-16","1.9","2.6","4.5","0.1","","",0,0,0,0
"88","FCR","102",2019-04-29,0.1,"R1","2019-10-14",2.41,1.49,2.9,"","",3,3,3,"2019-10-16","2.1","2.5","4.6","0.1","","",0,0,0,0
"89","FCR","200",2019-04-29,0.1,"R1","2019-10-14",21.9,3.19,58,"","",0,0,0,"2020-03-20","1.4","3.4","4.7","0.1","","F 29apr19 200 s r1",0,0,0,0
"90","FCR","50",2019-05-06,0.1,"","2019-10-07",32.43690892,5.912139356,5.040996434,"","",0,0,0,"2020-03-19","2.4","2.7","5.1","0.1","","F 06may19 s 0.1",0,0,0,0
"91","FCR","50",2019-05-06,3.8,"","2019-10-07",15.76554338,3.366712412,0,"","",0,0,3,"2019-11-04","4.1","1.4","5.6","0.1","","",0,0,0,0
"92","FCR","50",2019-05-06,5,"","2019-10-21",4.09,2.58,0.372,"","",3,0,3,"2019-10-24","1.7","3","4.7","0.1","","",0,0,0,0
"93","FCR","50",2019-05-06,6.2,"","2019-10-07",25.3,3.4,23,"","",0,0,0,"2020-03-17","0.8","3.4","4.2","0.1","","f 06may19 s 6.2",0,0,0,0
"94","FCR","50",2019-05-06,8,"","2019-10-21",60.2,3.34,25.3,"","",0,0,0,"2019-10-22","2.2","3.2","5.5","0.2","","",0,0,0,0
