ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/23/2024 - 4,0.4,"3,614.4","1,274.1",17.0,"6,519.0",1.0,0.6,0.5,"1,324.5","2,773.5",0.7,0.1,0.1,51.7,14.6,0.1,0.1,0.8,10.5,0.2,0.5,18.6,0.0,0.0,0.0,0.0,24.2,0.1,0.0
09/23/2024 - 4,0.4,"3,543.2","1,246.5",16.1,"6,393.1",0.2,0.3,0.5,"1,289.5","2,696.0",0.7,0.1,0.1,47.4,14.2,0.1,0.1,0.8,6.4,0.1,0.3,18.1,0.0,0.0,0.0,0.0,23.3,0.1,0.0
09/23/2024 - 5,0.4,"3,512.2","1,283.1",16.5,"6,876.3",35.9,0.2,0.5,"1,329.7","2,892.3",0.8,0.2,0.1,412.5,148.2,0.2,0.1,1.1,0.7,0.2,0.2,19.2,0.0,0.0,0.0,0.0,29.5,0.1,0.0
09/23/2024 - 6,0.4,"3,536.0","1,276.9",16.5,"6,770.4",6.2,0.2,0.5,"1,323.4","2,847.0",1.3,0.1,0.1,34.4,68.3,0.1,0.1,0.6,14.7,0.2,0.4,19.3,0.2,0.0,0.0,0.0,27.9,0.0,0.0
09/23/2024 - 7,0.4,"3,477.6","1,305.3",17.1,"7,608.2",23.5,0.1,0.5,"1,357.9","3,033.7",0.9,0.2,0.1,"1,152.8",628.7,1.2,0.1,1.0,-0.2,0.2,0.4,20.5,0.1,0.0,0.0,0.0,43.0,0.1,0.0
09/23/2024 - 8,0.4,"3,477.4","1,294.6",12.0,"7,624.7",-1.0,0.1,0.5,"1,355.3","3,002.0",0.9,0.1,0.1,257.1,634.3,1.2,0.1,0.5,9.3,0.1,0.2,20.5,0.1,0.0,0.0,0.0,42.7,0.0,0.0
09/23/2024 - 9,0.3,"3,309.7","1,354.7",13.8,"9,672.1",20.7,0.2,0.5,"1,358.5","3,446.3",1.0,0.1,0.1,"2,415.6","1,355.7",2.9,0.2,1.0,2.0,0.1,0.2,23.5,0.0,0.0,0.0,0.0,66.6,0.1,0.0
09/23/2024 - 10,0.3,"3,340.4","1,372.7",11.7,"9,712.0",-2.1,0.1,0.5,"1,361.1","3,461.2",0.9,0.1,0.1,140.4,"1,345.9",2.8,0.5,0.5,15.3,0.1,0.2,23.7,0.0,0.0,0.0,0.0,70.5,0.0,0.0
09/23/2024 - 11,0.3,"3,350.5","1,372.8",17.1,"9,744.2",19.8,0.1,0.5,"1,365.6","3,465.6",1.0,0.1,0.1,"2,299.2","1,413.2",3.1,0.2,1.0,0.5,0.1,0.0,23.6,0.0,0.0,0.0,0.0,67.5,0.1,0.0
09/23/2024 - 12,0.3,"3,323.8","1,375.7",12.2,"9,824.7",-2.2,0.1,0.5,"1,360.8","3,498.9",0.9,0.1,0.2,44.2,"1,415.8",3.1,0.2,0.5,20.2,0.1,0.2,23.8,0.0,0.0,0.0,0.0,69.4,0.0,0.0
09/23/2024 - 13,0.3,"3,256.4","1,372.3",16.4,"10,213.0",12.8,0.1,0.5,"1,343.7","3,545.7",1.0,0.1,0.2,"2,626.1","1,538.9",3.4,0.2,1.1,0.1,0.1,0.2,24.1,0.0,0.0,0.0,0.0,71.6,0.0,0.0
09/23/2024 - 14,0.3,"3,312.3","1,384.7",10.5,"10,174.2",-2.6,0.1,0.5,"1,370.3","3,547.7",0.9,0.0,0.2,27.9,"1,502.4",3.3,0.2,0.6,5.4,0.1,0.1,24.2,0.0,0.0,0.0,0.0,70.6,0.0,0.0
09/23/2024 - 15,0.7,"4,358.6","1,255.4",129.7,"13,194.2",26.4,-0.5,0.3,"1,553.0","3,358.9",4.0,0.6,0.3,216.6,47.3,0.1,0.6,0.8,2.3,0.1,0.2,21.8,0.0,0.0,0.3,0.3,24.4,0.5,0.0
