"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP","Flag_TN","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4","Flag_SRP","Flag_NO3NO2","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC","Flag_DIC","Flag_DOC","Flag_DN"
"185","CCR","100",2021-11-19 13:41:00,0.1,1,4.3,72,0,0,3,3,4,1,3,0,3,1.7,2.5,4.2,0.06,0,0,0,3
"186","CCR","400",2022-02-28 10:31:00,0.1,1,13.4,215,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"187","CCR","50",2022-02-28 10:50:00,6,1,11.1,241,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"188","FCR","50",2021-02-08 11:22:00,0.1,1,21.7,175,0,0,3,17,2,25,3,3,3,2.2,2.9,5.1,0.16,0,0,0,0
"189","FCR","50",2021-02-08 11:36:00,1.6,1,21.5,208,0,0,3,8,4,12,0,0,3,2.7,2.8,5.5,0.16,0,0,0,0
"190","FCR","50",2021-02-08 11:46:00,3.8,1,22.1,163,0,0,3,17,8,14,3,0,3,2.5,2.8,5.3,0.21,0,0,0,0
"191","FCR","50",2021-02-08 12:00:00,5,1,30.2,222,0,0,3,12,11,13,3,3,3,1.4,3,4.4,0.14,0,0,0,0
"192","FCR","50",2021-02-08 12:00:00,6.2,1,23.1,210,0,0,3,6,3,12,3,0,3,2.2,2.9,5,0.13,0,0,0,0
"193","FCR","50",2021-02-08 12:00:00,8,1,24.4,210,0,0,3,7,4,12,3,0,3,1.7,3,4.6,0.14,0,0,0,0
"194","FCR","50",2021-02-08 12:50:00,9,1,29.6,258,0,0,3,10,5,12,3,0,3,2.2,2.8,5,0.15,0,0,0,0
"195","FCR","50",2021-02-26 10:45:00,0.1,1,22.6,193,0,0,3,5,5,4,3,0,0,2.2,2.7,4.9,0.14,0,0,0,0
"196","FCR","50",2021-02-26 10:47:00,1.6,1,22.5,218,0,0,3,6,8,4,3,0,3,1.6,2.7,4.3,0.14,0,0,0,0
"197","FCR","50",2021-02-26 11:00:00,3.8,1,23.7,210,0,0,3,6,4,4,3,0,0,1.5,2.7,4.2,0.11,0,0,0,0
"198","FCR","50",2021-02-26 11:18:00,5,1,23.9,207,0,0,3,0,1,6,3,3,0,1.8,2.9,4.7,0.13,0,0,0,0
"199","FCR","50",2021-02-26 11:32:00,6.2,1,21.6,207,0,0,3,6,2,5,3,3,0,1.5,2.9,4.3,0.12,0,0,0,0
"200","FCR","50",2021-02-26 11:49:00,8,1,21.5,208,0,0,3,6,4,8,3,0,0,1.1,3.2,4.3,0.16,0,0,0,0
"201","FCR","50",2021-02-26 12:07:00,9,1,21.5,155,0,0,3,11,4,8,3,0,0,1.8,3,4.8,0.14,0,0,0,0
"202","FCR","100",2021-02-26 14:12:00,0.1,1,21.2,180,0,0,3,6,2,27,3,3,3,2.1,2.4,4.4,0.15,0,0,0,0
"203","FCR","50",2021-03-22 09:21:00,0.1,1,18,174,0,0,3,7,2,1,3,3,3,1.8,3.1,4.9,0.13,0,0,0,0
"204","FCR","50",2021-03-22 09:31:00,1.6,1,20,179,0,0,3,11,2,1,3,3,3,2,2.7,4.7,0.14,0,0,0,0
"205","FCR","50",2021-03-22 10:07:00,5,1,27,235,0,0,3,6,1,1,3,3,3,1.9,2.7,4.6,0.14,0,0,0,0
"206","FCR","50",2021-03-22 10:20:00,6.2,1,24.5,243,0,0,3,6,1,1,3,3,3,1.8,2.7,4.5,0.12,0,0,0,0
"207","FCR","50",2021-03-22 10:32:00,8,1,27.1,244,0,0,3,7,7,3,3,0,3,1.8,2.7,4.5,0.18,0,0,0,0
"208","FCR","50",2021-03-22 10:43:00,9,1,26.3,239,0,0,3,34,2,4,3,3,0,1.2,2.8,4,0.18,0,0,0,0
"209","FCR","50",2021-03-22 11:10:00,3.8,1,23.4,217,0,0,3,10,7,1,0,0,3,1.4,3.1,4.6,0.16,0,0,0,0
"210","FCR","100",2021-03-22 13:30:00,0.1,1,30.8,232,0,0,3,5,4,20,3,0,3,1.8,2.6,4.4,0.12,0,0,0,0
"211","FCR","200",2021-03-22 13:45:00,0.1,1,54.6,272,0,0,3,15,8,138,3,0,3,1.2,3.1,4.3,0.18,0,0,0,0
"212","FCR","50",2021-04-16 13:23:00,0.1,1,22.9,188,0,0,3,7,4,1,0,0,3,2.4,2.9,5.3,0.14,0,0,0,0
"213","FCR","50",2021-04-16 13:33:00,1.6,1,23.9,184,0,0,3,5,2,2,3,3,3,1.8,2.9,4.7,0.16,0,0,0,0
"214","FCR","50",2021-04-16 13:40:00,3.8,1,24.8,212,0,0,3,3,2,0,3,3,3,2.1,3,5,0.1,0,0,0,3
"215","FCR","50",2021-04-16 13:55:00,5,1,30.3,236,0,0,3,4,2,1,3,3,3,1.4,3,4.3,0.12,0,0,0,0
"216","FCR","50",2021-04-16 14:05:00,6.2,1,29,271,0,0,3,2,1,1,3,3,3,1.6,2.9,4.5,0.15,0,0,0,0
"217","FCR","50",2021-04-16 14:15:00,8,1,25,206,0,0,3,7,5,1,3,0,3,1.8,3.4,5.2,0.18,0,0,0,0
"218","FCR","50",2021-04-16 14:24:00,9,1,25.7,215,0,0,3,13,4,2,3,0,3,1.4,3.2,4.5,0.13,0,0,0,0
"219","FCR","100",2021-04-16 15:37:00,0.1,1,30.5,210,0,0,3,6,7,36,3,0,0,1.4,2.5,3.9,0.16,0,0,0,0
"220","FCR","100.1",2021-04-16 15:37:00,0.1,1,314.4,1190,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"221","FCR","100.1",2021-04-26 15:05:00,0.1,2,113,586,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"222","FCR","200",2021-04-26 15:30:00,0.1,1,105,347,0,0,3,24,9,68,3,0,0,1.9,3.5,5.3,0.17,0,0,0,0
"223","FCR","100",2021-05-06 03:30:00,0.1,1,NA,NA,0,0,0,11,6,49,3,0,0,NA,NA,NA,NA,0,0,0,0
"224","FCR","50",2021-05-06 10:50:00,0.1,1,25,200,0,0,3,9,2,6,0,3,0,2.6,3.2,5.7,0.16,0,0,0,0
"225","FCR","50",2021-05-06 11:05:00,1.6,1,24.7,209,0,0,3,8,1,4,0,3,3,2,3.3,5.3,0.13,0,0,0,0
"226","FCR","50",2021-05-06 11:12:00,3.8,1,27.2,234,0,0,3,4,4,0,3,0,3,1.5,3.7,5.1,0.11,0,0,0,0
"227","FCR","50",2021-05-06 11:20:00,5,1,24.6,227,0,0,3,8,4,2,0,0,3,1.2,3.2,4.4,0.14,0,0,0,0
"228","FCR","50",2021-05-06 11:27:00,6.2,1,20.6,171,0,0,3,18,4,1,3,0,3,2,3.1,5.1,0.14,0,0,0,0
"229","FCR","50",2021-05-06 11:35:00,8,1,20.4,186,0,0,3,40,3,2,3,3,3,1.1,3.1,4.3,0.1,0,0,0,3
"230","FCR","50",2021-05-06 11:42:00,9,1,27.2,330,0,0,3,168,3,2,3,3,3,1.3,3.6,4.9,0.23,0,0,0,0
"231","FCR","100",2021-05-06 15:30:00,0.1,1,32,221,0,0,3,NA,NA,NA,0,0,0,1.4,2.6,4,0.14,0,0,0,0
"232","FCR","100.1",2021-05-06 15:30:00,0.1,1,258.4,1200,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"233","FCR","50",2021-05-14 13:29:00,0.1,1,21.1,208,0,0,3,11,2,4,3,3,0,2,2.9,4.8,0.15,0,0,0,0
"234","FCR","50",2021-05-14 13:34:00,1.6,1,21.7,201,0,0,3,8,5,2,0,0,3,2,3.5,5.5,0.16,0,0,0,0
"235","FCR","50",2021-05-14 13:39:00,3.8,1,30.9,229,0,0,3,6,10,2,3,0,3,1.8,3.1,4.9,0.17,0,0,0,0
"236","FCR","50",2021-05-14 13:44:00,5,1,25.4,225,0,0,3,9,2,4,0,3,0,1.8,2.6,4.4,0.13,0,0,0,0
"237","FCR","50",2021-05-14 13:50:00,6.2,1,20.6,171,0,0,3,11,0,2,3,3,3,1.4,3.1,4.5,0.12,0,0,0,0
"238","FCR","50",2021-05-14 13:56:00,8,1,24.3,264,0,0,3,119,0,5,3,43,0,1.2,3.5,4.7,0.2,0,0,0,0
"239","FCR","50",2021-05-14 14:02:00,9,1,29.5,305,0,0,3,137,0,10,3,43,0,1.6,3.5,5.1,0.23,0,0,0,0
"240","FCR","50",2021-05-24 11:17:00,0.1,1,23.4,338,0,0,3,11,11,2,3,3,3,2.8,3.4,6.2,0.23,0,0,0,0
"241","FCR","50",2021-05-24 11:31:00,1.6,1,31.8,350,0,0,3,13,15,6,3,3,0,3.3,3.4,6.7,0.37,0,0,0,0
"242","FCR","50",2021-05-24 12:57:00,3.8,1,26.9,303,0,0,3,7,4,2,3,0,3,2.9,3.1,6,0.19,0,0,0,0
"243","FCR","50",2021-05-24 13:16:00,5,1,21.3,188,0,0,3,6,3,1,3,3,3,1.3,3.4,4.8,0.14,0,0,0,0
"244","FCR","50",2021-05-24 13:32:00,6.2,1,20.7,172,0,0,3,12,8,1,3,0,3,1.3,3.2,4.4,0.14,0,0,0,0
"245","FCR","50",2021-05-24 13:35:00,8,1,25,249,0,0,3,90,3,2,0,0,3,1.4,4.2,5.7,0.19,0,0,0,0
"246","FCR","50",2021-05-24 13:44:00,9,1,25.6,288,0,0,3,207,3,2,3,0,3,1.4,4,5.5,0.3,0,0,0,0
"247","FCR","100",2021-05-24 14:40:00,0.1,1,36.2,296,0,0,3,8,12,147,0,3,3,1,3.1,4.1,0.18,0,0,0,0
"248","FCR","100.1",2021-05-24 14:40:00,0.1,1,153,832,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"249","FCR","200",2021-05-24 15:20:00,0.1,1,76.2,250,0,0,3,32,15,55,3,3,0,1.5,4.3,5.8,0.18,0,0,0,0
"250","FCR","50",2021-05-31 10:22:00,9,1,21.5,440,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"251","FCR","50",2021-05-31 12:23:00,0.1,1,27.4,627,0,0,3,13,10,4,3,0,0,3.8,2.4,6.2,0.25,0,0,0,0
"252","FCR","50",2021-05-31 12:35:00,1.6,1,31.8,627,0,0,3,4,9,2,3,0,3,3.1,3.2,6.3,0.23,0,0,0,0
"253","FCR","50",2021-05-31 12:54:00,3.8,1,20.9,256,0,0,3,17,6,3,3,0,3,2.2,3.6,5.8,0.09,0,0,0,3
"254","FCR","50",2021-05-31 13:10:00,5,1,19.5,200,0,0,3,23,6,3,3,0,3,1.9,3.1,5,0.15,0,0,0,0
"255","FCR","50",2021-05-31 13:15:00,6.2,1,17.6,91.3,0,0,0,31,5,2,3,0,3,1.1,3.3,4.4,0.12,0,0,0,0
"256","FCR","50",2021-05-31 13:21:00,8,1,16.4,252,0,0,3,165,4,3,3,0,3,1.5,3.5,5.1,0.23,0,0,0,0
"257","FCR","50",2021-05-31 13:28:00,9,1,NA,NA,0,0,0,422,4,2,3,0,3,1.3,3.9,5.1,0.42,0,0,0,0
"258","FCR","50",2021-06-07 10:50:00,0.1,1,31.9,1020,0,0,3,6,11,3,3,3,3,5.1,3.2,8.3,0.24,0,0,0,0
"259","FCR","50",2021-06-07 11:10:00,1.6,1,30.5,998,0,0,0,10,12,2,7,73,73,4.6,3.1,7.7,0.37,0,0,0,0
"260","FCR","50",2021-06-07 11:18:00,3.8,1,15.6,147,0,0,3,33,6,3,3,0,3,1.9,3.2,5.1,0.16,0,0,0,0
"261","FCR","50",2021-06-07 11:27:00,5,1,15.9,195,0,0,3,64,7,2,3,0,3,1.3,3.3,4.6,0.15,0,0,0,0
"262","FCR","50",2021-06-07 11:35:00,6.2,1,19.4,184,0,0,3,83,5,3,0,0,3,1.6,3.4,5,0.16,0,0,0,0
"263","FCR","50",2021-06-07 11:42:00,8,1,19.4,290,0,0,3,215,4,4,3,0,0,1.6,3.6,5.2,0.32,0,0,0,0
"264","FCR","50",2021-06-07 11:52:00,9,1,37.4,739,0,0,3,689,9,4,3,0,0,2.2,4.6,6.7,0.39,0,0,0,0
"265","FCR","100",2021-06-07 13:50:00,0.1,1,29.9,221,0,0,3,6,16,128,73,73,73,0.9,3.5,4.3,0.17,0,0,0,0
"266","FCR","100.1",2021-06-07 13:50:00,0.1,1,90,353.4,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"267","FCR","200",2021-06-07 14:20:00,0.1,1,34.3,150,0,0,3,13,11,18,3,3,3,1.1,4.5,5.6,0.09,0,0,0,3
"268","FCR","50",2021-06-15 10:45:00,0.1,1,36,1420,0,0,3,7,11,3,3,3,3,6.5,2.8,9.3,0.47,0,0,0,0
"269","FCR","50",2021-06-15 11:07:00,1.6,1,39.6,1030,0,0,3,6,16,2,73,73,73,7,3,10,0.54,0,0,0,0
"270","FCR","50",2021-06-15 11:20:00,3.8,1,19.4,399,0,0,3,113,7,7,3,0,0,2.4,3.6,6,0.16,0,0,0,0
"271","FCR","50",2021-06-15 11:28:00,5,1,16,330,0,0,3,101,5,3,3,0,3,2,3.7,5.7,0.14,0,0,0,0
"272","FCR","50",2021-06-15 11:35:00,6.2,1,18.5,287,0,0,3,212,5,4,3,0,0,1.3,4.1,5.4,0.28,0,0,0,0
"273","FCR","50",2021-06-15 11:42:00,8,1,14.6,282,0,0,3,189,6,3,3,0,3,1.1,4.1,5.1,0.24,0,0,0,0
"274","FCR","50",2021-06-15 11:50:00,9,1,20.3,270,0,0,3,181,4,3,3,0,3,0.8,4.2,4.9,0.11,0,0,0,0
"275","FCR","50",2021-06-21 10:16:00,0.1,1,39.1,1270,0,0,3,11,13,3,3,3,3,6.2,3.1,9.3,0.44,0,0,0,0
"276","FCR","50",2021-06-21 10:33:00,1.6,1,32.7,704,0,0,3,5,12,4,3,3,0,3.6,3.6,7.3,0.16,0,0,0,0
"277","FCR","50",2021-06-21 10:52:00,3.8,1,15.9,238,0,0,3,92,5,4,0,0,0,1.4,3.6,5,0.19,0,0,0,0
"278","FCR","50",2021-06-21 11:07:00,5,1,19.4,287,0,0,3,188,4,2,73,7,73,1.2,3.8,5,0.24,0,0,0,0
"279","FCR","50",2021-06-21 11:20:00,6.2,1,21.4,359,0,0,3,200,7,7,3,0,0,1.1,3.9,5,0.2,0,0,0,0
"280","FCR","50",2021-06-21 11:38:00,8,1,21.5,305,0,0,3,244,6,4,3,0,0,0.8,4,4.9,0.15,0,0,0,0
"281","FCR","50",2021-06-21 11:50:00,9,1,22.4,335,0,0,3,216,5,3,3,0,3,0.6,4.3,4.8,0.23,0,0,0,0
"282","FCR","100",2021-06-21 13:20:00,0.1,1,25.6,207,0,0,3,6,15,152,3,3,3,0.7,3,3.7,0.18,0,0,0,0
"283","FCR","100.1",2021-06-21 13:20:00,0.1,1,106.2,540,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"284","FCR","199",2021-06-21 13:57:00,0.1,1,58.6,218,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"285","FCR","200",2021-06-21 13:57:00,0.1,1,36.1,94.8,0,0,0,25,10,43,3,3,0,1.7,4.6,6.3,0.14,0,0,0,0
"286","FCR","199",2021-06-21 14:20:00,0.1,1,NA,NA,0,0,0,44,14,20,3,3,3,2.7,5,7.7,0.19,0,0,0,0
"287","FCR","50",2021-06-28 14:14:00,0.1,1,48,1330,0,0,3,11,15,2,3,3,3,8.7,2.8,11.6,0.53,0,0,0,0
"288","FCR","50",2021-06-28 14:25:00,1.6,1,43.5,906,0,0,0,39,12,3,3,3,3,6.8,3.2,10,0.5,0,0,0,0
"289","FCR","50",2021-06-28 14:32:00,3.8,1,27.8,413,0,0,3,160,6,5,3,0,0,1.5,3.9,5.4,0.26,0,0,0,0
"290","FCR","50",2021-06-28 14:45:00,5,1,37.6,418,0,0,3,288,4,3,3,0,3,1.3,4,5.3,0.33,0,0,0,0
"291","FCR","50",2021-06-28 14:50:00,6.2,1,31.4,426,0,0,3,294,8,7,3,0,0,1.3,4,5.2,0.33,0,0,0,0
"292","FCR","50",2021-06-28 15:16:00,8,1,30.4,391,0,0,3,259,4,6,3,0,0,0.9,4.3,5.2,0.16,0,0,0,0
"293","FCR","50",2021-06-28 15:24:00,9,1,31.7,378,0,0,3,273,4,5,3,0,0,1.3,4.3,5.6,0.18,0,0,0,0
"294","FCR","50",2021-07-07 14:50:00,0.1,1,31.2,695,0,0,3,163,7,8,3,0,0,7,4,11.1,0.82,0,0,0,0
"295","FCR","50",2021-07-07 14:56:00,1.6,1,29.6,420,0,0,3,18,3,4,3,3,0,3.4,3.8,7.1,0.19,0,0,0,0
"296","FCR","50",2021-07-07 15:02:00,3.8,1,37.6,562,0,0,3,170,5,2,3,0,3,1,3.9,4.9,0.25,0,0,0,0
"297","FCR","50",2021-07-07 15:07:00,5,1,25.8,472,0,0,3,283,6,2,3,0,3,1.5,4.1,5.6,0.34,0,0,0,0
"298","FCR","50",2021-07-07 15:22:00,6.2,1,34.1,492,0,0,3,370,10,2,3,3,3,1.4,4,5.3,0.39,0,0,0,0
"299","FCR","50",2021-07-07 15:34:00,8,1,37.8,443,0,0,3,373,7,1,3,0,3,0.7,4,4.8,0.35,0,0,0,0
"300","FCR","50",2021-07-07 15:46:00,9,1,44,570,0,0,3,454,9,3,3,0,3,0.9,4.9,5.9,0.25,0,0,0,0
"301","FCR","50",2021-07-12 09:20:00,0.1,1,18.9,469,0,0,3,133,6,12,3,0,3,4.8,3.8,8.6,0.46,0,0,0,0
"302","FCR","50",2021-07-12 09:32:00,1.6,1,22,493,0,0,3,161,8,14,3,0,3,6.1,3.3,9.5,0.66,0,0,0,0
"303","FCR","50",2021-07-12 09:40:00,3.8,1,78.5,927,0,0,0,18,14,2,3,3,3,2.5,4,6.6,0.36,0,0,0,0
"304","FCR","50",2021-07-12 09:56:00,5,1,33.9,483,0,0,3,317,2,2,3,3,3,1.3,3.7,5,0.34,0,0,0,0
"305","FCR","50",2021-07-12 10:02:00,6.2,1,24.8,455,0,0,3,324,5,2,3,0,3,2,4.2,6.2,0.41,0,0,0,0
"306","FCR","50",2021-07-12 10:12:00,8,1,42.1,532,0,0,3,606,3,1,3,0,3,1.8,4.1,5.9,0.59,0,0,0,0
"307","FCR","50",2021-07-12 10:20:00,9,1,44.6,635,0,0,3,641,5,2,3,0,3,2.1,4.5,6.6,0.65,0,0,0,0
"308","FCR","100",2021-07-12 11:35:00,0.1,1,33.1,280,0,0,3,11,19,188,3,3,3,0.9,3.3,4.2,0.18,0,0,0,0
"309","FCR","100.1",2021-07-12 11:35:00,0.1,1,14.8,379.5,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"310","FCR","200",2021-07-12 13:05:00,0.1,1,37.8,619,0,0,3,151,6,22,3,0,3,4.4,3.5,7.9,0.44,0,0,0,0
"311","FCR","50",2021-07-21 10:30:00,0.1,1,27.4,385,0,0,3,10,8,4,3,0,0,4.6,3.7,8.3,0.37,0,0,0,0
"312","FCR","50",2021-07-21 10:54:00,1.6,1,27,415,0,0,3,7,6,2,3,0,3,4.4,3.5,7.9,0.28,0,0,0,0
"313","FCR","50",2021-07-21 11:13:00,3.8,1,51.5,486,0,0,3,13,11,4,3,3,0,2.6,3.6,6.2,0.26,0,0,0,0
"314","FCR","50",2021-07-21 11:25:00,5,1,32.5,440,0,0,3,98,4,0,0,0,3,3.4,3.8,7.2,0.33,0,0,0,0
"315","FCR","50",2021-07-21 11:44:00,6.2,1,36.3,688,0,0,3,482,16,2,3,3,3,2.2,4,6.2,0.61,0,0,0,0
"316","FCR","50",2021-07-21 11:59:00,8,1,35.5,668,0,0,3,629,14,2,3,3,3,2,4.3,6.3,0.68,0,0,0,0
"317","FCR","100",2021-07-21 12:00:00,0.1,1,30.3,204,1,0,3,6,22,159,3,3,3,0.9,3.6,4.5,0.17,0,0,0,0
"318","FCR","100.1",2021-07-21 12:00:00,0.1,1,364.1,1936,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"319","FCR","50",2021-07-21 12:14:00,9,1,46.9,999,0,0,0,1010,36,5,3,0,0,2.7,4.4,7.1,1.12,0,0,0,0
"320","FCR","50",2021-07-26 12:50:00,1.6,1,24.6,429,0,0,3,19,14,13,3,3,3,5.3,3.7,8.9,0.37,0,0,0,0
"321","FCR","50",2021-07-26 12:55:00,0.1,1,21.8,398,0,0,3,14,9,4,3,0,0,4.6,3.6,8.2,0.32,0,0,0,0
"322","FCR","50",2021-07-26 13:35:00,3.8,1,33.8,313,0,0,3,13,11,4,3,3,0,3,3.4,6.4,0.24,0,0,0,0
"323","FCR","50",2021-07-26 13:41:00,5,1,35.7,409,0,0,3,122,6,2,3,0,3,1.9,4,5.9,0.25,0,0,0,0
"324","FCR","50",2021-07-26 13:46:00,6.2,1,33.6,756,0,0,3,591,12,2,3,3,3,1.8,4.1,5.8,0.65,0,0,0,0
"325","FCR","50",2021-07-26 13:50:00,8,1,31,709,0,0,3,558,16,2,3,3,3,2.3,4,6.3,0.63,0,0,0,0
"326","FCR","50",2021-07-26 13:56:00,9,1,38.8,960,0,0,0,1040,42,2,3,0,3,3,4.1,7.1,1.1,0,0,0,0
"327","FCR","50",2021-08-02 10:30:00,0.1,1,19.9,340,0,0,3,7,6,0,3,0,3,4,3.7,7.7,0.26,0,0,0,0
"328","FCR","50",2021-08-02 10:43:00,1.6,1,22.4,320,0,0,3,5,4,0,3,0,3,4.2,3.8,8,0.28,0,0,0,0
"329","FCR","50",2021-08-02 10:53:00,3.8,1,20.6,224,0,0,3,7,8,2,3,0,3,1.9,3.9,5.8,0.16,0,0,0,0
"330","FCR","50",2021-08-02 11:03:00,5,1,27,371,0,0,3,76,4,0,0,0,3,1.5,4.3,5.8,0.16,0,0,0,0
"331","FCR","50",2021-08-02 11:12:00,6.2,1,20.9,833,0,0,0,696,9,1,3,0,3,1.5,4.5,6,0.64,0,0,0,0
"332","FCR","50",2021-08-02 11:37:00,8,1,21.5,834,0,0,0,582,13,9,3,3,0,2,5.1,7.1,0.7,0,0,0,0
"333","FCR","50",2021-08-02 11:46:00,9,1,21.6,860,0,0,0,701,7,3,0,0,3,1.9,4.9,6.8,0.68,0,0,0,0
"334","FCR","100",2021-08-02 13:00:00,0.1,1,34.1,237,0,0,3,7,20,166,3,3,3,1,3.7,4.7,0.18,0,0,0,0
"335","FCR","100.1",2021-08-02 13:00:00,0.1,2,422.4,2816,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"336","FCR","200",2021-08-02 13:28:00,0.1,1,130,345,0,0,3,101,6,2,3,0,3,3.3,5.9,9.2,0.25,0,0,0,0
"337","FCR","50",2021-08-09 13:10:00,0.1,1,20.4,283,0,0,3,6,6,1,3,0,3,4.1,3.4,7.5,0.25,0,0,0,0
"338","FCR","50",2021-08-09 13:20:00,1.6,1,19.8,259,0,0,3,6,4,1,3,0,3,3.7,4.1,7.8,0.27,0,0,0,0
"339","FCR","50",2021-08-09 13:35:00,3.8,1,18.4,181,0,0,3,7,7,4,3,0,3,2.6,3.4,6,0.15,0,0,0,0
"340","FCR","50",2021-08-09 13:51:00,5,1,29.7,470,0,0,3,206,5,3,3,0,3,2,4.4,6.4,0.32,0,0,0,0
"341","FCR","50",2021-08-09 14:05:00,6.2,1,20.9,642,0,0,3,402,3,1,3,0,3,1.7,4.7,6.4,0.43,0,0,0,0
"342","FCR","50",2021-08-09 14:25:00,8,1,19.2,640,0,0,3,767,6,3,0,0,3,2.6,4.7,7.3,0.84,0,0,0,0
"343","FCR","50",2021-08-09 14:30:00,9,1,18.7,812,0,0,0,687,3,2,3,0,3,1.7,4.9,6.6,0.71,0,0,0,0
"344","FCR","50",2021-08-16 09:30:00,0.1,1,18.9,278,0,0,3,11,5,2,3,0,3,3.6,3.6,7.3,0.24,0,0,0,0
"345","FCR","50",2021-08-16 10:04:00,1.6,1,19.8,272,0,0,3,8,6,2,0,0,3,4,3.4,7.4,0.32,0,0,0,0
"346","FCR","50",2021-08-16 10:08:00,3.8,1,24,251,0,0,3,9,7,2,0,0,3,2.5,3.7,6.2,0.22,0,0,0,0
"347","FCR","50",2021-08-16 10:29:00,5,1,27.4,382,0,0,3,132,5,0,3,0,3,1.7,4.5,6.2,0.24,0,0,0,0
"348","FCR","50",2021-08-16 10:41:00,6.2,1,18.9,809,0,0,0,692,4,3,3,0,3,1.1,5.3,6.4,0.69,0,0,0,0
"349","FCR","50",2021-08-16 10:58:00,8,1,16.1,878,0,0,0,803,6,1,0,0,3,1.3,5.1,6.4,0.8,0,0,0,0
"350","FCR","50",2021-08-16 11:09:00,9,1,18.1,729,0,0,3,817,6,4,0,0,3,1.2,5.6,6.8,0.86,0,0,0,0
"351","FCR","100",2021-08-16 13:49:00,0.1,1,41.9,268,0,0,3,6,22,96,3,3,0,3.3,2.8,6.1,0.18,0,0,0,0
"352","FCR","100.1",2021-08-16 13:49:00,0.1,1,721.6,3872,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"353","FCR","200",2021-08-16 14:54:00,0.1,1,146,453,0,0,3,42,15,32,3,3,0,5.2,3.8,9,0.3,0,0,0,0
"354","FCR","50",2021-08-23 10:00:00,0.1,1,18.8,285,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"355","FCR","50",2021-08-23 12:34:00,0.1,1,NA,NA,0,0,0,11,5,2,3,0,3,3.4,3.5,6.9,0.21,0,0,0,0
"356","FCR","50",2021-08-23 12:44:00,1.6,1,17.2,274,0,0,3,6,3,0,3,3,3,3.2,3.7,7,0.19,0,0,0,0
"357","FCR","50",2021-08-23 12:55:00,3.8,1,18.8,224,0,0,3,4,3,0,3,0,3,2.2,3.9,6.1,0.17,0,0,0,0
"358","FCR","50",2021-08-23 13:05:00,5,1,34.6,669,0,0,3,178,10,4,3,0,0,3.1,3.4,6.5,0.35,0,0,0,0
"359","FCR","50",2021-08-23 13:13:00,6.2,1,25.6,734,0,0,3,477,4,4,3,0,3,1.7,4.6,6.3,0.56,0,0,0,0
"360","FCR","50",2021-08-23 13:37:00,8,1,26.8,840,0,0,0,638,4,0,3,0,43,1.1,5.4,6.5,0.64,0,0,0,0
"361","FCR","50",2021-08-23 13:54:00,9,1,26.6,1020,0,0,3,848,5,2,0,0,3,1.6,5.1,6.7,0.95,0,0,0,0
"362","FCR","50",2021-08-31 09:30:00,0.1,1,18.9,318,0,0,3,5,6,3,3,0,3,3.6,3.7,7.3,0.27,0,0,0,0
"363","FCR","50",2021-08-31 09:30:00,8,1,20.1,1010,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"364","FCR","50",2021-08-31 09:45:00,1.6,1,19.1,350,0,0,3,5,4,2,3,0,3,3.2,4,7.2,0.21,0,0,0,0
"365","FCR","50",2021-08-31 09:55:00,3.8,1,16.2,244,0,0,3,5,4,1,3,0,3,2.6,4.1,6.7,0.21,0,0,0,0
"366","FCR","50",2021-08-31 10:07:00,5,1,21.5,495,0,0,3,276,5,1,3,0,3,2,4.6,6.6,0.37,0,0,0,0
"367","FCR","50",2021-08-31 10:22:00,6.2,1,25,965,0,0,0,665,4,1,3,0,3,1.2,5.5,6.7,0.67,0,0,0,0
"368","FCR","50",2021-08-31 10:35:00,8,1,NA,NA,0,0,0,817,6,1,0,0,3,1.4,5.5,6.9,0.79,0,0,0,0
"369","FCR","50",2021-08-31 10:46:00,9,1,23.5,918,0,0,0,695,5,5,3,0,0,2,5,7,0.81,0,0,0,0
