Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOsat_percent,Cond_uScm,SpCond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_DateTime,Flag_Temp_C,Flag_DO_mgL,Flag_DOsat_percent,Flag_Cond_uScm,Flag_SpCond_uScm,Flag_PAR_umolm2s,Flag_ORP_mV,Flag_pH
CCR,50,2025-09-02 10:13:00,6,NA,NA,NA,NA,NA,NA,NA,7.83,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-02 10:22:00,9,NA,NA,NA,NA,NA,NA,NA,6.82,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-02 10:25:00,21,NA,NA,NA,NA,NA,NA,NA,7.01,0,1,1,1,1,1,1,1,0
CCR,101,2025-09-02 11:27:00,0.1,15.3,9.5,92.5,NA,NA,NA,NA,6.35,0,0,0,0,1,1,1,1,0
CCR,50,2025-09-19 10:25:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.78,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-19 10:29:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.8,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-19 10:41:00,6,NA,NA,NA,NA,NA,NA,NA,7.14,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-19 10:46:00,9,NA,NA,NA,NA,NA,NA,NA,6.37,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-19 11:00:00,21,NA,NA,NA,NA,NA,NA,NA,7.04,0,1,1,1,1,1,1,1,0
CCR,101,2025-09-19 11:36:00,0.1,16.8,8.6,86.1,NA,NA,NA,NA,5.69,0,0,0,0,1,1,1,1,0
CCR,301,2025-09-19 13:40:00,0.1,18.1,8.42,86,NA,NA,NA,NA,5.9,0,0,0,0,1,1,1,1,0
CCR,50,2025-09-30 02:25:00,21,NA,NA,NA,NA,NA,NA,NA,7,0,1,1,1,1,1,1,1,0
CCR,101,2025-09-30 13:15:00,0.1,18.5,8.1,84.4,NA,NA,NA,NA,6.18,0,0,0,0,1,1,1,1,0
CCR,50,2025-09-30 13:57:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.9,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-30 13:57:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.92,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-30 14:08:00,6,NA,NA,NA,NA,NA,NA,NA,6.3,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-30 14:16:00,9,NA,NA,NA,NA,NA,NA,NA,7.76,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-14 10:06:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.35,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-14 10:12:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.54,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-14 10:23:00,6,NA,NA,NA,NA,NA,NA,NA,7.28,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-14 10:31:00,9,NA,NA,NA,NA,NA,NA,NA,7.28,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-14 10:40:00,20,NA,NA,NA,NA,NA,NA,NA,7.28,0,1,1,1,1,1,1,1,0
CCR,101,2025-10-14 11:19:00,0.1,14.8,7.6,73.5,NA,NA,NA,NA,6.05,0,0,0,0,1,1,1,1,0
CCR,301,2025-10-14 13:20:00,0.1,16.7,8.62,87,NA,NA,NA,NA,6.29,0,0,0,0,1,1,1,1,0
CCR,50,2025-10-28 10:22:00,0.1,NA,NA,NA,NA,NA,NA,NA,7,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-28 10:35:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.29,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-28 10:49:00,6,NA,NA,NA,NA,NA,NA,NA,7.18,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-28 10:59:00,9,NA,NA,NA,NA,NA,NA,NA,7.2,0,1,1,1,1,1,1,1,0
CCR,50,2025-10-28 11:11:00,19,NA,NA,NA,NA,NA,NA,NA,6.62,0,1,1,1,1,1,1,1,0
CCR,101,2025-10-28 11:50:00,0.1,9.9,9.15,78,NA,NA,NA,NA,6.43,0,0,0,0,1,1,1,1,0
CCR,301,2025-11-11 10:07:00,0.1,4.7,11.3,86.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
CCR,101,2025-11-11 11:36:00,0.1,4.1,10.5,77.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 00:00:00,-0.1,NA,NA,NA,NA,NA,121.66,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,0.5,NA,NA,NA,NA,NA,30.05,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,1,NA,NA,NA,NA,NA,23.15,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,1.5,NA,NA,NA,NA,NA,16.65,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,2,NA,NA,NA,NA,NA,7.12,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,2.5,NA,NA,NA,NA,NA,6.17,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 00:00:00,3,NA,NA,NA,NA,NA,3.24,NA,NA,0,1,1,1,1,1,0,1,1
FCR,50,2025-01-27 11:25:00,0.1,2.1,14.28,103.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:27:00,1,3.1,14.06,104.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:28:00,2,3.5,13.81,103.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:29:00,3,3.5,13.75,103.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:30:00,4,3.5,13.74,102.8,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:31:00,5,3.5,13.73,102.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:32:00,6,3.5,12.72,95.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:33:00,7,3.5,10.74,80.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:34:00,8,3.4,8.15,60.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-01-27 11:35:00,9,3.6,6.74,51.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-03-10 14:29:00,0.1,14,6.91,67.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-03-17 09:41:00,0.1,9.3,8.76,76.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-03-24 12:26:00,0.1,11.2,10.29,93.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-03-31 13:35:00,0.1,14.3,6.62,64.8,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-03-31 15:15:00,0.1,14.7,9.48,93.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-04-07 12:30:00,0.1,16,9.16,93.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-04-14 11:35:00,0.1,14.1,6.53,64,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-04-14 13:03:00,0.1,14.6,9.24,91.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,200,2025-04-14 13:28:00,0.1,20.5,8.37,93.3,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-04-21 11:00:00,0.1,15,6.75,66.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-04-21 13:10:00,0.1,20,8.66,94.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-04-28 11:02:00,0.1,15.9,9.94,99,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-04-28 11:43:00,0.1,14,7.27,69.3,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-05-05 01:15:00,0.1,19,8.43,90.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-05-05 12:20:00,0.1,14.3,6.87,66.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-05-19 11:43:00,0.1,19,11.47,123.4,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-05-19 12:38:00,0.1,15.4,8.71,86.8,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-06-02 09:41:00,0.1,14.7,6.71,65.6,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,100,2025-06-02 10:21:00,0.1,16,9.19,92.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,1.1,2025-06-09 09:32:00,0.1,14.8,6.31,62.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
FCR,50,2025-06-09 09:47:00,0.1,24.6,NA,NA,NA,NA,NA,NA,8.88,0,7,1,1,1,1,1,1,0
FCR,50,2025-06-09 10:07:00,1.6,23.5,NA,NA,NA,NA,NA,NA,9.35,0,7,1,1,1,1,1,1,0
FCR,50,2025-06-09 10:17:00,3.8,16.9,NA,NA,NA,NA,NA,NA,6.45,0,7,1,1,1,1,1,1,0
FCR,50,2025-06-09 10:24:00,5,23.1,NA,NA,NA,NA,NA,NA,5.74,0,7,1,1,1,1,1,1,0
FCR,50,2025-06-09 10:33:00,6.2,14.7,NA,NA,NA,NA,NA,NA,6.24,0,7,1,1,1,1,1,1,0
