"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP_ugL","Flag_TN_ugL","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4_ugL","Flag_SRP_ugL","Flag_NO3NO2_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC_mgL","Flag_DIC_mgL","Flag_DOC_mgL","Flag_DN_mgL"
"368","FCR",50,2022-07-18 11:08:00,5,1,48,593,0,0,0,291,7,4,0,0,0,2.9,5.6,8.5,0.43,0,0,0,0
"369","FCR",50,2022-07-18 11:18:00,6.2,1,39.5,572,0,0,0,445,6,3,0,0,3,2.5,6.3,8.8,0.58,0,0,0,0
"370","FCR",50,2022-07-18 11:23:00,8,1,45.2,599,0,0,0,417,6,3,0,0,3,2.1,5.8,7.9,0.49,0,0,0,0
"371","FCR",50,2022-07-18 11:30:00,9,1,45.6,655,0,0,0,408,5,1,0,0,3,2.4,5.9,8.3,0.53,0,0,0,0
"372","FCR",50,2022-07-25 09:39:00,0.1,1,26.7,628,0,0,0,10,8,0,0,0,3,6.2,4.2,10.4,0.47,0,0,0,0
"373","FCR",50,2022-07-25 09:54:00,1.6,1,39.4,596,0,0,0,20,8,2,0,0,3,5.4,4.1,9.4,0.5,0,0,0,0
"374","FCR",50,2022-07-25 10:11:00,3.8,1,47,472,0,0,0,50,8,5,0,0,0,3.4,5.3,8.8,0.42,0,0,0,0
"375","FCR",50,2022-07-25 10:22:00,5,1,47.7,854,0,0,0,359,7,1,0,0,3,2.4,5.9,8.4,0.57,0,0,0,0
"376","FCR",50,2022-07-25 10:49:00,6.2,1,36.9,798,0,0,0,430,7,5,0,0,0,2.7,6.2,8.9,0.63,0,0,0,0
"377","FCR",50,2022-07-25 11:07:00,8,1,39.9,815,0,0,0,530,7,2,0,0,3,2.2,6.5,8.7,0.64,0,0,0,0
"378","FCR",50,2022-07-25 11:25:00,9,1,44.6,819,0,0,0,623,9,14,0,0,0,4.8,6.1,10.8,1.26,0,0,0,0
"379","FCR",100,2022-08-01 09:54:00,0.1,1,36.3,347,0,0,0,33,22,154,0,0,0,2.8,4.2,7,0.27,0,0,0,0
"380","FCR",50,2022-08-01 10:26:00,0.1,1,28,557,0,0,0,11,6,2,0,0,3,4.8,3.8,8.7,0.34,0,0,0,0
"381","FCR",50,2022-08-01 10:33:00,1.6,1,30.1,498,0,0,0,9,9,8,0,0,0,4.2,3.8,8.1,0.34,0,0,0,0
"382","FCR",50,2022-08-01 10:43:00,3.8,1,30,418,0,0,0,17,5,3,0,0,3,3.4,4.3,7.7,0.3,0,0,0,0
"383","FCR",50,2022-08-01 10:52:00,5,1,45.3,763,0,0,0,317,5,3,0,0,3,2.5,5.7,8.2,0.36,0,0,0,0
"384","FCR",50,2022-08-01 11:04:00,6.2,1,38,901,0,0,0,597,6,4,0,0,3,2,6,8,0.66,0,0,0,0
"385","FCR",50,2022-08-01 11:13:00,8,1,42.6,977,0,0,0,702,6,2,0,0,3,2.6,6.5,9.1,0.81,0,0,0,0
"386","FCR",50,2022-08-01 11:23:00,9,1,38.5,966,0,0,0,680,5,5,0,0,0,2.1,6.4,8.5,0.78,0,0,0,0
"387","FCR",50,2022-08-08 09:46:00,0.1,1,20.5,447,0,0,0,11,5,4,0,0,0,4,4.2,8.2,0.35,0,0,0,0
"388","FCR",50,2022-08-08 09:50:00,1.6,1,22.4,468,0,0,0,19,7,1,0,0,3,4.3,4.2,8.4,0.37,0,0,0,0
"389","FCR",50,2022-08-08 09:56:00,3.8,1,50.4,547,0,0,0,16,6,3,0,0,3,1.9,5.6,7.5,0.14,0,0,0,0
"390","FCR",50,2022-08-08 10:03:00,5,1,43.2,878,0,0,0,515,6,1,0,0,3,1.5,6,7.5,0.58,0,0,0,0
"391","FCR",50,2022-08-08 10:20:00,6.2,1,42,913,0,0,0,538,5,2,0,0,3,1.6,5.9,7.5,0.64,0,0,0,0
"392","FCR",50,2022-08-08 10:40:00,8,1,42,1090,0,0,0,813,6,1,0,0,3,1.3,6,7.3,0.78,0,0,0,0
"393","FCR",50,2022-08-08 10:55:00,9,1,40.3,1130,0,0,0,831,5,2,0,0,3,1.5,6.3,7.8,0.82,0,0,0,0
"394","FCR",50,2022-08-18 09:38:00,0.1,1,21,350,0,0,0,22,5,6,0,0,0,3.7,4,7.7,0.32,0,0,0,0
"395","FCR",50,2022-08-18 09:50:00,1.6,1,23.2,354,0,0,0,27,6,4,0,0,3,3.5,4.2,7.7,0.38,0,0,0,0
"396","FCR",50,2022-08-18 10:00:00,3.8,1,62,616,0,0,0,29,6,3,0,0,3,3,5,8.1,0.29,0,0,0,0
"397","FCR",50,2022-08-18 10:11:00,5,1,48.4,903,0,0,0,422,5,4,0,0,0,2.7,5.2,7.8,0.56,0,0,0,0
"398","FCR",50,2022-08-18 10:20:00,6.2,1,50.2,1110,0,0,0,794,9,11,0,0,0,2.5,6.7,9.2,1,0,0,0,0
"399","FCR",50,2022-08-18 10:30:00,8,1,48.4,1230,0,0,0,966,10,5,0,0,0,2.3,6.7,9,1.14,0,0,0,0
"400","FCR",50,2022-08-18 10:40:00,9,1,45.3,1240,0,0,0,931,9,2,0,0,3,2.1,6.6,8.8,0.92,0,0,0,0
"401","FCR",100,2022-08-18 12:35:00,0.1,1,34.6,245,0,0,0,16,19,115,0,0,0,1.6,5.6,7.2,0.21,0,0,0,0
"402","FCR",200,2022-08-18 13:15:00,0.1,1,85.1,242,0,0,0,44,10,35,0,0,0,3.6,4,7.6,0.19,0,0,0,0
"403","FCR",50,2022-08-22 12:52:00,0.1,1,21.6,388,0,0,0,7,6,1,0,0,3,3.5,4,7.5,0.22,0,0,0,0
"404","FCR",50,2022-08-22 13:02:00,1.6,1,28,367,0,0,0,13,6,3,0,0,3,3.6,4.1,7.7,0.29,0,0,0,0
"405","FCR",50,2022-08-22 13:12:00,3.8,1,60.4,615,0,0,0,11,6,1,0,0,3,2.3,5.5,7.9,0.22,0,0,0,0
"406","FCR",50,2022-08-22 13:22:00,5,1,36.3,1200,0,0,0,936,11,4,0,0,0,1.8,6.5,8.4,0.96,0,0,0,0
"407","FCR",50,2022-08-22 13:32:00,6.2,1,40.7,1190,0,0,0,981,5,5,0,0,0,2.4,5.8,8.3,1.02,0,0,0,0
"408","FCR",50,2022-08-22 13:50:00,8,1,43.3,1280,0,0,0,1010,5,0,0,0,3,1.3,6.1,7.4,0.9,0,0,0,0
"409","FCR",50,2022-08-22 14:00:00,9,1,42.7,1498,0,0,0,1050,6,3,0,0,3,2.6,6.5,9.2,1.36,0,0,0,0
"410","FCR",50,2022-08-29 09:52:00,0.1,1,19.8,282,0,0,0,11,6,1,0,0,3,3.2,3.9,7.1,0.24,0,0,0,0
"411","FCR",50,2022-08-29 10:04:00,1.6,1,34.1,400,0,0,0,18,7,3,0,0,3,3.3,4.2,7.5,0.26,0,0,0,0
"412","FCR",50,2022-08-29 10:09:00,3.8,1,82.5,821,0,0,0,19,6,1,0,0,3,3.1,5.2,8.3,0.24,0,0,0,0
"413","FCR",50,2022-08-29 10:16:00,5,1,53,892,0,0,0,823,8,3,0,0,3,2.3,6.6,8.9,0.93,0,0,0,0
"414","FCR",50,2022-08-29 10:19:00,6.2,1,43.1,1320,0,0,0,1100,10,4,0,0,0,1.9,7.2,9.1,1.21,0,0,0,0
"415","FCR",50,2022-08-29 10:26:00,8,1,47.8,1400,0,0,0,1240,8,2,0,0,3,1.8,7.4,9.2,1.33,0,0,0,0
"416","FCR",50,2022-08-29 10:30:00,9,1,83.7,1972,0,0,0,1560,18,3,0,0,3,2.4,6.4,8.8,1.52,0,0,0,0
"417","FCR",100,2022-08-29 10:53:00,0.1,1,35.6,226,0,0,0,13,24,145,0,0,0,1.4,5.6,6.9,0.25,0,0,0,0
"418","FCR",100.1,2022-08-29 10:53:00,0.1,1,141,828,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"419","FCR",50,2022-09-05 12:52:00,0.1,1,20.5,317,0,0,0,6,4,2,0,0,3,3.6,4.1,7.8,0.23,0,0,0,0
"420","FCR",50,2022-09-05 12:58:00,1.6,1,23.8,317,0,0,0,8,3,6,0,3,0,3.5,4.1,7.6,0.26,0,0,0,0
"421","FCR",50,2022-09-05 13:02:00,3.8,1,105,835,0,0,0,17,9,1,0,0,3,2.6,5.8,8.3,0.3,0,0,0,0
"422","FCR",50,2022-09-05 13:08:00,5,1,36.2,1320,0,0,0,1050,4,0,0,0,43,2,6.7,8.7,1.17,0,0,0,0
"423","FCR",50,2022-09-05 13:11:00,6.2,1,35.9,1170,0,0,0,1050,11,3,0,0,3,2.3,6.3,8.6,1.14,0,0,0,0
"424","FCR",50,2022-09-05 13:15:00,8,1,41.4,1250,0,0,0,990,5,3,0,0,3,1.8,6.6,8.4,1.02,0,0,0,0
"425","FCR",50,2022-09-05 13:22:00,9,1,35.5,1280,0,0,0,1210,12,4,0,0,0,0.6,6.3,6.9,1.05,0,0,3,0
"426","FCR",50,2022-09-13 09:55:00,0.1,1,22.1,301,0,0,0,9,3,4,0,3,3,3.6,3.9,7.5,0.26,0,0,0,0
"427","FCR",50,2022-09-13 10:07:00,1.6,1,23.7,269,0,0,0,13,4,3,0,0,3,3.6,4.2,7.8,0.28,0,0,0,0
"428","FCR",50,2022-09-13 10:18:00,3.8,1,48.6,442,0,0,0,10,4,0,0,0,43,2.7,5.3,8,0.3,0,0,0,0
"429","FCR",50,2022-09-13 10:30:00,5,1,43.5,946,0,0,0,637,6,2,0,0,3,2.2,6.4,8.6,0.77,0,0,0,0
"430","FCR",50,2022-09-13 10:40:00,6.2,1,34.8,1310,0,0,0,1230,4,1,0,0,3,1.7,7,8.7,1.35,0,0,0,0
"431","FCR",50,2022-09-13 10:50:00,8,1,43,1530,0,0,0,1340,5,3,0,0,3,2.5,7.1,9.5,1.52,0,0,0,0
"432","FCR",50,2022-09-13 11:00:00,9,1,36.4,1448,0,0,0,1220,3,1,0,0,3,2.8,6.2,8.9,1.43,0,0,0,0
"433","FCR",100,2022-09-13 13:10:00,0.1,1,40.7,212,0,0,0,26,20,68,0,0,0,1.6,4.7,6.3,0.26,0,0,0,0
"434","FCR",100.1,2022-09-13 13:10:00,0.1,1,532,3168,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"435","FCR",50,2022-09-19 12:23:00,0.1,1,21.8,240,0,0,0,6,2,2,0,3,3,3.5,4.2,7.8,0.23,0,0,0,0
"436","FCR",50,2022-09-19 12:33:00,1.6,1,22,260,0,0,0,9,3,2,0,0,3,3.4,4.1,7.5,0.26,0,0,0,0
"437","FCR",50,2022-09-19 12:43:00,3.8,1,52.9,568,0,0,0,18,4,0,0,0,3,2.8,6.7,9.6,0.26,0,0,0,0
"438","FCR",50,2022-09-19 12:53:00,5,1,51.2,789,0,0,0,630,8,1,0,0,3,2.1,6.4,8.5,0.72,0,0,0,0
"439","FCR",50,2022-09-19 13:03:00,6.2,1,42.7,1260,0,0,0,1190,9,4,0,0,0,1.8,6.8,8.6,1.41,0,0,0,0
"440","FCR",50,2022-09-19 13:13:00,8,1,42.3,1340,0,0,0,1300,4,2,0,0,3,2.3,6.7,9,1.46,0,0,0,0
"441","FCR",50,2022-09-19 13:23:00,9,1,43.2,1648,0,0,0,1470,5,2,0,0,3,1.6,7.4,9,1.71,0,0,0,0
"442","FCR",50,2022-09-26 11:22:00,0.1,1,19.2,299,0,0,0,6,3,0,0,3,3,3.1,4.7,7.8,0.21,0,0,0,0
"443","FCR",50,2022-09-26 11:27:00,1.6,1,15.5,255,0,0,0,5,4,2,0,0,3,3.2,4.3,7.5,0.21,0,0,0,0
"444","FCR",50,2022-09-26 11:33:00,3.8,1,38.8,343,0,0,0,16,4,2,0,0,3,3.2,4.6,7.8,0.24,0,0,0,0
"445","FCR",50,2022-09-26 11:40:00,5,1,38,888,0,0,0,663,13,2,0,0,3,2.3,5.9,8.1,0.83,0,0,0,0
"446","FCR",50,2022-09-26 11:47:00,6.2,1,38.5,1428,0,0,0,1460,11,2,0,0,3,2.2,7.7,9.8,1.58,0,0,0,0
"447","FCR",50,2022-09-26 11:57:00,8,1,43.7,1440,0,0,0,1420,13,5,0,0,0,1.9,7.1,9,1.58,0,0,0,0
"448","FCR",50,2022-09-26 12:09:00,9,1,44.9,1380,0,0,0,1480,4,1,0,0,3,2.2,7.1,9.3,1.66,0,0,0,0
"449","FCR",100,2022-09-26 13:34:00,0.1,1,68.3,376,0,0,0,8,18,40,0,0,0,1.5,4.9,6.3,0.12,0,0,0,0
"450","FCR",100.1,2022-09-26 13:34:00,0.1,1,69.2,339,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"451","FCR",200,2022-09-26 14:30:00,0.1,1,53.4,149,0,0,0,25,5,9,0,0,0,1.9,5.4,7.3,0.14,0,0,0,0
"452","FCR",50,2022-10-03 10:54:00,0.1,1,21.3,439,0,0,0,146,4,4,0,0,0,2.8,4.6,7.4,0.35,0,0,0,0
"453","FCR",50,2022-10-03 11:00:00,1.6,1,24,402,0,0,0,142,3,6,0,3,0,2.9,4.7,7.7,0.38,0,0,0,0
"454","FCR",50,2022-10-03 11:05:00,3.8,1,25.8,448,0,0,0,141,3,5,0,3,0,2.9,4.8,7.6,0.38,0,0,0,0
"455","FCR",50,2022-10-03 11:10:00,5,1,20.9,462,0,0,0,149,3,4,0,0,0,3.2,4.5,7.7,0.31,0,0,0,0
"456","FCR",50,2022-10-03 11:15:00,6.2,1,40,1120,0,0,0,1160,3,4,0,0,0,2,6.9,8.8,1.33,0,0,0,0
"457","FCR",50,2022-10-03 11:21:00,8,1,54.2,1762,0,0,0,1580,11,4,0,0,0,1.7,7.9,9.7,1.67,0,0,0,0
"458","FCR",50,2022-10-03 11:30:00,9,1,78.4,2020,0,0,0,1930,12,3,0,0,3,1.9,8.4,10.3,2.11,0,0,0,0
"459","FCR",100,2022-10-03 14:00:00,0.1,1,43.1,233,0,0,0,10,15,18,0,0,0,2,3.7,5.8,0.16,0,0,0,0
"460","FCR",100.1,2022-10-03 14:00:00,0.1,1,200,1050,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"461","FCR",50,2022-10-11 13:35:00,0.1,1,17.3,390,0,0,0,129,3,9,0,3,0,2.3,4.5,6.8,0.3,0,0,0,0
"462","FCR",50,2022-10-11 13:49:00,1.6,1,25.4,456,0,0,0,126,4,8,0,0,0,3.1,4.4,7.4,0.32,0,0,0,0
"463","FCR",50,2022-10-11 14:01:00,3.8,1,26.7,370,0,0,0,144,3,7,0,0,0,2.8,4.5,7.4,0.34,0,0,0,0
"464","FCR",50,2022-10-11 14:07:00,5,1,25,446,0,0,0,202,4,6,0,0,0,2.8,4.6,7.4,0.38,0,0,0,0
"465","FCR",50,2022-10-11 14:14:00,6.2,1,48.8,1140,0,0,0,805,14,6,0,0,0,2.7,5.9,8.6,1.01,0,0,0,0
"466","FCR",50,2022-10-11 14:21:00,8,1,55.1,1342,0,0,0,1220,3,4,0,0,0,2,7.2,9.2,1.37,0,0,0,0
"467","FCR",50,2022-10-11 14:29:00,9,1,64,1824,0,0,0,1480,4,1,0,0,3,1.7,7.7,9.4,1.68,0,0,0,0
"468","FCR",50,2022-10-17 11:05:00,0.1,1,19.4,339,0,0,0,68,5,13,0,0,0,3.3,4.4,7.7,0.27,0,0,0,0
"469","FCR",50,2022-10-17 11:15:00,1.6,1,20.9,378,0,0,0,77,8,17,0,0,0,4.4,4.3,8.6,0.38,0,0,0,0
"470","FCR",50,2022-10-17 11:22:00,3.8,1,23.9,396,0,0,0,102,3,12,0,0,0,2.9,4.7,7.6,0.33,0,0,0,0
"471","FCR",50,2022-10-17 11:28:00,5,1,19.7,365,0,0,0,181,4,9,0,0,0,3.2,4.5,7.8,0.36,0,0,0,0
"472","FCR",50,2022-10-17 11:33:00,6.2,1,40.2,962,0,0,0,1030,4,4,0,0,0,3,6.2,9.2,1.19,0,0,0,0
"473","FCR",50,2022-10-17 11:39:00,8,1,48.6,1280,0,0,0,1060,6,6,0,0,0,2.5,6.5,9,1.23,0,0,0,0
"474","FCR",50,2022-10-17 11:45:00,9,1,69.6,1512,0,0,0,1390,16,10,0,0,0,2.7,7,9.7,1.59,0,0,0,0
"475","FCR",100,2022-10-17 13:08:00,0.1,1,38.1,104,0,0,0,6,29,2,0,0,3,3.1,5.6,8.7,0.15,0,0,0,0
"476","FCR",100.1,2022-10-17 13:08:00,0.1,1,105,526,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"477","FCR",200,2022-10-17 13:19:00,0.1,1,53.8,114,0,0,0,27,4,1,0,0,3,3.3,5.7,9,0.16,0,0,0,0
"478","FCR",50,2022-10-24 14:20:00,0.1,1,22.4,472,0,0,0,178,4,13,0,0,0,3.2,4.7,7.9,0.37,0,0,0,0
"479","FCR",50,2022-10-24 14:30:00,1.6,1,21.3,476,0,0,0,182,3,14,0,3,0,2.8,5,7.8,0.39,0,0,0,0
"480","FCR",50,2022-10-24 14:40:00,3.8,1,27.8,527,0,0,0,189,3,15,0,0,0,2.4,5,7.3,0.37,0,0,0,0
"481","FCR",50,2022-10-24 14:50:00,5,1,22.3,414,0,0,0,205,3,14,0,3,0,2.9,4.9,7.8,0.4,0,0,0,0
"482","FCR",50,2022-10-24 15:00:00,6.2,1,23.3,417,0,0,0,206,3,12,0,0,0,2.7,5.1,7.8,0.41,0,0,0,0
"483","FCR",50,2022-10-24 15:10:00,8,1,32,497,0,0,0,224,3,13,0,0,0,2.8,5.1,7.9,0.4,0,0,0,0
"484","FCR",50,2022-10-24 15:20:00,9,1,32.6,546,0,0,0,220,3,12,0,0,0,3.1,4.5,7.6,0.39,0,0,0,0
"485","FCR",100.1,2022-11-08 12:00:00,0.1,1,56.7,313,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"486","FCR",50,2022-11-08 12:40:00,0.1,1,36,426,1,0,0,10,8,0,0,0,43,3.9,4.8,8.7,0.3,0,0,0,0
"487","FCR",50,2022-11-08 12:50:00,1.6,1,38.9,421,0,0,0,9,10,0,0,0,43,3.8,5,8.8,0.3,0,0,0,0
"488","FCR",50,2022-11-08 13:00:00,3.8,1,37.1,400,1,0,0,70,7,5,0,0,0,3.5,4.9,8.4,0.37,0,0,0,0
"489","FCR",50,2022-11-08 13:05:00,5,1,26.1,522,0,0,0,271,6,9,0,0,0,3.3,5.1,8.4,0.56,0,0,0,0
"490","FCR",50,2022-11-08 13:10:00,6.2,1,21.5,498,1,0,0,304,5,6,0,0,0,3.4,5.6,8.9,0.62,0,0,0,0
"491","FCR",50,2022-11-08 13:20:00,8,1,32.2,659,1,0,0,329,6,8,0,0,0,3.2,5.2,8.4,0.65,0,0,0,0
"492","FCR",50,2022-11-08 13:30:00,9,1,36.3,625,1,0,0,399,6,9,0,0,0,3,5.1,8.2,0.64,0,0,0,0
"493","FCR",100,2022-11-08 14:30:00,0.1,1,27.3,75.6,0,0,0,8,23,0,0,0,43,2.7,4.9,7.6,0.13,0,0,0,0
"494","FCR",50,2022-11-16 13:20:00,0.1,1,24.3,326,0,0,0,102,13,16,0,0,0,4.2,4.7,8.9,0.44,0,0,0,0
"495","FCR",50,2022-11-16 13:30:00,1.6,1,31.6,459,0,0,0,82,8,8,0,0,0,3.7,4.8,8.5,0.37,0,0,0,0
"496","FCR",50,2022-11-16 13:37:00,3.8,1,33.6,478,0,0,0,75,9,8,0,0,0,3.8,4.9,8.7,0.39,0,0,0,0
"497","FCR",50,2022-11-16 13:45:00,5,1,31.1,414,0,0,0,74,8,11,0,0,0,3.9,5,8.9,0.38,0,0,0,0
"498","FCR",50,2022-11-16 14:05:00,6.2,1,29.3,379,0,0,0,72,7,9,0,0,0,3.9,4.7,8.6,0.34,0,0,0,0
"499","FCR",50,2022-11-16 14:17:00,8,1,31.8,383,0,0,0,79,8,12,0,0,0,4.1,4.7,8.8,0.38,0,0,0,0
"500","FCR",50,2022-11-16 14:27:00,9,1,32.8,401,0,0,0,78,7,9,0,0,0,3.8,4.6,8.4,0.36,0,0,0,0
"501","FCR",100,2022-11-16 15:15:00,0.1,1,24.2,100,0,0,0,6,16,5,0,0,0,2.9,3.7,6.6,0.13,0,0,0,0
"502","FCR",100.1,2022-11-16 15:15:00,0.1,1,116,547,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"503","FCR",50,2022-11-28 11:35:00,0.1,1,25.6,331,0,0,0,9,8,0,0,0,43,3.8,4.7,8.5,0.28,0,0,0,0
"504","FCR",50,2022-11-28 11:40:00,1.6,1,27,316,0,0,0,7,7,0,0,0,43,3.7,4.7,8.4,0.25,0,0,0,0
"505","FCR",50,2022-11-28 11:45:00,3.8,1,26.9,216,0,0,0,6,7,1,0,0,3,3.8,4.7,8.6,0.28,0,0,0,0
"506","FCR",50,2022-11-28 11:50:00,5,1,29.9,265,0,0,0,8,7,0,0,0,43,4,4.7,8.8,0.29,0,0,0,0
"507","FCR",50,2022-11-28 11:53:00,6.2,1,56.9,802,0,0,0,7,9,0,0,0,43,3.9,5,8.9,0.3,0,0,0,0
"508","FCR",50,2022-11-28 11:57:00,8,1,25.8,280,0,0,0,6,13,0,0,0,43,4.1,4.7,8.7,0.32,0,0,0,0
"509","FCR",50,2022-11-28 12:01:00,9,1,29.2,308,0,0,0,16,9,2,0,0,3,4,4.8,8.8,0.32,0,0,0,0
"510","FCR",100,2022-11-28 13:40:00,0.1,1,85.5,463,0,0,0,6,16,0,0,0,43,1.9,4.1,6,0.1,0,0,0,0
"511","FCR",100.1,2022-11-28 13:40:00,0.1,1,55.1,232,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"512","FCR",200,2022-11-28 13:55:00,0.1,1,28.7,91.5,0,0,0,23,8,6,0,0,0,1.8,4.5,6.4,0.13,0,0,0,0
"513","FCR",50,2022-12-12 10:14:00,0.1,1,26.2,259,0,0,0,19,9,1,0,0,3,4,4.5,8.5,0.31,0,0,0,0
"514","FCR",50,2022-12-12 10:30:00,1.6,1,24.7,289,0,0,0,14,7,0,0,0,43,3.6,4.8,8.4,0.25,0,0,0,0
"515","FCR",50,2022-12-12 10:39:00,3.8,1,22.3,265,0,0,0,11,8,0,0,0,3,3.8,4.5,8.3,0.27,0,0,0,0
"516","FCR",200,2022-12-12 10:41:00,0.1,1,33.1,139,0,0,0,19,8,62,0,0,0,1.9,4,5.9,0.16,0,0,0,0
"517","FCR",50,2022-12-12 10:54:00,5,1,32.5,322,0,0,0,15,7,0,0,0,43,4,4.6,8.6,0.3,0,0,0,0
"518","FCR",50,2022-12-12 11:03:00,6.2,1,25,265,0,0,0,12,8,0,0,0,43,4.6,4.5,9.1,0.25,0,0,0,0
"519","FCR",100,2022-12-12 11:04:00,0.1,1,42.3,157,0,0,0,9,15,0,0,0,43,1.7,3.5,5.3,0.12,0,0,0,0
"520","FCR",100.1,2022-12-12 11:04:00,0.1,1,47,226,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"521","FCR",50,2022-12-12 11:15:00,8,1,24.3,303,0,0,0,13,7,0,0,0,43,4.1,4.7,8.8,0.3,0,0,0,0
"522","FCR",50,2022-12-12 11:20:00,9,1,24.4,255,0,0,0,11,8,0,0,0,43,3.9,4.6,8.5,0.28,0,0,0,0
"523","FCR",100,2023-02-03 10:20:00,0.1,1,NA,NA,0,0,0,4,12,0,3,0,43,1.4,3.4,4.8,0.08,0,0,0,0
"524","FCR",50,2023-02-03 12:03:00,9,1,NA,NA,0,0,0,10,7,0,0,0,43,3.2,4.2,7.4,0.21,0,0,0,0
"525","FCR",50,2023-02-03 12:30:00,0.1,1,NA,NA,0,0,0,10,8,7,0,0,0,3,4.1,7.1,0.22,0,0,0,0
"526","FCR",50,2023-02-03 12:37:00,1.6,1,NA,NA,0,0,0,20,7,9,0,0,0,3.3,4.5,7.8,0.25,0,0,0,0
"527","FCR",50,2023-02-03 12:43:00,3.8,1,NA,NA,0,0,0,10,10,0,0,0,3,3.2,4.3,7.5,0.25,0,0,0,0
"528","FCR",50,2023-02-03 12:48:00,5,1,NA,NA,0,0,0,11,7,0,0,0,43,3,4.3,7.3,0.26,0,0,0,0
"529","FCR",50,2023-02-03 12:53:00,6.2,1,NA,NA,0,0,0,12,6,0,0,0,43,3.2,4.2,7.4,0.23,0,0,0,0
"530","FCR",50,2023-02-03 12:58:00,8,1,NA,NA,0,0,0,10,9,0,0,0,43,3.1,4.1,7.2,0.23,0,0,0,0
"531","SUNP",NA,2022-06-16 12:00:00,1,1,8.4,233,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"532","SUNP",NA,2022-06-16 12:00:00,8,1,7.6,151,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"533","SUNP",NA,2022-06-29 12:00:00,1,1,2.7,138,1,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"534","SUNP",NA,2022-06-29 12:00:00,8,1,5.7,156,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"535","SUNP",NA,2022-07-07 12:00:00,1,1,3,127,1,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"536","SUNP",NA,2022-07-07 12:00:00,8,1,3.6,159,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"537","SUNP",NA,2022-07-13 12:00:00,1,1,3.5,157,1,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"538","SUNP",NA,2022-07-13 12:00:00,8,1,6.8,179,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"539","SUNP",NA,2022-07-19 12:00:00,1,1,3.5,134,1,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"540","SUNP",NA,2022-07-19 12:00:00,8,1,5.6,157,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"541","SUNP",NA,2022-07-26 12:00:00,1,1,2.1,134,1,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"542","SUNP",NA,2022-07-26 12:00:00,8,1,4.3,138,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
