ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2021 - 5,0.4,"3,164.2","1,138.4",13.3,"7,489.3",13.9,-0.1,0.5,"1,226.0","2,789.5",0.5,-0.1,0.0,376.8,35.1,0.1,0.1,0.5,4.2,0.0,0.1,18.7,-0.1,0.0,0.0,-0.7,30.2,0.2,0.0
08/09/2021 - 6,0.4,"3,223.8","1,149.3",13.6,"7,561.2",1.1,0.0,1.5,"2,452.3","2,794.1",0.4,-0.2,0.0,50.0,17.5,0.0,0.0,0.6,10.9,0.0,0.3,18.5,-0.1,0.0,0.0,-0.7,30.4,0.2,0.0
08/09/2021 - 7,0.4,"2,992.0","1,118.9",11.1,"7,864.7",20.1,-0.5,0.3,"1,208.0","3,030.0",0.6,0.0,0.5,"1,618.6","1,159.5",2.2,0.0,0.3,1.0,0.0,0.2,19.8,0.1,0.0,0.0,-0.4,54.3,0.2,0.0
08/09/2021 - 8,0.4,"2,992.1","1,115.0",10.9,"7,876.4",-0.5,-0.4,0.4,"1,212.4","3,017.4",0.5,-0.2,0.0,4.6,"1,004.9",1.8,0.0,0.2,16.2,0.0,0.6,19.8,0.0,0.0,0.0,-0.6,51.4,0.2,0.0
08/09/2021 - 9,0.4,"2,966.8","1,115.2",12.0,"7,802.3",11.3,-0.4,0.3,"1,186.6","2,933.4",0.5,-0.1,0.0,"2,353.0",766.1,1.6,0.0,0.3,1.0,0.0,0.2,19.4,-0.1,0.0,0.0,-0.6,46.0,0.2,0.0
08/09/2021 - 10,0.4,"2,956.5","1,111.6",9.2,"7,747.3",-0.9,-0.3,0.3,"1,184.9","2,935.2",0.4,-0.2,0.0,13.4,726.0,1.4,0.0,0.2,7.6,0.0,0.2,19.3,-0.1,0.0,0.0,-0.7,44.9,0.2,0.0
08/09/2021 - 12,0.3,"2,796.6","1,095.2",10.7,"7,896.2",-1.7,-0.4,0.3,"1,158.9","2,977.5",0.5,-0.2,0.1,8.8,"1,030.9",2.0,0.0,0.3,11.0,0.0,0.2,19.8,-0.1,0.0,0.0,-0.7,52.3,0.2,0.0
08/09/2021 - 13,0.4,"2,830.3","1,106.0",10.9,"8,093.6",10.1,-0.4,0.3,"1,172.7","3,020.4",0.5,-0.2,0.0,"3,671.4","1,006.8",2.1,0.0,0.1,1.0,0.0,0.4,19.9,-0.1,0.0,0.0,-0.7,54.5,0.2,0.0
08/09/2021 - 14,0.4,"2,836.8","1,108.3",10.4,"7,976.3",-2.0,-0.3,0.3,"1,162.4","2,965.0",0.5,-0.2,0.0,12.6,976.5,1.9,0.0,0.1,9.0,0.0,0.1,19.7,-0.1,0.0,0.0,-0.7,52.3,0.2,0.0
08/09/2021 - 19,0.3,"2,463.8",785.4,25.8,"6,826.0",23.9,-0.4,0.3,"1,424.1","1,563.1",-7.0,0.0,0.1,624.6,34.1,0.1,0.1,4.8,28.1,0.1,0.3,10.4,-0.1,0.0,0.0,-0.7,19.5,0.4,0.0
