ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick / Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm as SO4),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/18/2021 - 13,0.4,"2,720.8","1,030.7",12.1,"7,845.1",14.8,1.7,1.4,"1,014.2","2,458.0",0.8,0.0,0.2,"2,751.2",681.7,1.6,0.2,0.7,5.1,0.1,0.3,16.8,0.1,0.0,0.0,-0.1,35.0,0.4,0.0
06/18/2021 - 14,0.4,"2,707.1","1,025.6",8.9,"7,682.2",-0.9,1.6,1.5,"1,030.9","2,466.5",0.6,0.0,0.1,91.6,655.6,1.5,0.1,0.2,4.1,0.1,0.4,16.7,0.2,0.0,0.0,-0.1,33.1,0.4,0.0
06/21/2021 - 1,0.5,"3,071.4","1,029.9",36.7,"9,289.8",26.5,1.7,1.4,"1,098.4","2,286.1",1.4,0.4,0.2,685.9,28.6,0.2,0.1,0.9,4.8,0.1,0.4,14.9,0.1,0.0,0.0,-0.1,14.6,1.1,0.0
06/21/2021 - 2,0.5,"3,093.0",975.9,25.8,"9,397.4",13.3,1.5,1.4,"1,030.9","2,051.3",1.3,0.4,0.1,572.6,14.3,0.2,0.1,1.1,6.4,0.1,0.6,14.0,0.1,0.0,0.0,0.3,14.8,1.0,0.0
06/21/2021 - 3,0.5,"3,073.3","1,064.2",32.8,"9,306.4",27.7,1.6,1.4,"1,113.3","2,326.4",1.5,0.3,0.2,603.9,26.1,0.2,0.1,1.9,11.8,0.1,0.4,15.2,0.1,0.0,0.0,0.1,19.9,1.2,0.0
06/21/2021 - 4,0.5,"3,088.2","1,016.1",23.3,"9,342.4",13.5,1.6,1.4,"1,069.4","2,183.5",1.2,0.3,0.2,469.1,9.1,0.2,0.1,1.8,8.8,0.1,0.4,14.7,0.0,0.0,0.0,0.0,16.9,1.1,0.0
06/21/2021 - 5,0.5,"2,788.8","1,009.9",11.2,"7,673.1",14.9,1.7,1.3,886.8,"2,331.9",0.9,0.0,0.2,492.0,51.4,0.2,0.1,0.9,3.3,0.1,0.3,15.9,0.0,0.0,0.0,0.0,26.8,0.9,0.0
06/21/2021 - 6,0.5,"2,787.5","1,016.9",6.0,"7,753.7",6.9,1.6,1.4,904.9,"2,357.0",0.8,0.0,0.2,35.5,15.0,0.1,0.1,0.6,10.1,0.0,0.4,16.0,0.0,0.0,0.0,0.0,27.1,0.9,0.0
06/21/2021 - 7,0.4,"2,716.1","1,024.8",10.1,"7,796.6",19.0,1.7,1.4,"1,007.4","2,450.5",0.9,0.1,0.2,"2,926.4",638.8,1.4,0.2,1.0,5.4,0.1,0.2,16.6,0.1,0.0,0.0,0.0,38.3,1.0,0.0
06/21/2021 - 8,0.4,"2,732.5","1,025.5",6.0,"7,756.4",7.5,1.7,1.4,"1,009.6","2,441.2",0.8,0.0,0.2,"2,158.4",629.4,1.5,0.2,0.3,20.4,0.1,0.2,16.5,0.0,0.0,0.0,-0.1,38.0,0.9,0.0
06/21/2021 - 9,0.4,"2,674.7","1,010.5",8.2,"7,793.4",21.3,1.7,1.4,"1,004.7","2,443.5",0.9,0.0,0.2,"2,576.1",658.0,1.6,0.2,0.7,4.7,0.1,0.2,16.5,0.1,0.0,0.0,-0.1,33.7,1.0,0.0
06/21/2021 - 10,0.4,"2,674.4","1,005.2",5.7,"7,703.4",8.4,1.6,1.4,"1,008.7","2,444.8",0.8,0.0,0.2,99.4,633.5,1.5,0.1,0.3,12.3,0.1,0.2,16.4,0.0,0.0,0.0,-0.1,33.5,1.1,0.0
06/21/2021 - 11,0.4,"2,676.8","1,017.6",7.0,"7,788.7",20.9,1.6,1.4,"1,013.1","2,467.0",0.8,0.0,0.2,"2,847.8",713.4,1.7,0.2,0.7,4.4,0.1,0.3,16.6,0.1,0.0,0.0,-0.1,34.4,0.9,0.0
06/21/2021 - 12,0.4,"2,648.6","1,009.2",5.0,"7,726.2",6.9,1.6,1.4,"1,013.9","2,451.1",0.8,0.0,0.2,33.1,688.6,1.6,0.2,0.3,18.2,0.1,0.3,16.7,0.0,0.0,0.0,-0.1,34.4,0.9,0.0
06/21/2021 - 13,0.4,"2,679.0","1,021.2",7.0,"7,865.7",22.0,1.8,1.4,"1,024.4","2,499.8",0.9,0.0,0.2,"2,837.4",714.3,1.7,0.2,0.7,3.9,0.1,0.3,16.7,0.1,0.0,0.0,-0.1,34.2,0.9,0.0
06/21/2021 - 14,0.4,"2,669.2","1,013.4",5.4,"7,701.7",7.2,1.6,1.4,"1,017.5","2,461.4",0.7,0.0,0.2,32.8,682.2,1.6,0.1,0.3,16.5,0.1,0.3,16.6,0.0,0.0,0.0,-0.1,34.9,1.0,0.0
