Date,Reservoir,Depth_m,AvgSedFlux_gm2d,TLiFlux_gm2d,TNaFlux_gm2d,TMgFlux_gm2d,TAlFlux_gm2d,TKFlux_gm2d,TCaFlux_gm2d,TFeFlux_gm2d,TMnFlux_gm2d,TCuFlux_gm2d,TSrFlux_gm2d,TBaFlux_gm2d,TOCFlux_gm2d,TNFlux_gm2d,Flag_AvgSedFlux_gm2d,Flag_TLiFlux_gm2d,Flag_TNaFlux_gm2d,Flag_TMgFlux_gm2d,Flag_TAlFlux_gm2d,Flag_TKFlux_gm2d,Flag_TCaFlux_gm2d,Flag_TFeFlux_gm2d,Flag_TMnFlux_gm2d,Flag_TCuFlux_gm2d,Flag_TSrFlux_gm2d,Flag_TBaFlux_gm2d,Flag_TOCFlux_gm2d,Flag_TNFlux_gm2d
2021-08-23,BVR,5,1.5746876604104847,1.759815578428915e-4,0.001359038297255795,0.007571706035678705,0.05536653087356405,0.004277151607620145,0.042313123125986604,0.1704714333233405,0.01540190989597046,6.658450652572819e-5,1.1860932958664201e-4,8.56618532147629e-4,0.405063957942258,0.28294786056385,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-23,BVR,10,3.2220171281911254,4.53594527602369e-4,0.003442076502344355,0.02263245146976523,0.1257586673356,0.009287769849201655,0.1354605106718494,1.060422057309405,0.009793602316236695,1.7778649725844848e-4,2.97374303678296e-4,0.0016313998480203548,0.626833118424823,0.384731353397309,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-31,FCR,4,1.2810256527473698,1.568326126135985e-4,0.00138898961082133,0.007318613215968785,0.036059866571128654,0.0044357345190860955,0.043631949843278645,0.15974284728765348,0.007021296946365701,1.3290900930921498e-4,1.2715189367212002e-4,6.17403264098185e-4,0.326284416062876,0.242408203364853,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-31,FCR,8,4.477774102236832,2.95976981854128e-4,0.00220911627414373,0.0120172525867323,0.0463874399018867,0.007369535002442355,0.07021807273894745,1.745691233778215,0.02492764039788125,2.150314173191945e-4,2.37552059508578e-4,0.00239875674121334,0.877226900239304,0.552046227733321,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-06,BVR,5,1.2839465484891965,1.541576341254475e-4,0.00131296969277225,0.00650589062028584,0.031454870915782945,0.003624725646472855,0.03804239494452595,0.15524761083583155,0.018706669110929698,6.522677764770159e-5,1.0111035688536535e-4,7.158701045359195e-4,0.319229097443919,0.10828303264372,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-06,BVR,10,2.968802879001823,2.766523260303585e-4,0.00259115661422488,0.008887842932353056,0.04804556640424855,0.00618671149004698,0.05504587126636025,0.8051110243738875,0.005242159997986995,1.010606569339717e-4,1.4703361343909002e-4,9.641860442395061e-4,0.528648733220605,0.512356601706043,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-14,FCR,4,1.0014349989040794,1.202296555181483e-4,0.0011331408477462455,0.00542899108156491,0.02112735352004735,0.0029462342085836597,0.0355303035979145,0.07986115182152276,0.0026701739743879146,1.3581624028031e-4,9.80943244635554e-5,4.08172674883907e-4,0.263858441660893,0.13606397749964,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-14,FCR,8,6.999591158965175,2.8888650933648447e-4,0.00276198358866774,0.0116697995648947,0.040163057269217706,0.00803368264205917,0.06681432975860485,2.450405837606775,0.0220812707137684,3.41982663710267e-4,2.426205255543215e-4,0.00215184084379985,1.20233733716173,0.409729653865722,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-21,BVR,5,0.8695077323231616,2.1534848554765148e-4,0.0030456570397338354,0.01017568689178913,0.039506668196329045,0.0033693050998131703,0.07122453483223609,0.06610695381056406,0.00753176716036792,7.379733041987875e-5,4.5040769823877246e-4,5.309216285280226e-4,0.281284538867739,0.111339428920173,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-21,BVR,10,2.354562330615382,4.01181976411409e-4,0.00548141311389546,0.014585336083416299,0.05159501261689705,0.005250057741089895,0.108078201825733,0.8543980014533425,0.005382637004653315,1.449497557723381e-4,6.952702213622729e-4,0.00106382266522856,0.533037619223055,0.366483441810962,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-09-27,FCR,4,1.8505958135087441,2.3234849014772748e-4,0.0044153724266358454,0.0130992913626184,0.060463049535497346,0.0045355838696552846,0.07807742487497125,0.09180497617071626,0.00501178927327856,1.7203016642478898e-4,5.305889657993515e-4,9.692538895661395e-4,0.375878102003609,0.213188234664349,3,3,3,3,3,3,3,3,3,3,3,3,1,1
