Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC,Date NOTES
FCR,50,6/15/21 11:28,5,,7/21/21,2.02,3.71,5.73,0.14,,F 15jun21 5.0,
FCR,50,6/15/21 11:35,6.2,,7/21/21,1.32,4.09,5.41,0.28,,F 15jun21 6.2,
FCR,50,6/15/21 11:42,8,,7/21/21,1.07,4.07,5.14,0.24,,F 15jun21 8.0,
FCR,50,6/15/21 11:50,9,,7/21/21,0.75,4.19,4.94,0.11,,F 15jun21 9.0,
FCR,50,6/21/21 10:16,0.1,,7/21/21,6.23,3.06,9.29,0.44,,F 21jun21 0.1,
FCR,50,6/21/21 10:33,1.6,,7/21/21,3.63,3.64,7.27,0.16,,F 21jun21 1.6,
FCR,50,6/21/21 10:52,3.8,,7/21/21,1.37,3.62,4.99,0.19,,F 21jun21 3.8,
FCR,50,6/21/21 11:07,5,,7/21/21,1.16,3.8,4.96,0.24,,F 21jun21 5.0,
FCR,50,6/21/21 11:20,6.2,,7/21/21,1.12,3.87,4.99,0.2,,F 21jun21 6.2,
FCR,50,6/21/21 11:38,8,,7/21/21,0.84,4.04,4.89,0.15,,F 21jun21 8.0,
FCR,50,6/21/21 11:50,9,,7/21/21,0.55,4.3,4.85,0.23,,F 21jun21 9.0,
FCR,199,6/21/21 14:20,0.1,,7/21/21,2.73,4.98,7.71,0.19,,F 21jun21 below wet,
FCR,100,6/21/21 13:20,0.1,,7/21/21,0.69,3.05,3.73,0.18,,F 21jun21 weir,
FCR,200,6/21/21 13:57,0.1,,7/21/21,1.73,4.62,6.34,0.14,,F 21jun21 wet,
FCR,50,6/28/21 14:14,0.1,,7/21/21,8.72,2.84,11.57,0.53,,F 28jun21 0.1,
FCR,50,6/28/21 14:25,1.6,,7/21/21,6.8,3.21,10.01,0.5,,F 28jun21 1.6,
FCR,50,6/28/21 14:32,3.8,,7/21/21,1.54,3.91,5.45,0.26,,F 28jun21 3.8,
FCR,50,6/28/21 14:45,5,,7/21/21,1.29,3.98,5.27,0.33,,F 28jun21 5.0,
FCR,50,6/28/21 14:50,6.2,,7/21/21,1.3,3.95,5.25,0.33,,F 28jun21 6.2,
FCR,50,6/28/21 15:16,8,,7/21/21,0.95,4.26,5.21,0.16,,F 28jun21 8.0,
FCR,50,6/28/21 15:24,9,,7/21/21,1.26,4.29,5.55,0.18,,F 28jun21 9.0,
FCR,50,5/31/21 12:23,0.1,,7/21/21,3.79,2.43,6.22,0.25,,F 31may21 0.1,
FCR,50,5/31/21 12:35,1.6,,7/21/21,3.11,3.21,6.32,0.23,,F 31may21 1.6,
FCR,50,5/31/21 12:54,3.8,,7/21/21,2.17,3.58,5.75,0.09,,F 31may21 3.8,
FCR,50,5/31/21 13:10,5,,7/21/21,1.9,3.12,5.03,0.15,,F 31may21 5.0,
FCR,50,5/31/21 13:15,6.2,,7/21/21,1.12,3.26,4.38,0.12,,F 31may21 6.2,
FCR,50,5/31/21 13:21,8,,7/21/21,1.52,3.55,5.07,0.23,,F 31may21 8.0,
FCR,50,5/31/21 13:28,9,,7/21/21,1.27,3.87,5.14,0.42,,F 31may21 9.0,
BVR,50,9/6/21 9:45,0.1,,10/3/21,4.3,2.3,6.7,0.32,,B 06sep21 0.1,*start solubles 3
BVR,50,9/6/21 9:59,3,,10/3/21,5.3,2.5,7.8,0.27,,B 06sep21 3.0,
BVR,50,9/6/21 10:07,6,,10/3/21,2.3,3.1,5.3,0.15,,B 06sep21 6.0,
BVR,50,9/6/21 10:23,9,,10/3/21,2.7,4.2,6.9,1.36,,B 06sep21 9.0,
BVR,50,8/9/21 11:10,10,,10/3/21,8.6,2.8,11.5,0.35,,B 09aug21 10.0,
BVR,50,8/9/21 10:25,3,,10/3/21,4.9,2.1,7,0.26,,B 09aug21 3.0,
BVR,50,8/9/21 10:39,6,,10/3/21,2.1,2.9,4.9,0.12,,B 09aug21 6.0,
BVR,50,8/9/21 10:53,9,,10/3/21,2.3,4.4,6.7,0.79,,B 09aug21 9.0,
BVR,50,7/12/21 14:20,0.1,,10/3/21,2.8,2.3,5,0.17,,B 12jul21 0.1,
BVR,50,7/12/21 14:53,11,,10/3/21,2.3,3.8,6.1,1.09,,B 12jul21 11.0,
BVR,50,7/12/21 14:25,3,,10/3/21,2.7,2.2,4.9,0.18,,B 12jul21 3.0,
BVR,50,7/12/21 14:32,6,,10/3/21,2.1,2.5,4.5,0.17,,B 12jul21 6.0,
BVR,50,7/12/21 14:43,9,,10/3/21,2,3.5,5.5,0.62,,B 12jul21 9.0,
BVR,50,9/21/21 10:11,0.1,,10/3/21,3.7,2.6,6.3,0.23,,B 21sep21 0.1,
BVR,50,9/21/21 10:41,10,,10/3/21,3,4.7,7.7,2.68,,B 21sep21 10.0,
BVR,50,9/21/21 10:23,6,,10/3/21,1.5,4.4,5.9,0.12,,B 21sep21 6.0,
BVR,50,9/21/21 10:33,9,,10/3/21,2.3,3.9,6.2,1.3,,B 21sep21 9.0,
BVR,50,8/23/21 10:00,0.1,,10/3/21,3.9,2.1,6,0.24,,B 23aug21 0.1,
BVR,50,8/23/21 10:08,3,,10/3/21,4,2.3,6.3,0.27,,B 23aug21 3.0,
BVR,50,8/23/21 10:18,6,,10/3/21,1.4,3.1,4.4,0.08,,B 23aug21 6.0,
BVR,50,8/23/21 10:28,9,,10/3/21,1.8,4,5.9,0.96,,B 23aug21 9.0,
BVR,50,7/26/21 9:42,0.1,,10/3/21,3.1,2.2,5.3,0.2,,B 26jul21 0.1,
BVR,50,7/26/21 10:30,11,,10/3/21,2.6,4.3,6.9,1.05,,B 26jul21 11.0,
BVR,50,7/26/21 10:07,6,,10/3/21,2,2.6,4.6,0.11,,B 26jul21 6.0,
BVR,50,7/26/21 10:15,9,,10/3/21,2,3.4,5.4,0.41,,B 26jul21 9.0,
CCR,51,7/14/21 10:20,1.5,,10/3/21,2.7,4.1,6.8,0.16,,C 13jul21 1.5 EXO,
CCR,51,7/14/21 10:20,9,,10/3/21,2.4,3.8,6.2,0.13,,C 13jul21 9 EXO,
CCR,500,7/14/21 13:51,0.1,,10/3/21,1.3,ND,ND,0.17,run_NPOC,C 14jul21 0.1 CCT,Run as NPOC
CCR,301,7/14/21 12:56,0.1,,10/3/21,1.1,1.6,2.7,0.12,,C 14jul21 0.1 SMB,
CCR,400,7/14/21 12:14,0.1,,10/3/21,0.3,15.1,15.3,0.13,,C 14jul21 0.1 TCT,
CCR,50,8/19/21 11:45,0.1,,10/3/21,3.4,4,7.4,0.35,,C 19aug21 0.1,
CCR,500,8/19/21 17:24,0.1,,10/3/21,2.8,ND,ND,0.61,run_NPOC,C 19aug21 0.1 CCT,Run as NPOC
CCR,301,8/19/21 16:45,0.1,,10/3/21,2.3,0.6,2.8,0.11,,C 19aug21 0.1 SMB,
CCR,301,8/19/21 12:00,21,,10/3/21,2.6,5.6,8.2,0.44,,C 19aug21 21.0,
CCR,51,8/19/21 10:00,9,,10/3/21,2.8,4.3,7.1,0.25,,C 19aug21 9 EXO,
CCR,50,8/19/21 12:00,9,,10/3/21,2.4,4.2,6.6,0.14,,C 19aug21 9.0,
CCR,100,7/28/21 11:19,0.1,,10/3/21,1.7,3.5,5.2,0.34,,C 28jul21 0.1 HPB,
CCR,50,7/28/21 12:00,20,,10/3/21,2.2,4.5,6.7,0.2,,C 28jul21 21.0,
CCR,50,7/28/21 12:00,9,,10/3/21,2.3,3.9,6.1,0.12,,C 28jul21 9.0,
FCR,50,8/2/21 11:12,6.2,,10/3/21,1.5,4.5,6,0.64,,F 02aug21 6.2,
FCR,50,8/2/21 11:37,8,,10/3/21,2,5.1,7.1,0.7,,F 02aug21 8.0,
FCR,50,8/2/21 11:46,9,,10/3/21,1.9,4.9,6.8,0.68,,F 02aug21 9.0,
FCR,100,8/2/21 13:00,0.1,,10/3/21,1,3.7,4.7,0.18,,F 02aug21 weir,
FCR,200,8/2/21 13:28,0.1,,10/3/21,3.3,5.9,9.2,0.25,,F 02aug21 wet,
FCR,50,9/6/21 13:07,0.1,,10/3/21,3.6,3.5,7.1,0.24,,F 06sep21 0.1,
FCR,50,9/6/21 13:50,6.2,,10/3/21,2.3,4.8,7.2,0.68,,F 06sep21 6.2,
FCR,50,9/6/21 14:00,8,,10/3/21,2.1,5.2,7.3,1.03,,F 06sep21 8.0,
FCR,50,9/6/21 14:08,9,,10/3/21,3.1,5.1,8.2,0.94,,F 06sep21 9.0,
FCR,50,8/9/21 13:10,0.1,,10/3/21,4.1,3.4,7.5,0.25,,F 09aug21 0.1,
FCR,50,8/9/21 13:35,3.8,,10/3/21,2.6,3.4,6,0.15,,F 09aug21 3.8,
FCR,50,8/9/21 13:51,5,,10/3/21,2,4.4,6.4,0.32,,F 09aug21 5.0,
FCR,50,8/9/21 14:25,8,,10/3/21,2.6,4.7,7.3,0.84,,F 09aug21 8.0,
FCR,50,8/9/21 14:30,9,,10/3/21,1.7,4.9,6.6,0.71,,F 09aug21 9.0,
FCR,50,7/12/21 9:20,0.1,,10/3/21,4.8,3.8,8.6,0.46,,F 12jul21 0.1,
FCR,50,7/12/21 9:32,1.6,,10/3/21,6.1,3.3,9.5,0.66,,F 12jul21 1.6,
FCR,50,7/12/21 9:40,3.8,,10/3/21,2.5,4,6.6,0.36,,F 12jul21 3.8,
FCR,50,7/12/21 9:56,5,,10/3/21,1.3,3.7,5,0.34,,F 12jul21 5.0,
FCR,50,7/12/21 10:02,6.2,,10/3/21,2,4.2,6.2,0.41,,F 12jul21 6.2,
FCR,50,7/12/21 10:20,9,,10/3/21,2.1,4.5,6.6,0.65,,F 12jul21 9.0,
FCR,100,7/12/21 11:35,0.1,,10/3/21,0.9,3.3,4.2,0.18,,F 12jul21 weir,
