"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms","Flag_NA"
"FCR",50,7809,2024-02-27 14:21:00,0.765,7.2149,9.3077,76.642,28.429553,44.123,10.5547,8.0189,6.919,284.9204,41.517,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.777,7.2102,9.2954,76.537,28.280501,43.878,10.5822,8.0643,6.919,285.8778,40.788,0.039,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.792,7.2066,9.2809,76.409,28.331333,43.947,10.6097,8.0119,6.919,287.1905,40.197,0.037,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.802,7.2037,9.2647,76.269,28.473303,44.162,10.6621,7.829,6.919,287.6288,40.037,0.035,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.806,7.2122,9.2545,76.121,28.474752,44.158,10.7079,7.7654,6.919,287.219,39.987,0.033,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.809,7.2275,9.2383,75.937,28.348851,43.959,10.7313,7.8238,6.919,286.4517,39.628,0.03,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.819,7.2324,9.2213,75.723,28.219633,43.757,10.6953,7.6811,6.92,286.0086,39.029,0.028,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.83,7.236,9.2025,75.51,28.180971,43.7,10.6133,7.3729,6.92,287.3681,38.657,0.031,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.837,7.2412,9.1857,75.286,28.325383,43.931,10.5639,7.2401,6.915,290.0696,38.548,0.04,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.84,7.2437,9.1632,75.057,28.316552,43.921,10.5645,7.2707,6.909,291.1401,38.362,0.048,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.849,7.2446,9.1333,74.842,28.137615,43.638,10.6874,7.2307,6.906,290.5884,37.648,0.053,0,0,0,0,0,0,0,0,0,0,0,0,5
