Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-28T13:30:41Z,12.585,13.3839,0.9541,-0.0086,244.38124,318.273,11.6737,111.785,8.128,264.9131,24.377,0.1512,0.082,999.5044,0
2019-06-28T13:30:41Z,12.606,13.3815,0.9618,0.0347,244.337283,318.223,11.6213,111.279,8.127,264.8374,24.267,0.1511,0.083,999.5048,0
2019-06-28T13:30:41Z,12.625,13.3792,0.9541,0.0635,244.386389,318.32,11.5737,110.818,8.128,264.1938,24.108,0.1512,0.083,999.5054,0
2019-06-28T13:30:41Z,12.645,13.3771,0.9846,-0.1528,244.439897,318.412,11.5447,110.534,8.127,264.8374,23.999,0.1512,0.082,999.5058,0
2019-06-28T13:30:41Z,12.666,13.3747,0.9694,-0.0807,244.45034,318.432,11.5165,110.259,8.127,264.7617,23.917,0.1512,0.082,999.5062,0
2019-06-28T13:30:41Z,12.686,13.3719,0.9312,-0.124,244.433283,318.449,11.4979,110.076,8.127,264.3831,23.8,0.1512,0.082,999.5066,0
2019-06-28T13:30:41Z,12.704,13.3694,0.9312,-0.297,244.401255,318.397,11.4887,109.983,8.128,264.4588,23.715,0.1512,0.08,999.507,0
2019-06-28T13:30:41Z,12.72,13.367,0.9465,-0.124,244.370449,318.419,11.4907,109.997,8.127,264.7617,23.643,0.1512,0.078,999.5074,0
2019-06-28T13:30:41Z,12.737,13.3645,0.9694,-0.1961,244.291993,318.293,11.5003,110.083,8.126,265.2917,23.502,0.1512,0.075,999.5078,0
2019-06-28T13:30:41Z,12.756,13.3622,0.9618,-0.2393,244.319265,318.386,11.5154,110.222,8.127,265.2538,23.368,0.1512,0.073,999.5083,0
2019-06-28T13:30:41Z,12.773,13.36,0.9694,-0.1528,244.276641,318.334,11.5396,110.447,8.127,265.1024,23.283,0.1512,0.072,999.5086,0
2019-06-28T13:30:41Z,12.788,13.3581,0.9427,-0.2537,244.255228,318.316,11.5676,110.709,8.128,264.9131,23.193,0.1512,0.07,999.5091,0
2019-06-28T13:30:41Z,12.802,13.3563,0.9427,-0.2393,244.37586,318.518,11.6021,111.031,8.127,265.2538,23.142,0.1513,0.067,999.5094,0
2019-06-28T13:30:41Z,12.818,13.3537,0.9656,-0.124,244.336103,318.46,11.637,111.358,8.127,264.5345,23.087,0.1512,0.065,999.5097,0
2019-06-28T13:30:41Z,12.833,13.3515,0.9579,-0.0519,244.214895,318.328,11.6529,111.503,8.13,264.5345,22.959,0.1512,0.064,999.51,0
2019-06-28T13:30:41Z,12.846,13.3498,0.9541,-0.1961,244.167433,318.276,11.6588,111.554,8.129,264.9131,22.88,0.1512,0.062,999.5103,0
2019-06-28T13:30:41Z,12.86,13.3479,0.9465,-0.2393,244.21554,318.368,11.6625,111.581,8.125,264.9888,22.816,0.1512,0.059,999.5106,0
2019-06-28T13:30:41Z,12.874,13.3456,0.9274,-0.1816,244.214915,318.382,11.668,111.628,8.126,265.4052,22.65,0.1512,0.057,999.511,0
2019-06-28T13:30:41Z,12.89,13.343,0.9274,-0.2826,244.048463,318.178,11.6744,111.682,8.128,265.4052,22.531,0.1511,0.057,999.5113,0
2019-06-28T13:30:41Z,12.91,13.3407,0.9351,-0.1672,244.033483,318.159,11.686,111.787,8.127,265.1781,22.452,0.1511,0.058,999.5117,0
2019-06-28T13:30:41Z,12.934,13.3381,0.9312,-0.2537,244.143748,318.366,11.7151,112.057,8.126,265.4052,22.337,0.1512,0.062,999.5122,0
2019-06-28T13:30:41Z,12.954,13.3355,0.9694,-0.2393,244.120825,318.31,11.7518,112.4,8.126,265.3674,22.231,0.1512,0.066,999.5125,0
2019-06-28T13:30:41Z,12.972,13.3326,0.9541,-0.1384,244.032079,318.259,11.7982,112.837,8.128,265.0267,22.152,0.1511,0.07,999.513,0
2019-06-28T13:30:41Z,12.989,13.3297,1.1449,0.0923,243.894931,318.059,11.8426,113.253,8.128,264.8374,22.049,0.151,0.073,999.5133,0
2019-06-28T13:30:41Z,13.009,13.3269,1.1334,0.1067,243.872367,318.084,11.8774,113.579,8.128,265.5188,21.83,0.1511,0.075,999.5138,0
