Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,-0.358,143.09,1.1498
2020-08-19T20:06:54Z,-0.359,143.23,1.1645
2020-08-19T20:06:54Z,-0.359,143.01,1.199
2020-08-19T20:06:54Z,-0.358,142.7,1.2136
2020-08-19T20:06:54Z,-0.354,142.52,1.2074
2020-08-19T20:06:54Z,-0.349,142.3,1.2005
2020-08-19T20:06:54Z,-0.344,141.72,1.2058
2020-08-19T20:06:54Z,-0.34,140.99,1.2139
2020-08-19T20:06:54Z,-0.338,140.62,1.2131
2020-08-19T20:06:54Z,-0.337,140.49,1.2059
2020-08-19T20:06:54Z,-0.338,140.39,1.1846
2020-08-19T20:06:54Z,-0.34,140.44,1.1555
2020-08-19T20:06:54Z,-0.34,140.46,1.14
2020-08-19T20:06:54Z,-0.339,140.32,1.1397
2020-08-19T20:06:54Z,-0.336,140.11,1.1237
2020-08-19T20:06:54Z,-0.334,139.87,1.0898
2020-08-19T20:06:54Z,-0.332,139.73,1.0731
2020-08-19T20:06:54Z,-0.329,139.68,1.0738
2020-08-19T20:06:54Z,-0.327,139.59,1.108
2020-08-19T20:06:54Z,-0.326,139.63,1.1722
2020-08-19T20:06:54Z,-0.325,140.76,1.211
2020-08-19T20:06:54Z,-0.321,143.72,1.2241
2020-08-19T20:06:54Z,-0.315,150.95,1.2069
2020-08-19T20:06:54Z,-0.307,157.97,1.1656
2020-08-19T20:06:54Z,-0.296,157.42,1.1439
2020-08-19T20:06:54Z,-0.281,155.61,1.1354
2020-08-19T20:06:54Z,-0.266,156.59,1.1291
2020-08-19T20:06:54Z,-0.256,157.05,1.145
2020-08-19T20:06:54Z,-0.25,157.04,1.184
2020-08-19T20:06:54Z,-0.242,158.47,1.21
2020-08-19T20:06:54Z,-0.227,162.76,1.2106
2020-08-19T20:06:54Z,-0.207,168.8,1.1912
2020-08-19T20:06:54Z,-0.185,175.18,1.1563
2020-08-19T20:06:54Z,-0.164,177.59,1.1423
2020-08-19T20:06:54Z,-0.146,164.72,1.1563
2020-08-19T20:06:54Z,-0.13,142.74,1.1909
2020-08-19T20:06:54Z,-0.116,127.35,1.237
2020-08-19T20:06:54Z,-0.104,117.96,1.2654
2020-08-19T20:06:54Z,-0.095,115.57,1.2768
2020-08-19T20:06:54Z,-0.088,117.47,1.2697
2020-08-19T20:06:54Z,-0.082,117.33,1.2559
2020-08-19T20:06:54Z,-0.075,122.81,1.2621
2020-08-19T20:06:54Z,-0.066,189.31,1.2778
2020-08-19T20:06:54Z,-0.054,246.84,1.3125
2020-08-19T20:06:54Z,-0.036,200.44,1.3669
2020-08-19T20:06:54Z,-0.013,151.31,1.4015
2020-08-19T20:06:54Z,0.013,120.96,1.4165
2020-08-19T20:06:54Z,0.038,88.159,1.415
2020-08-19T20:06:54Z,0.065,74.714,1.402
2020-08-19T20:06:54Z,0.095,65.626,1.4016
2020-08-19T20:06:54Z,0.127,58.936,1.4109
2020-08-19T20:06:54Z,0.155,54.161,1.4187
2020-08-19T20:06:54Z,0.179,50.132,1.4479
2020-08-19T20:06:54Z,0.203,46.591,1.5069
2020-08-19T20:06:54Z,0.225,44.913,1.5413
2020-08-19T20:06:54Z,0.243,44.228,1.5391
2020-08-19T20:06:54Z,0.26,43.562,1.5001
2020-08-19T20:06:54Z,0.277,43.247,1.4313
2020-08-19T20:06:54Z,0.293,43.095,1.4034
2020-08-19T20:06:54Z,0.305,42.803,1.4108
2020-08-19T20:06:54Z,0.313,42.147,1.4249
2020-08-19T20:06:54Z,0.322,41.052,1.4502
2020-08-19T20:06:54Z,0.333,39.707,1.4601
2020-08-19T20:06:54Z,0.345,38.625,1.4677
2020-08-19T20:06:54Z,0.355,37.916,1.4948
2020-08-19T20:06:54Z,0.36,37.395,1.5201
2020-08-19T20:06:54Z,0.364,36.793,1.5353
2020-08-19T20:06:54Z,0.37,36.088,1.5452
2020-08-19T20:06:54Z,0.378,35.667,1.5534
2020-08-19T20:06:54Z,0.386,35.471,1.568
2020-08-19T20:06:54Z,0.395,35.244,1.5895
2020-08-19T20:06:54Z,0.405,34.894,1.6029
2020-08-19T20:06:54Z,0.417,34.367,1.6151
2020-08-19T20:06:54Z,0.432,33.622,1.7086
2020-08-19T20:06:54Z,0.447,32.824,1.8653
2020-08-19T20:06:54Z,0.461,32.12,1.9368
2020-08-19T20:06:54Z,0.471,31.496,1.9334
2020-08-19T20:06:54Z,0.483,30.831,1.8912
2020-08-19T20:06:54Z,0.496,29.984,1.7984
2020-08-19T20:06:54Z,0.507,29.137,1.7454
2020-08-19T20:06:54Z,0.515,28.44,1.7469
2020-08-19T20:06:54Z,0.52,27.884,1.797
2020-08-19T20:06:54Z,0.525,27.419,1.894
2020-08-19T20:06:54Z,0.53,27.018,1.9378
2020-08-19T20:06:54Z,0.535,26.62,1.9257
2020-08-19T20:06:54Z,0.539,26.195,1.9097
2020-08-19T20:06:54Z,0.543,25.766,1.8976
2020-08-19T20:06:54Z,0.546,25.304,1.8936
2020-08-19T20:06:54Z,0.551,24.835,1.8803
2020-08-19T20:06:54Z,0.556,24.353,1.86
2020-08-19T20:06:54Z,0.561,23.892,1.8585
2020-08-19T20:06:54Z,0.565,23.528,1.8723
2020-08-19T20:06:54Z,0.57,23.254,1.8743
2020-08-19T20:06:54Z,0.574,23.001,1.863
2020-08-19T20:06:54Z,0.578,22.735,1.878
2020-08-19T20:06:54Z,0.582,22.435,1.9233
2020-08-19T20:06:54Z,0.586,22.117,1.9423
2020-08-19T20:06:54Z,0.589,21.849,1.9373
2020-08-19T20:06:54Z,0.593,21.634,1.9478
2020-08-19T20:06:54Z,0.597,21.438,1.9647
2020-08-19T20:06:54Z,0.6,21.23,1.9702
2020-08-19T20:06:54Z,0.605,20.998,1.9562
2020-08-19T20:06:54Z,0.609,20.76,1.9389
2020-08-19T20:06:54Z,0.614,20.526,1.9521
2020-08-19T20:06:54Z,0.619,20.296,1.9725
2020-08-19T20:06:54Z,0.623,20.076,1.9564
2020-08-19T20:06:54Z,0.626,19.881,1.8822
2020-08-19T20:06:54Z,0.63,19.719,1.7903
2020-08-19T20:06:54Z,0.634,19.577,1.7514
2020-08-19T20:06:54Z,0.637,19.446,1.7454
2020-08-19T20:06:54Z,0.64,19.355,1.7362
